"Reporter Name"	"LE_PO_rawData_r1"	"LE_PO_rawData_r2"
"pos-controls-2486"	63.24	64.6
"pos-controls-2487"	76.47	71.59
"pos-controls-2488"	74.99	71.02
"pos-controls-2697"	226.93	185.23
"pos-controls-2698"	209.73	217.79
"pos-controls-2699"	745.45	200.26
"pos-controls-2700"	237.69	219.14
"pos-controls-2701"	164.26	136.07
"pos-controls-2702"	150.22	168.29
"pos-controls-2703"	163.74	158.01
"pos-controls-2704"	181.18	165.5
"pos-controls-2777"	210.23	128.22
"pos-controls-2778"	216.28	208.16
"pos-controls-2779"	191.85	164.38
"pos-controls-2780"	220.09	158.12
"pos-controls-2833"	124.36	90.13
"pos-controls-2834"	95.91	75.82
"pos-controls-2835"	130.08	83.57
"pos-controls-2836"	101.65	111.49
"pos-controls-2837"	118.17	150.68
"pos-controls-2838"	136.85	119.31
"pos-controls-2839"	208.38	111.76
"pos-controls-2840"	129.82	100.93
"pos-controls-2841"	129.98	112.26
"pos-controls-2842"	205.27	138.54
"pos-controls-2843"	139.89	134.1
"pos-controls-2844"	137.68	138.36
"pos-controls-2873"	247.49	177.74
"pos-controls-2874"	283.25	247.42
"pos-controls-2875"	273.18	274.21
"pos-controls-2876"	282.06	205.34
"pos-controls-2941"	124.04	94.24
"pos-controls-2942"	124.49	84.05
"pos-controls-2943"	124.17	91.42
"pos-controls-2944"	120.64	98.32
"pos-controls-3041"	141.59	115.76
"pos-controls-3042"	125.76	131.29
"pos-controls-3043"	155.11	137.49
"pos-controls-3044"	154.65	124.74
"pos-controls-3061"	127.11	157.02
"pos-controls-3062"	198.14	184.01
"pos-controls-3063"	162.18	172.32
"pos-controls-3064"	120.98	224.78
"pos-controls-3189"	164.22	131.25
"pos-controls-3190"	148.23	114.96
"pos-controls-3191"	183.67	215.15
"pos-controls-3192"	165.94	155.21
"pos-controls-3237"	556.15	505.75
"pos-controls-3238"	736.17	605.39
"pos-controls-3239"	528.22	473.33
"pos-controls-3240"	671.69	625.37
"pos-controls-3253"	151.18	113.62
"pos-controls-3254"	143.98	101.41
"pos-controls-3255"	123.65	106.61
"pos-controls-3256"	130.51	100.63
"pos-controls-3257"	119.35	113.49
"pos-controls-3258"	158.19	103.04
"pos-controls-3259"	115.03	114.19
"pos-controls-3260"	110.39	110.24
"pos-controls-3289"	135.16	115.12
"pos-controls-3290"	125.2	111.64
"pos-controls-3291"	135.19	105.65
"pos-controls-3292"	127.09	106.61
"pos-controls-3293"	91.94	79.87
"pos-controls-3294"	87.77	80.1
"pos-controls-3295"	85.11	93.01
"pos-controls-3296"	81.82	80.25
"pos-controls-3301"	179.36	135.45
"pos-controls-3302"	157.61	167.83
"pos-controls-3303"	182.73	116.48
"pos-controls-3304"	217.53	137.73
"pos-controls-3433"	111.75	91.55
"pos-controls-3434"	117.85	81.42
"pos-controls-3435"	95.24	87.9
"pos-controls-3436"	112.37	93.31
"pos-controls-3469"	117.33	108.58
"pos-controls-3470"	150.38	113.98
"pos-controls-3471"	101.77	121.23
"pos-controls-3472"	103.97	86.9
"pos-controls-3473"	129.19	105.53
"pos-controls-3474"	152.48	91.65
"pos-controls-3475"	137.65	100.86
"pos-controls-3476"	141.44	122.52
"pos-controls-3477"	148.32	113.62
"pos-controls-3478"	182.09	150.33
"pos-controls-3479"	123.55	147.62
"pos-controls-3480"	161.31	121.48
"pos-controls-3549"	87.26	84.04
"pos-controls-3550"	100.02	85.75
"pos-controls-3551"	93.35	81.19
"pos-controls-3552"	93.12	101.74
"pos-controls-3605"	79.41	82.21
"pos-controls-3606"	88.89	59.05
"pos-controls-3607"	91.14	62.68
"pos-controls-3608"	99.42	71.85
"pos-controls-3609"	87.91	90.55
"pos-controls-3610"	67.37	81.04
"pos-controls-3611"	75.7	64.49
"pos-controls-3612"	79.49	75.51
"pos-controls-3761"	147.84	130.65
"pos-controls-3762"	283.95	135.73
"pos-controls-3763"	146.73	138.23
"pos-controls-3764"	163.45	140.3
"pos-controls-3765"	101.53	84.85
"pos-controls-3766"	82.81	65
"pos-controls-3767"	68.61	98.3
"pos-controls-3768"	79.64	74.87
"pos-controls-3849"	233.04	199.2
"pos-controls-3850"	203.47	204.04
"pos-controls-3851"	161.72	186.25
"pos-controls-3852"	177.39	182.1
"pos-controls-3901"	156.02	120.38
"pos-controls-3902"	129.24	106.69
"pos-controls-3903"	109.24	102.89
"pos-controls-3904"	119.71	121.13
"pos-controls-4009"	542.64	402.06
"pos-controls-4010"	694.92	459.02
"pos-controls-4011"	524.59	440.57
"pos-controls-4012"	615.05	755
"pos-controls-4053"	102.08	99.59
"pos-controls-4054"	105.06	115.94
"pos-controls-4055"	138.92	122.66
"pos-controls-4056"	107.52	114.57
"pos-controls-4057"	99.12	65.12
"pos-controls-4058"	94.78	81.72
"pos-controls-4059"	85.6	80.2
"pos-controls-4060"	94.78	84.39
"pos-controls-4061"	129.67	77.24
"pos-controls-4062"	99.54	91.98
"pos-controls-4063"	124.1	91.2
"pos-controls-4064"	172.2	91.86
"pos-controls-4069"	159.83	170.74
"pos-controls-4070"	178.6	170.91
"pos-controls-4071"	164	195.21
"pos-controls-4072"	202.92	199.4
"pos-controls-4121"	167.02	129.32
"pos-controls-4122"	177.11	153.8
"pos-controls-4123"	168.33	161.91
"pos-controls-4124"	152.46	137.34
"pos-controls-4165"	146.23	205.88
"pos-controls-4166"	155.9	155.53
"pos-controls-4167"	117.57	108.72
"pos-controls-4168"	182.1	98.63
"pos-controls-4205"	617.32	499.87
"pos-controls-4206"	423.03	474.69
"pos-controls-4207"	376.03	457.07
"pos-controls-4208"	551.84	461.12
"pos-controls-4209"	94.01	90.72
"pos-controls-4210"	118.46	91.08
"pos-controls-4211"	121.27	80.3
"pos-controls-4212"	88.06	136.51
"pos-controls-4213"	94.03	84.81
"pos-controls-4214"	103.85	90.45
"pos-controls-4215"	105.19	92.11
"pos-controls-4216"	99.66	91.78
"pos-controls-4229"	336.04	279.89
"pos-controls-4230"	363	260.28
