"Reporter Name"	"US_NE_rawData_r1"	"US_NE_rawData_r2"
"pos-controls-2486"	59.02	64.14
"pos-controls-2487"	75.88	115.34
"pos-controls-2488"	62.61	62.74
"pos-controls-2697"	76.45	88.8
"pos-controls-2698"	92.23	93.03
"pos-controls-2699"	101.96	82.43
"pos-controls-2700"	79.29	86.35
"pos-controls-2701"	112.1	163.05
"pos-controls-2702"	133.83	126.21
"pos-controls-2703"	117.57	97.03
"pos-controls-2704"	164.63	180.54
"pos-controls-2777"	165.81	152.16
"pos-controls-2778"	249.96	166.77
"pos-controls-2779"	184.73	151.78
"pos-controls-2780"	137.12	158.42
"pos-controls-2833"	80.02	95.49
"pos-controls-2834"	82.84	87.55
"pos-controls-2835"	91.19	85.52
"pos-controls-2836"	105.83	93.42
"pos-controls-2837"	112.28	112.33
"pos-controls-2838"	107.74	125.36
"pos-controls-2839"	127.8	93.38
"pos-controls-2840"	109.82	131.39
"pos-controls-2841"	71.11	62.42
"pos-controls-2842"	67.93	59.73
"pos-controls-2843"	56.45	88.64
"pos-controls-2844"	62.38	62.73
"pos-controls-2873"	65.93	88.43
"pos-controls-2874"	93.48	87.43
"pos-controls-2875"	90.24	82.45
"pos-controls-2876"	85.23	86.61
"pos-controls-2941"	188.38	150.39
"pos-controls-2942"	180.72	154.5
"pos-controls-2943"	179.96	152.08
"pos-controls-2944"	159.25	182.25
"pos-controls-3041"	109.06	98.23
"pos-controls-3042"	105.39	95.58
"pos-controls-3043"	105.33	83.91
"pos-controls-3044"	116.76	93.51
"pos-controls-3061"	70.78	81.33
"pos-controls-3062"	103.68	92.45
"pos-controls-3063"	73.64	69.78
"pos-controls-3064"	80.47	70.02
"pos-controls-3189"	352.16	616.35
"pos-controls-3190"	595.06	727.23
"pos-controls-3191"	607.76	743.29
"pos-controls-3192"	687.66	740.12
"pos-controls-3237"	7751.31	7104.19
"pos-controls-3238"	8317.02	6920.2
"pos-controls-3239"	7640.35	6854.13
"pos-controls-3240"	8004.46	6728.97
"pos-controls-3253"	103.87	181.71
"pos-controls-3254"	108.76	157.15
"pos-controls-3255"	167.17	159.15
"pos-controls-3256"	122.58	190.88
"pos-controls-3257"	506.59	482.47
"pos-controls-3258"	389.56	365.99
"pos-controls-3259"	483.37	440.68
"pos-controls-3260"	424.37	372.41
"pos-controls-3289"	93.94	80.89
"pos-controls-3290"	83.42	96.14
"pos-controls-3291"	86.45	84.6
"pos-controls-3292"	133.52	85.14
"pos-controls-3293"	89.82	115.08
"pos-controls-3294"	96.39	103.5
"pos-controls-3295"	114.4	102.36
"pos-controls-3296"	97.29	107.35
"pos-controls-3301"	105.67	88.34
"pos-controls-3302"	118.76	107.55
"pos-controls-3303"	89.33	78.09
"pos-controls-3304"	112.56	96.88
"pos-controls-3433"	54.13	56.23
"pos-controls-3434"	79.1	52.94
"pos-controls-3435"	52.91	52.48
"pos-controls-3436"	69.51	62.64
"pos-controls-3469"	86.86	93.98
"pos-controls-3470"	73.75	90.09
