"Reporter Name"	"US_PO_rawData_r1"	"US_PO_rawData_r2"
"pos-controls-2455"	243.05	253.17
"pos-controls-2456"	200.59	197.45
"pos-controls-2457"	121.46	114.56
"pos-controls-2458"	139.94	123.07
"pos-controls-2459"	185.01	198.43
"pos-controls-2460"	118.78	127.7
"pos-controls-2461"	11346.44	10727.12
"pos-controls-2462"	12679.67	9991.08
"pos-controls-2463"	10038.47	9847.28
"pos-controls-2464"	10533.54	8638.08
"pos-controls-2485"	74.3	76.07
"pos-controls-2486"	97.29	98.58
"pos-controls-2487"	108.63	116.28
"pos-controls-2488"	77.45	79.53
"pos-controls-2697"	113.32	218.88
"pos-controls-2698"	149.18	264.28
"pos-controls-2699"	152.21	194.53
"pos-controls-2700"	193.11	253.22
"pos-controls-2701"	245.78	245.53
"pos-controls-2702"	266.42	277.14
"pos-controls-2703"	249.98	280.07
"pos-controls-2704"	287.58	329.54
"pos-controls-2777"	5016.38	5274.86
"pos-controls-2778"	6505.79	6228.92
"pos-controls-2779"	6024.03	5742.5
"pos-controls-2780"	5268.69	4894.22
"pos-controls-2833"	121.24	115.32
"pos-controls-2834"	119.9	135.87
"pos-controls-2835"	137.62	131.49
"pos-controls-2836"	124.4	155.38
"pos-controls-2837"	144.74	152.58
"pos-controls-2838"	158.87	144.38
"pos-controls-2839"	127.57	122.96
"pos-controls-2840"	171.54	159.64
"pos-controls-2841"	75.98	79.65
"pos-controls-2842"	78.34	75.31
"pos-controls-2843"	66.4	62.95
"pos-controls-2844"	99.06	87.45
"pos-controls-2873"	172.54	182.35
"pos-controls-2874"	251.74	228.12
"pos-controls-2875"	175.57	206.11
"pos-controls-2876"	176.71	199.95
"pos-controls-2941"	696.17	421.91
"pos-controls-2942"	596.87	565.03
"pos-controls-2943"	936.74	734.04
"pos-controls-2944"	654.68	588.13
"pos-controls-3041"	742.42	678.49
"pos-controls-3042"	525.79	538.99
"pos-controls-3043"	683.4	642.05
"pos-controls-3044"	622.13	745.26
"pos-controls-3061"	1409.56	990.39
"pos-controls-3062"	1357.69	651.94
"pos-controls-3063"	877.71	791.77
"pos-controls-3064"	1221.13	794.44
"pos-controls-3189"	42145.78	41122.49
"pos-controls-3190"	40526.06	40822.19
"pos-controls-3191"	40214.14	41087.27
"pos-controls-3192"	38923.56	42840.22
"pos-controls-3237"	11949.52	12608.38
"pos-controls-3238"	12243.58	12533.88
"pos-controls-3239"	11752.1	12469.18
"pos-controls-3240"	11322.48	11694.18
"pos-controls-3253"	6323.65	6677.71
"pos-controls-3254"	7076.12	6767
"pos-controls-3255"	6361.6	6066.2
"pos-controls-3256"	6079.8	6763.04
"pos-controls-3257"	135.51	127.88
"pos-controls-3258"	157.72	149.69
"pos-controls-3259"	221.8	240.66
"pos-controls-3260"	133.89	142.57
"pos-controls-3289"	2910.23	2642.08
"pos-controls-3290"	3532.69	3120.81
"pos-controls-3291"	2972.72	2750.1
"pos-controls-3292"	2995.3	2786.92
"pos-controls-3293"	73.08	68.61
"pos-controls-3294"	70.14	80.28
"pos-controls-3295"	85.62	97.87
"pos-controls-3296"	124.55	128.36
"pos-controls-3301"	5812.35	5945.5
"pos-controls-3302"	5732.66	6134.05
"pos-controls-3303"	5601.25	5909.15
"pos-controls-3304"	5171.43	5372.46
"pos-controls-3433"	23263.32	25354.28
"pos-controls-3434"	25626.72	27486.6
"pos-controls-3435"	25041.38	25888.57
"pos-controls-3436"	27184.44	26868.48
"pos-controls-3469"	157.41	139.82
"pos-controls-3470"	119.37	127.86
"pos-controls-3471"	135.46	142.11
"pos-controls-3472"	137.51	138.74
"pos-controls-3473"	167.21	120.28
"pos-controls-3474"	132.38	155.31
"pos-controls-3475"	162.22	178.99
"pos-controls-3476"	167.92	182.69
"pos-controls-3477"	79.71	69.93
"pos-controls-3478"	112.44	78.09
"pos-controls-3479"	79.1	86.56
"pos-controls-3480"	106.35	120.97
"pos-controls-3549"	23845.52	24073.54
"pos-controls-3550"	24526.53	24406.8
"pos-controls-3551"	22423.98	24066.36
"pos-controls-3552"	24258.36	24415.71
"pos-controls-3605"	69.93	59.22
"pos-controls-3606"	65.78	61.68
"pos-controls-3607"	67.53	59.86
"pos-controls-3608"	68.1	77.89
"pos-controls-3609"	73.53	55.1
"pos-controls-3610"	68.35	57.8
"pos-controls-3611"	70.39	70.29
"pos-controls-3612"	56.88	56.21
"pos-controls-3761"	11326.32	9429.46
"pos-controls-3762"	12179.74	9779.38
"pos-controls-3763"	11332.19	10862.87
"pos-controls-3764"	10664.09	10016.24
"pos-controls-3765"	140.5	147.02
"pos-controls-3766"	158.43	171.67
"pos-controls-3767"	111.6	110.81
"pos-controls-3768"	145.44	136.28
"pos-controls-3849"	152.95	160.06
"pos-controls-3850"	128.79	111.35
"pos-controls-3851"	161.58	149.05
"pos-controls-3852"	131.79	145.43
"pos-controls-3901"	188.96	145.22
"pos-controls-3902"	187.9	304.07
"pos-controls-3903"	211.84	245.02
"pos-controls-3904"	268.57	148.34
"pos-controls-4009"	37429.27	38605.07
"pos-controls-4010"	41343.96	40377.27
"pos-controls-4011"	39527.66	36912.81
"pos-controls-4012"	40719.46	37997.49
"pos-controls-4053"	127.81	106.42
"pos-controls-4054"	119.36	132.15
"pos-controls-4055"	132.41	117.02
"pos-controls-4056"	134.33	128.67
"pos-controls-4057"	110.9	106.78
"pos-controls-4058"	82.59	85.57
"pos-controls-4059"	92.21	82.08
"pos-controls-4060"	156.87	152.58
"pos-controls-4061"	104.78	98.12
"pos-controls-4062"	121.39	120.7
"pos-controls-4063"	116.91	128.34
