"Reporter Name"	"allData.replica1"	"allData.replica2"	"onlyRegionsData.replica1"	"onlyRegionsData.replica2"
"tcruzi-100055"	122.86	170.85	122.86	170.85
"tcruzi-100162"	132.59	112.15	132.59	112.15
"tcruzi-100284"	3601.91	2534.69	3601.91	2534.69
"tcruzi-100318"	125.45	124.94	125.45	124.94
"tcruzi-10046"	260.33	176.43	260.33	176.43
"tcruzi-100681"	2204.62	3087.42	2204.62	3087.42
"tcruzi-10070"	12886.01	10756.21	12886.01	10756.21
"tcruzi-100743"	6425.04	5111.66	6425.04	5111.66
"tcruzi-100813"	3691.59	1955.29	3691.59	1955.29
"tcruzi-101092"	112.38	95.19	112.38	95.19
"tcruzi-101299"	109.81	94.4	109.81	94.4
"tcruzi-101458"	299.16	183.12	299.16	183.12
"tcruzi-101588"	98.78	138.61	98.78	138.61
"tcruzi-101707"	76.78	65.52	76.78	65.52
"tcruzi-101832"	191.12	510.92	191.12	510.92
"tcruzi-101894"	302.64	163.19	302.64	163.19
"tcruzi-102254"	59.66	71.65	59.66	71.65
"tcruzi-1023"	55.1	68.23	55.1	68.23
"tcruzi-10242"	111.69	268.64	111.69	268.64
"tcruzi-102678"	99.15	70.32	99.15	70.32
"tcruzi-103137"	501.7	399.03	501.7	399.03
"tcruzi-103387"	100.82	93.69	100.82	93.69
"tcruzi-103639"	525.55	301.68	525.55	301.68
"tcruzi-103728"	47.15	75.13	47.15	75.13
"tcruzi-103831"	24272.38	20721.57	24272.38	20721.57
"tcruzi-103915"	6138.63	8451.67	6138.63	8451.67
"tcruzi-104192"	22695.17	22867.25	22695.17	22867.25
"tcruzi-104193"	13185.39	16641.07	13185.39	16641.07
"tcruzi-104196"	34211.58	41644.88	34211.58	41644.88
"tcruzi-104199"	32789.91	34102.38	32789.91	34102.38
"tcruzi-104201"	38345.36	34770.52	38345.36	34770.52
"tcruzi-104202"	33575.71	30875.98	33575.71	30875.98
"tcruzi-104203"	27888.18	32883.65	27888.18	32883.65
"tcruzi-104204"	28766.86	26983.03	28766.86	26983.03
"tcruzi-104210"	25072.26	23479.78	25072.26	23479.78
"tcruzi-104316"	10418.66	7481.63	10418.66	7481.63
"tcruzi-104444"	124.2	120.54	124.2	120.54
"tcruzi-104468"	23605.75	26650.03	23605.75	26650.03
"tcruzi-104469"	25325.51	24505.19	25325.51	24505.19
"tcruzi-104470"	26905.54	26837.2	26905.54	26837.2
"tcruzi-104471"	23674.38	23356.26	23674.38	23356.26
"tcruzi-104472"	31814.44	24628.49	31814.44	24628.49
"tcruzi-104720"	469	849.29	469	849.29
"tcruzi-10480"	1075.8	658.84	1075.8	658.84
"tcruzi-104858"	25951.77	22933.34	25951.77	22933.34
"tcruzi-104859"	29731.74	28766.86	29731.74	28766.86
"tcruzi-104860"	28199.76	25888.71	28199.76	25888.71
"tcruzi-104861"	33259.62	30449.33	33259.62	30449.33
"tcruzi-104862"	26580.32	24384.36	26580.32	24384.36
"tcruzi-104863"	20763.39	24030.29	20763.39	24030.29
"tcruzi-105168"	160.17	242.86	160.17	242.86
"tcruzi-105245"	102.38	131.21	102.38	131.21
"tcruzi-10541"	459.97	484.93	459.97	484.93
"tcruzi-106008"	445.71	618.88	445.71	618.88
"tcruzi-106060"	9538.7	11257.55	9538.7	11257.55
"tcruzi-106061"	12372.1	11539.76	12372.1	11539.76
"tcruzi-106211"	10142.59	11034.94	10142.59	11034.94
"tcruzi-106212"	5846.57	6519.67	5846.57	6519.67
"tcruzi-106221"	11790.34	10881.92	11790.34	10881.92
"tcruzi-106222"	6048.45	5692.21	6048.45	5692.21
"tcruzi-106223"	8756.68	10090.71	8756.68	10090.71
"tcruzi-106224"	15786.89	16877.14	15786.89	16877.14
"tcruzi-106226"	12173.7	14638.32	12173.7	14638.32
"tcruzi-106227"	762.82	787.03	762.82	787.03
"tcruzi-106269"	8961.57	13026.49	8961.57	13026.49
"tcruzi-106624"	153.68	162.08	153.68	162.08
"tcruzi-106719"	55.39	53.89	55.39	53.89
"tcruzi-107004"	196.2	169.98	196.2	169.98
"tcruzi-107008"	1059.73	604.68	1059.73	604.68
"tcruzi-107305"	99.32	83.19	99.32	83.19
"tcruzi-10742"	88.24	58.89	88.24	58.89
"tcruzi-10745"	9966.13	16480.4	9966.13	16480.4
"tcruzi-10756"	19990.01	20763.39	19990.01	20763.39
"tcruzi-10757"	30875.98	25621.43	30875.98	25621.43
"tcruzi-10759"	25503.08	26024.65	25503.08	26024.65
"tcruzi-10760"	537.46	589.89	537.46	589.89
"tcruzi-10761"	22816.8	20820.1	22816.8	20820.1
"tcruzi-10763"	26091.35	26372.5	26091.35	26372.5
"tcruzi-10766"	8881.78	9743.22	8881.78	9743.22
"tcruzi-10767"	3509.74	4028.67	3509.74	4028.67
"tcruzi-10768"	20562.02	20505.65	20562.02	20505.65
"tcruzi-10769"	97.89	110.79	97.89	110.79
"tcruzi-10771"	20037.32	21143.31	20037.32	21143.31
"tcruzi-10772"	25381.46	27575.56	25381.46	27575.56
"tcruzi-10773"	4627.32	4191.9	4627.32	4191.9
"tcruzi-10774"	3001.17	2858.46	3001.17	2858.46
"tcruzi-108081"	2104.88	2294.65	2104.88	2294.65
"tcruzi-10820"	3057.03	3884.13	3057.03	3884.13
"tcruzi-10821"	28042.72	28270.68	28042.72	28270.68
"tcruzi-108384"	12639.21	9276.99	12639.21	9276.99
"tcruzi-108385"	2072.65	2592.85	2072.65	2592.85
"tcruzi-108386"	4409.84	3346.45	4409.84	3346.45
"tcruzi-108387"	2226.22	1727.13	2226.22	1727.13
"tcruzi-108388"	7528.72	9405.24	7528.72	9405.24
"tcruzi-108389"	9771.46	11952.06	9771.46	11952.06
"tcruzi-108390"	9405.24	14246.39	9405.24	14246.39
"tcruzi-108391"	8552.13	10389.87	8552.13	10389.87
"tcruzi-108407"	59.82	69.11	59.82	69.11
"tcruzi-108790"	1605.21	578.25	1605.21	578.25
"tcruzi-108798"	368.24	419.32	368.24	419.32
"tcruzi-108805"	64.77	71.43	64.77	71.43
"tcruzi-108853"	348.3	323.51	348.3	323.51
"tcruzi-109067"	77.26	57.6	77.26	57.6
"tcruzi-109292"	549.45	495.8	549.45	495.8
"tcruzi-109312"	10246	17143.18	10246	17143.18
"tcruzi-109351"	491.27	629.05	491.27	629.05
"tcruzi-109483"	84.17	86.94	84.17	86.94
"tcruzi-110050"	228.69	196.77	228.69	196.77
"tcruzi-110393"	241.34	203.74	241.34	203.74
"tcruzi-1104"	4780.16	4571.56	4780.16	4571.56
"tcruzi-110636"	138.61	127.06	138.61	127.06
"tcruzi-110773"	86.49	115.67	86.49	115.67
"tcruzi-11128"	315.62	458.19	315.62	458.19
"tcruzi-111283"	451.21	257.68	451.21	257.68
"tcruzi-111289"	45.51	55.39	45.51	55.39
"tcruzi-11131"	381.58	840.28	381.58	840.28
"tcruzi-11132"	844.96	940.6	844.96	940.6
"tcruzi-111328"	4347.26	7756.42	4347.26	7756.42
"tcruzi-11136"	1156.77	1639.26	1156.77	1639.26
"tcruzi-11137"	1544.24	1885.59	1544.24	1885.59
"tcruzi-11140"	2126.39	2870.74	2126.39	2870.74
"tcruzi-111437"	262.08	242.21	262.08	242.21
"tcruzi-11144"	2245.95	1735.75	2245.95	1735.75
"tcruzi-11145"	1875.91	1807.85	1875.91	1807.85
"tcruzi-11146"	2858.46	2494.09	2858.46	2494.09
"tcruzi-11147"	2450.11	2172.65	2450.11	2172.65
"tcruzi-11148"	16641.07	13720.68	16641.07	13720.68
"tcruzi-11149"	2116.3	2204.62	2116.3	2204.62
"tcruzi-11150"	6312.72	5181.89	6312.72	5181.89
"tcruzi-11151"	19146.44	10637.39	19146.44	10637.39
"tcruzi-11157"	983.48	747.43	983.48	747.43
