"Reporter Name"	"allData.replica1"	"allData.replica2"	"onlyRegionsData.replica1"	"onlyRegionsData.replica2"
"tcruzi-110050"	288.18	105.16	288.18	105.16
"tcruzi-110393"	151.7	99.72	151.7	99.72
"tcruzi-1104"	1946.25	2042.09	1946.25	2042.09
"tcruzi-110636"	108.17	265	108.17	265
"tcruzi-110773"	168.34	87.57	168.34	87.57
"tcruzi-11128"	8006.07	7528.72	8006.07	7528.72
"tcruzi-111283"	1241.98	1124.89	1241.98	1124.89
"tcruzi-111289"	49.9	56	49.9	56
"tcruzi-11131"	267.7	1995.63	267.7	1995.63
"tcruzi-11132"	1727.13	7457.01	1727.13	7457.01
"tcruzi-111328"	1567.81	5790.65	1567.81	5790.65
"tcruzi-11136"	15632.57	13690.09	15632.57	13690.09
"tcruzi-11137"	15858.74	14900.51	15858.74	14900.51
"tcruzi-11140"	11227.51	16788.71	11227.51	16788.71
"tcruzi-111437"	45.99	120.8	45.99	120.8
"tcruzi-11144"	14565.21	11660.13	14565.21	11660.13
"tcruzi-11145"	17109.13	15096.75	17109.13	15096.75
"tcruzi-11146"	14421.39	12469.07	14421.39	12469.07
"tcruzi-11147"	15671.28	13504.79	15671.28	13504.79
"tcruzi-11148"	14712.7	15139.01	14712.7	15139.01
"tcruzi-11149"	15542.5	15381.23	15542.5	15381.23
"tcruzi-11150"	20188.31	18721.04	20188.31	18721.04
"tcruzi-11151"	19842.97	17476.21	19842.97	17476.21
"tcruzi-11157"	989.53	1054.87	989.53	1054.87
"tcruzi-111717"	246.93	196.48	246.93	196.48
"tcruzi-11178"	901.18	1289.16	901.18	1289.16
"tcruzi-112015"	77.96	67.64	77.96	67.64
"tcruzi-112284"	1544.24	1114.98	1544.24	1114.98
"tcruzi-11245"	940.6	438.69	940.6	438.69
"tcruzi-112796"	9691.05	7811.9	9691.05	7811.9
"tcruzi-112986"	21.81	99.53	21.81	99.53
"tcruzi-113024"	156.48	131.91	156.48	131.91
"tcruzi-11312"	616.4	213.3	616.4	213.3
"tcruzi-113371"	290.13	51.7	290.13	51.7
"tcruzi-113604"	7316.35	6004.09	7316.35	6004.09
"tcruzi-113638"	60.53	72.01	60.53	72.01
"tcruzi-113731"	1104.61	1007.02	1104.61	1007.02
"tcruzi-114213"	198.41	273.36	198.41	273.36
"tcruzi-114592"	163.19	85.52	163.19	85.52
"tcruzi-114752"	425.43	274.27	425.43	274.27
"tcruzi-115101"	13690.09	12238.06	13690.09	12238.06
"tcruzi-115119"	36	31.67	36	31.67
"tcruzi-115292"	142.43	130.6	142.43	130.6
"tcruzi-115743"	47.28	41.88	47.28	41.88
"tcruzi-115822"	31.22	21.31	31.22	21.31
"tcruzi-115988"	228	168.34	228	168.34
"tcruzi-116455"	26.37	132.34	26.37	132.34
"tcruzi-116793"	25951.77	21530.83	25951.77	21530.83
"tcruzi-117284"	19481.3	15901.82	19481.3	15901.82
"tcruzi-117285"	18402.77	17074.58	18402.77	17074.58
"tcruzi-117286"	20287.55	18823.41	20287.55	18823.41
"tcruzi-117287"	13148.88	12606.55	13148.88	12606.55
"tcruzi-117288"	20721.57	19010.38	20721.57	19010.38
"tcruzi-117486"	24.38	24.94	24.38	24.94
"tcruzi-117502"	501.7	1177.72	501.7	1177.72
"tcruzi-117539"	85.04	85.04	85.04	85.04
"tcruzi-117771"	83.85	94.4	83.85	94.4
"tcruzi-117841"	37.75	20.23	37.75	20.23
"tcruzi-118052"	41.71	19.11	41.71	19.11
"tcruzi-118074"	3164.34	3994.36	3164.34	3994.36
"tcruzi-118075"	5605.65	5771.05	5605.65	5771.05
"tcruzi-118076"	4627.32	3493.65	4627.32	3493.65
"tcruzi-118077"	5341.1	5708.79	5341.1	5708.79
"tcruzi-118078"	3477.85	3317.63	3477.85	3317.63
"tcruzi-118079"	151.39	164.3	151.39	164.3
"tcruzi-118080"	2461.51	2394.18	2461.51	2394.18
"tcruzi-118114"	139.87	161.33	139.87	161.33
"tcruzi-118127"	40.77	94.04	40.77	94.04
