"Reporter Name"	"allData.replica1"	"allData.replica2"	"onlyRegionsData.replica1"	"onlyRegionsData.replica2"
"tcruzi-110393"	141.8	160.56	141.8	160.56
"tcruzi-1104"	7756.42	8503.8	7756.42	8503.8
"tcruzi-110636"	66.41	43.83	66.41	43.83
"tcruzi-110773"	54.22	112.15	54.22	112.15
"tcruzi-11128"	2256.85	791.09	2256.85	791.09
"tcruzi-111283"	256.11	267.7	256.11	267.7
"tcruzi-111289"	28.19	35.08	28.19	35.08
"tcruzi-11131"	1152.08	1094.02	1152.08	1094.02
"tcruzi-11132"	2643.93	2534.69	2643.93	2534.69
"tcruzi-111328"	272.25	191.6	272.25	191.6
"tcruzi-11136"	1283.76	773.38	1283.76	773.38
"tcruzi-11137"	1445.68	811.62	1445.68	811.62
"tcruzi-11140"	2204.62	1342.17	2204.62	1342.17
"tcruzi-111437"	76.02	40.69	76.02	40.69
"tcruzi-11144"	2184.76	1575.72	2184.76	1575.72
"tcruzi-11145"	2350.71	1400.33	2350.71	1400.33
"tcruzi-11146"	4028.67	2082.56	4028.67	2082.56
"tcruzi-11147"	3087.42	1754.57	3087.42	1754.57
"tcruzi-11148"	4965.84	2116.3	4965.84	2116.3
"tcruzi-11149"	7362.03	2697.28	7362.03	2697.28
"tcruzi-11150"	10190.25	3087.42	10190.25	3087.42
"tcruzi-11151"	6207.16	2735.71	6207.16	2735.71
"tcruzi-11157"	2494.09	1466.81	2494.09	1466.81
"tcruzi-111717"	3243.55	4212.04	3243.55	4212.04
"tcruzi-11178"	1598.39	527.5	1598.39	527.5
"tcruzi-112015"	1626.15	1798.24	1626.15	1798.24
"tcruzi-112284"	77.57	122.19	77.57	122.19
"tcruzi-11245"	3317.63	1527.93	3317.63	1527.93
"tcruzi-112796"	23674.38	25750.29	23674.38	25750.29
"tcruzi-112986"	694.4	625.71	694.4	625.71
"tcruzi-113024"	115.37	51.57	115.37	51.57
"tcruzi-11312"	979.1	194.7	979.1	194.7
"tcruzi-113371"	77.72	117.68	77.72	117.68
"tcruzi-113604"	114.18	112.38	114.18	112.38
"tcruzi-113638"	111.25	111.48	111.25	111.48
"tcruzi-113731"	105.76	49.9	105.76	49.9
"tcruzi-114213"	169.56	118.17	169.56	118.17
"tcruzi-114592"	57.6	70.32	57.6	70.32
"tcruzi-114752"	147.72	124.5	147.72	124.5
"tcruzi-115101"	18920.62	21252.75	18920.62	21252.75
"tcruzi-115119"	24.38	26.37	24.38	26.37
"tcruzi-115292"	87.76	120.93	87.76	120.93
"tcruzi-115743"	34.9	41.35	34.9	41.35
"tcruzi-115822"	489.22	736.48	489.22	736.48
"tcruzi-115988"	306.37	369.77	306.37	369.77
