"Reporter Name"	"allData.replica1"	"allData.replica2"	"onlyRegionsData.replica1"	"onlyRegionsData.replica2"
"tcruzi-100055"	94.21	98.59	94.21	98.59
"tcruzi-100162"	55.84	36.21	55.84	36.21
"tcruzi-100284"	96.61	170.44	96.61	170.44
"tcruzi-100318"	66.57	65.52	66.57	65.52
"tcruzi-10046"	556.6	473.74	556.6	473.74
"tcruzi-100681"	11377.03	11601.43	11377.03	11601.43
"tcruzi-10070"	14601.35	18678.32	14601.35	18678.32
"tcruzi-100743"	434.35	578.25	434.35	578.25
"tcruzi-100813"	99.15	38.08	99.15	38.08
"tcruzi-101092"	50.79	41.88	50.79	41.88
"tcruzi-101299"	57.45	74.84	57.45	74.84
"tcruzi-101458"	56.26	171.25	56.26	171.25
"tcruzi-101588"	83.85	111.69	83.85	111.69
"tcruzi-101707"	119.84	86.8	119.84	86.8
"tcruzi-101832"	246.16	135.34	246.16	135.34
"tcruzi-101894"	91.52	136.24	91.52	136.24
"tcruzi-102254"	39.64	36.74	39.64	36.74
"tcruzi-1023"	36.4	33.78	36.4	33.78
"tcruzi-10242"	42.66	41.56	42.66	41.56
"tcruzi-102678"	284.29	312.74	284.29	312.74
"tcruzi-103137"	141.27	85.52	141.27	85.52
"tcruzi-103387"	195.33	119.38	195.33	119.38
"tcruzi-103639"	386.3	353.78	386.3	353.78
"tcruzi-103728"	72.24	84.86	72.24	84.86
"tcruzi-103831"	14483.56	11919.94	14483.56	11919.94
"tcruzi-103915"	6823.36	10756.21	6823.36	10756.21
"tcruzi-104192"	22282.09	17526.64	22282.09	17526.64
"tcruzi-104193"	6496.92	9330.65	6496.92	9330.65
"tcruzi-104196"	29803	31059.06	29803	31059.06
"tcruzi-104199"	27061.51	26091.35	27061.51	26091.35
"tcruzi-104201"	32118.02	33165.39	32118.02	33165.39
"tcruzi-104202"	35951.67	32513.59	35951.67	32513.59
"tcruzi-104203"	34211.58	29247.1	34211.58	29247.1
"tcruzi-104204"	32604.91	34526.36	32604.91	34526.36
"tcruzi-104210"	29317.34	26301.36	29317.34	26301.36
"tcruzi-104316"	78.2	84.17	78.2	84.17
"tcruzi-104444"	112.97	97.89	112.97	97.89
"tcruzi-104468"	25750.29	27809.24	25750.29	27809.24
"tcruzi-104469"	28351.75	29657.74	28351.75	29657.74
"tcruzi-104470"	18721.04	26763.58	18721.04	26763.58
"tcruzi-104471"	2569.25	1825.8	2569.25	1825.8
"tcruzi-104472"	19107.6	16961.86	19107.6	16961.86
"tcruzi-104720"	1985.51	2195.46	1985.51	2195.46
"tcruzi-10480"	559.48	1215.04	559.48	1215.04
"tcruzi-104858"	28668.32	24089	28668.32	24089
"tcruzi-104859"	27972.13	24565.6	27972.13	24565.6
"tcruzi-104860"	23908.67	31160.17	23908.67	31160.17
"tcruzi-104861"	29657.74	33680.47	29657.74	33680.47
"tcruzi-104862"	26983.03	28438.15	26983.03	28438.15
"tcruzi-104863"	21466.86	22991.11	21466.86	22991.11
"tcruzi-105168"	188.15	130.6	188.15	130.6
"tcruzi-105245"	106.87	121.51	106.87	121.51
"tcruzi-10541"	4064.29	2722.59	4064.29	2722.59
"tcruzi-106008"	329.98	289.1	329.98	289.1
"tcruzi-106060"	8604.62	10418.66	8604.62	10418.66
"tcruzi-106061"	8881.78	6758.57	8881.78	6758.57
"tcruzi-106211"	10611.07	10064.27	10611.07	10064.27
"tcruzi-106212"	5771.05	6903.98	5771.05	6903.98
"tcruzi-106221"	9826.81	11200	9826.81	11200
"tcruzi-106222"	7269.48	7251.76	7269.48	7251.76
"tcruzi-106223"	11133.87	11823.24	11133.87	11823.24
"tcruzi-106224"	9014.96	9589.91	9014.96	9589.91
"tcruzi-106226"	12173.7	9826.81	12173.7	9826.81
"tcruzi-106227"	246.93	246.93	246.93	246.93
"tcruzi-106269"	1420.41	1120.88	1420.41	1120.88
"tcruzi-106624"	143.82	207.88	143.82	207.88
"tcruzi-106719"	96.95	83.19	96.95	83.19
"tcruzi-107004"	105.76	150.35	105.76	150.35
"tcruzi-107008"	759.46	672.87	759.46	672.87
"tcruzi-107305"	37.42	39.32	37.42	39.32
"tcruzi-10742"	340.27	127.06	340.27	127.06
"tcruzi-10745"	7135.61	6476.01	7135.61	6476.01
"tcruzi-10756"	16641.07	20231.15	16641.07	20231.15
"tcruzi-10757"	26445.87	23293.48	26445.87	23293.48
"tcruzi-10759"	22184.8	15057.67	22184.8	15057.67
"tcruzi-10760"	3994.36	3691.59	3994.36	3691.59
"tcruzi-10761"	14175.96	15589.77	14175.96	15589.77
"tcruzi-10763"	19379.94	12847.38	19379.94	12847.38
"tcruzi-10766"	23048.64	21895.61	23048.64	21895.61
"tcruzi-10767"	23851.48	14421.39	23851.48	14421.39
"tcruzi-10768"	24215.96	20452.6	24215.96	20452.6
"tcruzi-10769"	140.17	164.3	140.17	164.3
"tcruzi-10771"	7906.81	8079.74	7906.81	8079.74
"tcruzi-10772"	21778.73	24272.38	21778.73	24272.38
"tcruzi-10773"	15823.92	16313.97	15823.92	16313.97
"tcruzi-10774"	5201.45	4929.97	5201.45	4929.97
"tcruzi-108081"	5167.16	5035.48	5167.16	5035.48
"tcruzi-10820"	10012.27	12018.5	10012.27	12018.5
"tcruzi-10821"	24946.91	21662.98	24946.91	21662.98
"tcruzi-108384"	397.34	372.95	397.34	372.95
"tcruzi-108385"	13393.12	10190.25	13393.12	10190.25
"tcruzi-108386"	12920.19	14175.96	12920.19	14175.96
"tcruzi-108387"	11227.51	10786.54	11227.51	10786.54
"tcruzi-108388"	5497.68	6138.63	5497.68	6138.63
"tcruzi-108389"	6312.72	9639.64	6312.72	9639.64
"tcruzi-108390"	8783.1	9510.71	8783.1	9510.71
"tcruzi-108391"	7203.27	6228.95	7203.27	6228.95
"tcruzi-108407"	79.89	46.85	79.89	46.85
"tcruzi-108790"	6333.54	4064.29	6333.54	4064.29
"tcruzi-108798"	2439.76	3271.36	2439.76	3271.36
"tcruzi-108805"	71.22	94.98	71.22	94.98
"tcruzi-108853"	159.44	252.57	159.44	252.57
"tcruzi-109067"	88.76	54.53	88.76	54.53
"tcruzi-109292"	601.36	1453.06	601.36	1453.06
"tcruzi-109312"	1412.15	1646.5	1412.15	1646.5
"tcruzi-109351"	239.91	377.31	239.91	377.31
"tcruzi-109483"	224.67	144.81	224.67	144.81
"tcruzi-110050"	93.17	58.48	93.17	58.48
"tcruzi-110393"	828.2	766.09	828.2	766.09
"tcruzi-1104"	8451.67	10910.92	8451.67	10910.92
"tcruzi-110636"	58.48	46.52	58.48	46.52
"tcruzi-110773"	41.56	52.42	41.56	52.42
"tcruzi-11128"	1202.2	1289.16	1202.2	1289.16
"tcruzi-111283"	32984.4	7906.81	32984.4	7906.81
"tcruzi-111289"	86.49	39.99	86.49	39.99
"tcruzi-11131"	5455.47	6999.65	5455.47	6999.65
"tcruzi-11132"	10786.54	13218.51	10786.54	13218.51
"tcruzi-111328"	179.75	237.65	179.75	237.65
"tcruzi-11136"	7811.9	6160.8	7811.9	6160.8
"tcruzi-11137"	9357.62	9065.7	9357.62	9065.7
"tcruzi-11140"	10973.65	12747.49	10973.65	12747.49
"tcruzi-111437"	68.49	82.33	68.49	82.33
"tcruzi-11144"	14565.21	12339.88	14565.21	12339.88
"tcruzi-11145"	17143.18	12497.57	17143.18	12497.57
"tcruzi-11146"	19536.34	8652.52	19536.34	8652.52
"tcruzi-11147"	16280.19	15139.01	16280.19	15139.01
"tcruzi-11148"	3601.91	5072.51	3601.91	5072.51
"tcruzi-11149"	5243.32	6931.64	5243.32	6931.64
"tcruzi-11150"	9462.4	8475.17	9462.4	8475.17
"tcruzi-11151"	5518.42	7457.01	5518.42	7457.01
"tcruzi-11157"	959.84	2762.99	959.84	2762.99
"tcruzi-111717"	162.5	204.91	162.5	204.91
"tcruzi-11178"	10389.87	10525.9	10389.87	10525.9
"tcruzi-112015"	97.49	78.95	97.49	78.95
"tcruzi-112284"	93.69	93.17	93.69	93.17
"tcruzi-11245"	1655.68	3588.67	1655.68	3588.67
"tcruzi-112796"	896.17	1202.2	896.17	1202.2
"tcruzi-112986"	63.63	65.37	63.63	65.37
"tcruzi-113024"	52.97	129.19	52.97	129.19
"tcruzi-11312"	372.95	351.02	372.95	351.02
"tcruzi-113371"	968.28	1208.59	968.28	1208.59
"tcruzi-113604"	159.79	224.67	159.79	224.67
"tcruzi-113638"	191.12	177.38	191.12	177.38
"tcruzi-113731"	77.43	55.26	77.43	55.26
"tcruzi-114213"	766.09	403.73	766.09	403.73
"tcruzi-114592"	54.89	42.66	54.89	42.66
"tcruzi-114752"	110.79	141.8	110.79	141.8
