"Reporter Name"	"allData.replica1"	"allData.replica2"	"onlyRegionsData.replica1"	"onlyRegionsData.replica2"
"tcruzi-100055"	256.52	97.3	256.52	97.3
"tcruzi-100162"	139.19	113.43	139.19	113.43
"tcruzi-100284"	185.63	151.7	185.63	151.7
"tcruzi-100318"	213.95	90.35	213.95	90.35
"tcruzi-10046"	378.81	287.71	378.81	287.71
"tcruzi-100681"	2534.69	2971.26	2534.69	2971.26
"tcruzi-10070"	9510.71	9538.7	9510.71	9538.7
"tcruzi-100743"	3164.34	4947.36	3164.34	4947.36
"tcruzi-100813"	63.46	174.38	63.46	174.38
"tcruzi-101092"	36.96	19.11	36.96	19.11
"tcruzi-101299"	96.61	120.67	96.61	120.67
"tcruzi-101458"	40.34	120.04	40.34	120.04
"tcruzi-101588"	228	194.49	228	194.49
"tcruzi-101707"	104	110.21	104	110.21
"tcruzi-101832"	1054.87	1054.87	1054.87	1054.87
"tcruzi-101894"	200.91	277.82	200.91	277.82
"tcruzi-102254"	79.27	121.98	79.27	121.98
"tcruzi-1023"	32.88	17.37	32.88	17.37
"tcruzi-10242"	59.49	35.45	59.49	35.45
"tcruzi-102678"	107.71	79.58	107.71	79.58
"tcruzi-103137"	125.56	46.85	125.56	46.85
"tcruzi-103387"	169.56	92.46	169.56	92.46
"tcruzi-103639"	303.82	140.57	303.82	140.57
"tcruzi-103728"	108.96	297.19	108.96	297.19
"tcruzi-103831"	7041.5	4780.16	7041.5	4780.16
"tcruzi-103915"	2673.13	3395.4	2673.13	3395.4
"tcruzi-104192"	11200	11988.04	11200	11988.04
"tcruzi-104193"	7160.79	7384.46	7160.79	7384.46
"tcruzi-104196"	29469.83	28270.68	29469.83	28270.68
"tcruzi-104199"	29803	29175.43	29803	29175.43
"tcruzi-104201"	30114.02	31437.63	30114.02	31437.63
"tcruzi-104202"	29175.43	29396	29175.43	29396
"tcruzi-104203"	21143.31	20922.29	21143.31	20922.29
"tcruzi-104204"	20871.37	19379.94	20871.37	19379.94
"tcruzi-104210"	13822.7	13253.79	13822.7	13253.79
"tcruzi-104316"	93.36	32.66	93.36	32.66
"tcruzi-104444"	140.17	99.24	140.17	99.24
"tcruzi-104468"	17302.09	15706.03	17302.09	15706.03
"tcruzi-104469"	20037.32	18453.84	20037.32	18453.84
"tcruzi-104470"	20085.62	18537.64	20085.62	18537.64
"tcruzi-104471"	181.5	103.4	181.5	103.4
"tcruzi-104472"	766.09	1017.22	766.09	1017.22
"tcruzi-104720"	578.25	856.71	578.25	856.71
"tcruzi-10480"	1934.77	1605.21	1934.77	1605.21
"tcruzi-104858"	13218.51	11503.64	13218.51	11503.64
"tcruzi-104859"	15706.03	13148.88	15706.03	13148.88
"tcruzi-104860"	12339.88	11790.34	12339.88	11790.34
"tcruzi-104861"	15424.18	14864.14	15424.18	14864.14
"tcruzi-104862"	15096.75	13393.12	15096.75	13393.12
"tcruzi-104863"	4830.52	5093	4830.52	5093
"tcruzi-105168"	188.92	67.7	188.92	67.7
"tcruzi-105245"	358.34	52.84	358.34	52.84
"tcruzi-10541"	1241.98	640.88	1241.98	640.88
"tcruzi-106008"	115.14	289.1	115.14	289.1
"tcruzi-106060"	18769.5	18637.08	18769.5	18637.08
