"Reporter Name"	"allData.replica1"	"allData.replica2"	"onlyRegionsData.replica1"	"onlyRegionsData.replica2"
"tcruzi-109483"	9718.07	10090.71	9718.07	10090.71
"tcruzi-110050"	25.21	62.71	25.21	62.71
"tcruzi-110393"	241.34	676.43	241.34	676.43
"tcruzi-1104"	5129.69	4486.82	5129.69	4486.82
"tcruzi-110636"	45.64	140.7	45.64	140.7
"tcruzi-110773"	42.34	123.88	42.34	123.88
"tcruzi-11128"	8144.54	4551.73	8144.54	4551.73
"tcruzi-111283"	807.78	679.15	807.78	679.15
"tcruzi-111289"	67.76	27.96	67.76	27.96
"tcruzi-11131"	3283.51	3229.01	3283.51	3229.01
"tcruzi-11132"	10582.6	8756.68	10582.6	8756.68
"tcruzi-111328"	518.55	954.52	518.55	954.52
"tcruzi-11136"	5167.16	1254.36	5167.16	1254.36
"tcruzi-11137"	5475.28	1317.17	5475.28	1317.17
"tcruzi-11140"	5368.83	3043.12	5368.83	3043.12
"tcruzi-111437"	201.91	209.3	201.91	209.3
"tcruzi-11144"	6027.18	2735.71	6027.18	2735.71
"tcruzi-11145"	6355.32	1743.18	6355.32	1743.18
"tcruzi-11146"	5324.84	2722.59	5324.84	2722.59
"tcruzi-11147"	5455.47	2913.95	5455.47	2913.95
"tcruzi-11148"	6797.21	5432.68	6797.21	5432.68
"tcruzi-11149"	11104.9	11503.64	11104.9	11503.64
"tcruzi-11150"	12747.49	11601.43	12747.49	11601.43
"tcruzi-11151"	13541.52	13185.39	13541.52	13185.39
"tcruzi-11157"	815.27	1490.96	815.27	1490.96
"tcruzi-111717"	114.84	101.02	114.84	101.02
"tcruzi-11178"	3588.67	2685.91	3588.67	2685.91
"tcruzi-112015"	165.52	52.55	165.52	52.55
"tcruzi-112284"	123.88	126.53	123.88	126.53
"tcruzi-11245"	4191.9	4668.18	4191.9	4668.18
"tcruzi-112796"	3868.17	5539.58	3868.17	5539.58
"tcruzi-112986"	43.66	69.72	43.66	69.72
