"Reporter Name"	"allData.replica1"	"allData.replica2"	"onlyRegionsData.replica1"	"onlyRegionsData.replica2"
"tcruzi-110050"	215.83	316.86	215.83	316.86
"tcruzi-110393"	80.19	196.77	80.19	196.77
"tcruzi-1104"	8261.54	7481.63	8261.54	7481.63
"tcruzi-110636"	48.27	81.36	48.27	81.36
"tcruzi-110773"	103.24	72.73	103.24	72.73
"tcruzi-11128"	3493.65	4134.06	3493.65	4134.06
"tcruzi-111283"	346.94	430.88	346.94	430.88
"tcruzi-111289"	29.17	62.71	29.17	62.71
"tcruzi-11131"	2619.14	1773.17	2619.14	1773.17
"tcruzi-11132"	5939.29	5035.48	5939.29	5035.48
"tcruzi-111328"	360.65	363.8	360.65	363.8
"tcruzi-11136"	3785.93	2643.93	3785.93	2643.93
"tcruzi-11137"	4761.58	2774.14	4761.58	2774.14
"tcruzi-11140"	3802.43	3181.42	3802.43	3181.42
"tcruzi-111437"	60.93	84.02	60.93	84.02
"tcruzi-11144"	3164.34	1885.59	3164.34	1885.59
"tcruzi-11145"	3770.73	2450.11	3770.73	2450.11
"tcruzi-11146"	5280.08	2328.87	5280.08	2328.87
"tcruzi-11147"	4228.2	2404.17	4228.2	2404.17
"tcruzi-11148"	5981.22	5539.58	5981.22	5539.58
"tcruzi-11149"	6450.37	4409.84	6450.37	4409.84
"tcruzi-11150"	8053.5	7041.5	8053.5	7041.5
"tcruzi-11151"	6228.95	5627.5	6228.95	5627.5
"tcruzi-11157"	2805.68	1727.13	2805.68	1727.13
"tcruzi-111717"	278.83	185.18	278.83	185.18
"tcruzi-11178"	4028.67	3229.01	4028.67	3229.01
"tcruzi-112015"	187.19	105.59	187.19	105.59
"tcruzi-112284"	136.24	157.17	136.24	157.17
"tcruzi-11245"	5605.65	3149.13	5605.65	3149.13
"tcruzi-112796"	11104.9	12886.01	11104.9	12886.01
"tcruzi-112986"	33.78	91.2	33.78	91.2
"tcruzi-113024"	64.77	55.71	64.77	55.71
"tcruzi-11312"	1237.14	906.33	1237.14	906.33
"tcruzi-113371"	138.35	81.18	138.35	81.18
"tcruzi-113604"	178.27	529.61	178.27	529.61
"tcruzi-113638"	201.91	261.24	201.91	261.24
"tcruzi-113731"	157.17	95.73	157.17	95.73
"tcruzi-114213"	111.92	47	111.92	47
"tcruzi-114592"	3884.13	618.88	3884.13	618.88
"tcruzi-114752"	1438.46	1208.59	1438.46	1208.59
"tcruzi-115101"	22867.25	25381.46	22867.25	25381.46
"tcruzi-115119"	20.23	30.31	20.23	30.31
"tcruzi-115292"	192.14	121.17	192.14	121.17
"tcruzi-115743"	72.08	37.03	72.08	37.03
"tcruzi-115822"	94.04	143.12	94.04	143.12
"tcruzi-115988"	84.5	169.98	84.5	169.98
"tcruzi-116455"	136.86	298.07	136.86	298.07
"tcruzi-116793"	27288.16	23851.48	27288.16	23851.48
"tcruzi-117284"	10165.23	9826.81	10165.23	9826.81
"tcruzi-117285"	8684.02	9430.19	8684.02	9430.19
"tcruzi-117286"	9589.91	9743.22	9589.91	9743.22
"tcruzi-117287"	3195.58	6207.16	3195.58	6207.16
"tcruzi-117288"	12206.43	10786.54	12206.43	10786.54
"tcruzi-117486"	27.7	38.43	27.7	38.43
"tcruzi-117502"	1466.81	3028.94	1466.81	3028.94
"tcruzi-117539"	41.71	94.4	41.71	94.4
"tcruzi-117771"	31.44	50.79	31.44	50.79
"tcruzi-117841"	32.02	38.61	32.02	38.61
"tcruzi-118052"	60.67	45.51	60.67	45.51
"tcruzi-118074"	9065.7	8333.57	9065.7	8333.57
"tcruzi-118075"	10813.85	10495.38	10813.85	10495.38
"tcruzi-118076"	11071	9639.64	11071	9639.64
"tcruzi-118077"	11473.09	11601.43	11473.09	11601.43
"tcruzi-118078"	8604.62	9405.24	8604.62	9405.24
"tcruzi-118079"	516.29	871.88	516.29	871.88
"tcruzi-118080"	2546.1	3117.89	2546.1	3117.89
"tcruzi-118114"	162.08	73.33	162.08	73.33
"tcruzi-118127"	31.22	48.1	31.22	48.1
"tcruzi-118153"	119.73	88.76	119.73	88.76
"tcruzi-118307"	202.54	247.68	202.54	247.68
"tcruzi-118531"	132.84	158.71	132.84	158.71
"tcruzi-118658"	59.95	36.89	59.95	36.89
"tcruzi-118983"	306.37	542.57	306.37	542.57
"tcruzi-120005"	38.43	108.86	38.43	108.86
"tcruzi-120610"	87.76	99.53	87.76	99.53
"tcruzi-120717"	2256.85	294.18	2256.85	294.18
"tcruzi-120743"	747.43	1065.41	747.43	1065.41
"tcruzi-120792"	24.67	34.14	24.67	34.14
"tcruzi-120994"	54.89	50.33	54.89	50.33
"tcruzi-121354"	544.44	687.9	544.44	687.9
"tcruzi-121736"	170.85	56	170.85	56
"tcruzi-121803"	176.02	276.78	176.02	276.78
"tcruzi-122078"	12.71	17.37	12.71	17.37
"tcruzi-122200"	92.82	48.86	92.82	48.86
"tcruzi-122576"	6476.01	7019.15	6476.01	7019.15
"tcruzi-122598"	16242.9	18537.64	16242.9	18537.64
"tcruzi-122640"	51.42	20.23	51.42	20.23
"tcruzi-122803"	45.43	42.99	45.43	42.99
"tcruzi-122979"	237.33	259.42	237.33	259.42
"tcruzi-123067"	13469.37	12050.53	13469.37	12050.53
"tcruzi-123375"	73.59	125.67	73.59	125.67
"tcruzi-123430"	72.88	36.21	72.88	36.21
