"Reporter Name"	"allData.replica1"	"allData.replica2"	"onlyRegionsData.replica1"	"onlyRegionsData.replica2"
"tcruzi-100055"	77.1	83.94	77.1	83.94
"tcruzi-100162"	77.26	88.96	77.26	88.96
"tcruzi-100284"	19379.94	18268.51	19379.94	18268.51
"tcruzi-100318"	112.15	77.1	112.15	77.1
"tcruzi-10046"	234.09	92.28	234.09	92.28
"tcruzi-100681"	6778.97	11034.94	6778.97	11034.94
"tcruzi-10070"	3559.75	3615.9	3559.75	3615.9
"tcruzi-100743"	778.42	901.18	778.42	901.18
"tcruzi-100813"	84.67	53.12	84.67	53.12
"tcruzi-101092"	64.63	99.96	64.63	99.96
"tcruzi-101299"	115.52	170.44	115.52	170.44
"tcruzi-101458"	1317.17	1147.48	1317.17	1147.48
"tcruzi-101588"	91.37	117.23	91.37	117.23
"tcruzi-101707"	203.74	236.36	203.74	236.36
"tcruzi-101832"	276.78	291.04	276.78	291.04
"tcruzi-101894"	283.2	471.64	283.2	471.64
"tcruzi-102254"	156.16	140.43	156.16	140.43
"tcruzi-1023"	26.05	82.18	26.05	82.18
"tcruzi-10242"	51.5	36.21	51.5	36.21
"tcruzi-102678"	255.32	312.74	255.32	312.74
"tcruzi-103137"	443.72	245.36	443.72	245.36
"tcruzi-103387"	108.96	57.91	108.96	57.91
"tcruzi-103639"	1305.36	911.57	1305.36	911.57
"tcruzi-103728"	64.36	109.6	64.36	109.6
"tcruzi-103831"	6138.63	10696.08	6138.63	10696.08
"tcruzi-103915"	4528.85	4427.37	4528.85	4427.37
"tcruzi-104192"	19944.55	20188.31	19944.55	20188.31
"tcruzi-104193"	20188.31	20922.29	20188.31	20922.29
"tcruzi-104196"	34627.89	35685.94	34627.89	35685.94
"tcruzi-104199"	35816.58	36528.98	35816.58	36528.98
"tcruzi-104201"	32513.59	36390.59	32513.59	36390.59
"tcruzi-104202"	35155.64	35285.65	35155.64	35285.65
"tcruzi-104203"	30294.8	30629.34	30294.8	30629.34
"tcruzi-104204"	29317.34	30114.02	29317.34	30114.02
"tcruzi-104210"	31625.96	29247.1	31625.96	29247.1
"tcruzi-104316"	125.67	45.83	125.67	45.83
"tcruzi-104444"	109.81	94.5	109.81	94.5
"tcruzi-104468"	27129.5	25325.51	27129.5	25325.51
"tcruzi-104469"	30369.97	28839.13	30369.97	28839.13
"tcruzi-104470"	29106.55	27972.13	29106.55	27972.13
"tcruzi-104471"	1094.02	1215.04	1094.02	1215.04
"tcruzi-104472"	5497.68	4745.33	5497.68	4745.33
"tcruzi-104720"	906.33	1007.02	906.33	1007.02
"tcruzi-10480"	2245.95	1716.75	2245.95	1716.75
"tcruzi-104858"	32883.65	27645	32883.65	27645
"tcruzi-104859"	33976.8	32118.02	33976.8	32118.02
"tcruzi-104860"	30703.73	31160.17	30703.73	31160.17
"tcruzi-104861"	37955.96	34526.36	37955.96	34526.36
"tcruzi-104862"	32118.02	31263.53	32118.02	31263.53
"tcruzi-104863"	19430.63	21895.61	19430.63	21895.61
"tcruzi-105168"	206.04	239.91	206.04	239.91
"tcruzi-105245"	258.45	297.19	258.45	297.19
"tcruzi-10541"	1490.96	1672.63	1490.96	1672.63
"tcruzi-106008"	1190.23	1392.12	1190.23	1392.12
"tcruzi-106060"	14175.96	15901.82	14175.96	15901.82
"tcruzi-106061"	14818.8	14246.39	14818.8	14246.39
"tcruzi-106211"	15589.77	16056.01	15589.77	16056.01
"tcruzi-106212"	8914.02	8333.57	8914.02	8333.57
"tcruzi-106221"	15671.28	16352.99	15671.28	16352.99
"tcruzi-106222"	2062.41	3164.34	2062.41	3164.34
"tcruzi-106223"	17692.25	15978.33	17692.25	15978.33
"tcruzi-106224"	15462.43	15671.28	15462.43	15671.28
"tcruzi-106226"	15939.92	17109.13	15939.92	17109.13
"tcruzi-106227"	174.38	158.29	174.38	158.29
"tcruzi-106269"	11314.88	9943.34	11314.88	9943.34
"tcruzi-106624"	251.9	88.24	251.9	88.24
"tcruzi-106719"	405.25	525.55	405.25	525.55
"tcruzi-107004"	82.83	51.64	82.83	51.64
"tcruzi-107008"	122.42	114.05	122.42	114.05
"tcruzi-107305"	12.71	34.36	12.71	34.36
"tcruzi-10742"	98.78	125.9	98.78	125.9
"tcruzi-10745"	20871.37	21143.31	20871.37	21143.31
"tcruzi-10756"	10333.82	10165.23	10333.82	10165.23
"tcruzi-10757"	25888.71	27502.17	25888.71	27502.17
"tcruzi-10759"	26159.27	27061.51	26159.27	27061.51
"tcruzi-10760"	1087.78	1237.14	1087.78	1237.14
"tcruzi-10761"	20037.32	20287.55	20037.32	20287.55
"tcruzi-10763"	27359.5	28130.26	27359.5	28130.26
"tcruzi-10766"	18873.02	21252.75	18873.02	21252.75
"tcruzi-10767"	4929.97	4649.72	4929.97	4649.72
"tcruzi-10768"	19588.44	21406.74	19588.44	21406.74
"tcruzi-10769"	161.33	171.61	161.33	171.61
"tcruzi-10771"	9014.96	8705.49	9014.96	8705.49
"tcruzi-10772"	26024.65	26580.32	26024.65	26580.32
"tcruzi-10773"	19745.03	20562.02	19745.03	20562.02
"tcruzi-10774"	1371.31	2007.34	1371.31	2007.34
"tcruzi-108081"	420.9	277.82	420.9	277.82
"tcruzi-10820"	1584.02	3339.27	1584.02	3339.27
"tcruzi-10821"	27502.17	28438.15	27502.17	28438.15
"tcruzi-108384"	1420.41	1430.34	1420.41	1430.34
"tcruzi-108385"	861.67	954.52	861.67	954.52
"tcruzi-108386"	4409.84	5035.48	4409.84	5035.48
"tcruzi-108387"	1754.57	1406.17	1754.57	1406.17
"tcruzi-108388"	1985.51	1825.8	1985.51	1825.8
"tcruzi-108389"	2184.76	2042.09	2184.76	2042.09
"tcruzi-108390"	2328.87	2195.46	2328.87	2195.46
"tcruzi-108391"	1837.52	1847.65	1837.52	1847.65
"tcruzi-108407"	110.79	93.36	110.79	93.36
"tcruzi-108790"	6879.5	6048.45	6879.5	6048.45
"tcruzi-108798"	462.26	397.34	462.26	397.34
"tcruzi-108805"	130.06	182.54	130.06	182.54
"tcruzi-108853"	97.49	80.19	97.49	80.19
"tcruzi-109067"	36.89	47.63	36.89	47.63
"tcruzi-109292"	231.22	445.71	231.22	445.71
"tcruzi-109312"	20820.1	21302.58	20820.1	21302.58
"tcruzi-109351"	270.41	199.92	270.41	199.92
"tcruzi-109483"	73.33	20.83	73.33	20.83
"tcruzi-110050"	65.84	104.11	65.84	104.11
"tcruzi-110393"	35.45	50.96	35.45	50.96
"tcruzi-1104"	9691.05	9143.46	9691.05	9143.46
"tcruzi-110636"	57.91	44.48	57.91	44.48
"tcruzi-110773"	53.25	76.94	53.25	76.94
"tcruzi-11128"	1902.13	1400.33	1902.13	1400.33
"tcruzi-111283"	3947.44	2774.14	3947.44	2774.14
"tcruzi-111289"	68.11	41.02	68.11	41.02
"tcruzi-11131"	1511.29	2072.65	1511.29	2072.65
"tcruzi-11132"	6333.54	4114.89	6333.54	4114.89
"tcruzi-111328"	1081.07	1043.42	1081.07	1043.42
"tcruzi-11136"	4889.66	4688.06	4889.66	4688.06
"tcruzi-11137"	5324.84	4980.92	5324.84	4980.92
"tcruzi-11140"	5583.05	4064.29	5583.05	4064.29
"tcruzi-111437"	64.77	136.86	64.77	136.86
"tcruzi-11144"	6070.1	5583.05	6070.1	5583.05
"tcruzi-11145"	7339.83	5955.22	7339.83	5955.22
"tcruzi-11146"	6561.66	5304.11	6561.66	5304.11
"tcruzi-11147"	6603.95	5455.47	6603.95	5455.47
"tcruzi-11148"	6270.21	4668.18	6270.21	4668.18
