"Reporter Name"	"allData.replica1"	"allData.replica2"	"onlyRegionsData.replica1"	"onlyRegionsData.replica2"
"tcruzi-110393"	103.05	139.19	103.05	139.19
"tcruzi-1104"	6603.95	4980.92	6603.95	4980.92
"tcruzi-110636"	76.65	58.74	76.65	58.74
"tcruzi-110773"	40.34	19.67	40.34	19.67
"tcruzi-11128"	2913.95	1048.98	2913.95	1048.98
"tcruzi-111283"	534.5	249.54	534.5	249.54
"tcruzi-111289"	46.92	49.83	46.92	49.83
"tcruzi-11131"	1065.41	449.39	1065.41	449.39
"tcruzi-11132"	2789.39	1707.88	2789.39	1707.88
"tcruzi-111328"	193.26	586.58	193.26	586.58
"tcruzi-11136"	3559.75	1059.73	3559.75	1059.73
"tcruzi-11137"	3181.42	613.19	3181.42	613.19
"tcruzi-11140"	2494.09	959.84	2494.09	959.84
"tcruzi-111437"	52.7	41.35	52.7	41.35
"tcruzi-11144"	5181.89	1584.02	5181.89	1584.02
"tcruzi-11145"	4830.52	1305.36	4830.52	1305.36
"tcruzi-11146"	6092.76	2072.65	6092.76	2072.65
"tcruzi-11147"	5583.05	1964.77	5583.05	1964.77
"tcruzi-11148"	4387.27	2315.74	4387.27	2315.74
"tcruzi-11149"	5846.57	3411.22	5846.57	3411.22
"tcruzi-11150"	6646.72	2819.81	6646.72	2819.81
"tcruzi-11151"	5280.08	2404.17	5280.08	2404.17
"tcruzi-11157"	3258.72	1295.49	3258.72	1295.49
"tcruzi-111717"	501.7	443.72	501.7	443.72
"tcruzi-11178"	3164.34	357.59	3164.34	357.59
"tcruzi-112015"	122.08	57.45	122.08	57.45
"tcruzi-112284"	353.78	153.39	353.78	153.39
"tcruzi-11245"	5324.84	1891.59	5324.84	1891.59
"tcruzi-112796"	4509.37	4048.03	4509.37	4048.03
"tcruzi-112986"	91.52	139.47	91.52	139.47
"tcruzi-113024"	39.49	72.08	39.49	72.08
"tcruzi-11312"	1230.25	151.7	1230.25	151.7
"tcruzi-113371"	96.1	71.13	96.1	71.13
"tcruzi-113604"	1727.13	1420.41	1727.13	1420.41
"tcruzi-113638"	156.16	184.75	156.16	184.75
"tcruzi-113731"	100.66	132.05	100.66	132.05
"tcruzi-114213"	234.74	223.35	234.74	223.35
"tcruzi-114592"	43.5	61.08	43.5	61.08
"tcruzi-114752"	15786.89	12173.7	15786.89	12173.7
"tcruzi-115101"	11166.17	11718.32	11166.17	11718.32
"tcruzi-115119"	32.88	20.23	32.88	20.23
"tcruzi-115292"	85.52	119.38	85.52	119.38
"tcruzi-115743"	42.5	30.53	42.5	30.53
"tcruzi-115822"	48.27	55.26	48.27	55.26
"tcruzi-115988"	149.72	148.38	149.72	148.38
"tcruzi-116455"	1317.17	3069.7	1317.17	3069.7
"tcruzi-116793"	15307.26	13218.51	15307.26	13218.51
"tcruzi-117284"	3395.4	3884.13	3395.4	3884.13
"tcruzi-117285"	4409.84	5583.05	4409.84	5583.05
"tcruzi-117286"	5790.65	6425.04	5790.65	6425.04
"tcruzi-117287"	701.25	679.15	701.25	679.15
"tcruzi-117288"	6138.63	6879.5	6138.63	6879.5
"tcruzi-117486"	21.31	20.83	21.31	20.83
"tcruzi-117502"	549.45	1172.9	549.45	1172.9
"tcruzi-117539"	56	50.33	56	50.33
"tcruzi-117771"	37.58	53.82	37.58	53.82
"tcruzi-117841"	37.42	41.56	37.42	41.56
"tcruzi-118052"	17221	29731.74	17221	29731.74
"tcruzi-118074"	17526.64	18355.88	17526.64	18355.88
"tcruzi-118075"	21588.79	21662.98	21588.79	21662.98
"tcruzi-118076"	29961.32	24755.35	29961.32	24755.35
"tcruzi-118077"	27809.24	18966.48	27809.24	18966.48
"tcruzi-118078"	15671.28	15265.76	15671.28	15265.76
"tcruzi-118079"	8652.52	12820	8652.52	12820
"tcruzi-118080"	15978.33	16750.34	15978.33	16750.34
"tcruzi-118114"	165.08	54.53	165.08	54.53
"tcruzi-118127"	75.8	45.99	75.8	45.99
"tcruzi-118153"	1054.87	916.21	1054.87	916.21
"tcruzi-118307"	204.91	1773.17	204.91	1773.17
"tcruzi-118531"	315.62	262.08	315.62	262.08
"tcruzi-118658"	56.26	104	56.26	104
"tcruzi-118983"	118.4	141.8	118.4	141.8
"tcruzi-120005"	1099.17	1070.19	1099.17	1070.19
"tcruzi-120610"	49.28	68.11	49.28	68.11
"tcruzi-120717"	2172.65	2007.34	2172.65	2007.34
"tcruzi-120743"	98.98	90.88	98.98	90.88
"tcruzi-120792"	26.85	63.17	26.85	63.17
"tcruzi-120994"	48.86	56.12	48.86	56.12
"tcruzi-121354"	163.54	177.86	163.54	177.86
"tcruzi-121736"	99.72	92.28	99.72	92.28
"tcruzi-121803"	201.44	178.27	201.44	178.27
"tcruzi-122078"	34.36	23.35	34.36	23.35
"tcruzi-122200"	378.81	116.17	378.81	116.17
"tcruzi-122576"	13754.22	14673.97	13754.22	14673.97
"tcruzi-122598"	29885.69	26372.5	29885.69	26372.5
"tcruzi-122640"	44.34	31.67	44.34	31.67
"tcruzi-122803"	17.37	19.11	17.37	19.11
"tcruzi-122979"	138.61	129.79	138.61	129.79
"tcruzi-123067"	19641.53	26301.36	19641.53	26301.36
"tcruzi-123375"	99.15	88.96	99.15	88.96
"tcruzi-123430"	230.64	274.27	230.64	274.27
"tcruzi-123452"	109.6	122.19	109.6	122.19
"tcruzi-123553"	88.38	81.66	88.38	81.66
"tcruzi-123602"	117.92	101.59	117.92	101.59
"tcruzi-1239"	7783.18	5455.47	7783.18	5455.47
"tcruzi-123954"	5915.96	6778.97	5915.96	6778.97
"tcruzi-124014"	142.13	124.5	142.13	124.5
"tcruzi-124032"	4262.76	9462.4	4262.76	9462.4
"tcruzi-124048"	81.85	138.05	81.85	138.05
"tcruzi-12409"	3964.13	3195.58	3964.13	3195.58
"tcruzi-124187"	77.18	95.73	77.18	95.73
"tcruzi-124303"	198.41	256.94	198.41	256.94
"tcruzi-124585"	157.94	148.04	157.94	148.04
"tcruzi-124645"	5749.21	5093	5749.21	5093
"tcruzi-124904"	33.26	38.78	33.26	38.78
"tcruzi-12502"	218.89	175.6	218.89	175.6
"tcruzi-125072"	968.28	1136.9	968.28	1136.9
"tcruzi-125370"	410.12	408.66	410.12	408.66
"tcruzi-125472"	75.13	39.99	75.13	39.99
"tcruzi-125495"	44.01	33.42	44.01	33.42
"tcruzi-12555"	54.22	24.94	54.22	24.94
"tcruzi-126151"	123.88	131.21	123.88	131.21
"tcruzi-126634"	2709.76	3229.01	2709.76	3229.01
"tcruzi-126781"	134.79	125.45	134.79	125.45
"tcruzi-126992"	13148.88	10756.21	13148.88	10756.21
"tcruzi-127041"	2016.48	2204.62	2016.48	2204.62
"tcruzi-127251"	61.85	75.57	61.85	75.57
"tcruzi-12764"	1190.23	306.37	1190.23	306.37
"tcruzi-127728"	166.35	6668.88	166.35	6668.88
"tcruzi-127816"	112.78	79.95	112.78	79.95
"tcruzi-128170"	161	77.88	161	77.88
"tcruzi-128185"	807.78	544.44	807.78	544.44
"tcruzi-128367"	29731.74	31059.06	29731.74	31059.06
"tcruzi-128378"	2137.79	2384.34	2137.79	2384.34
"tcruzi-128865"	654.91	856.71	654.91	856.71
"tcruzi-129107"	121.51	67.76	121.51	67.76
"tcruzi-129631"	80.33	48.1	80.33	48.1
"tcruzi-129803"	89.49	45.06	89.49	45.06
