"Reporter Name"	"allData.replica1"	"allData.replica2"	"onlyRegionsData.replica1"	"onlyRegionsData.replica2"
"tcruzi-100055"	66.41	97.71	66.41	97.71
"tcruzi-100162"	33.6	37.58	33.6	37.58
"tcruzi-100284"	146.43	135.07	146.43	135.07
"tcruzi-100318"	63.46	61.99	63.46	61.99
"tcruzi-10046"	80.65	108.17	80.65	108.17
"tcruzi-100681"	4347.26	6270.21	4347.26	6270.21
"tcruzi-10070"	5893.43	6544.05	5893.43	6544.05
"tcruzi-100743"	920.82	1681.27	920.82	1681.27
"tcruzi-100813"	72.54	70.32	72.54	70.32
"tcruzi-101092"	54.37	72.08	54.37	72.08
"tcruzi-101299"	90.71	78.48	90.71	78.48
"tcruzi-101458"	40.17	50.61	40.17	50.61
"tcruzi-101588"	96.1	65.37	96.1	65.37
"tcruzi-101707"	92.28	81.66	92.28	81.66
"tcruzi-101832"	462.26	464.13	462.26	464.13
"tcruzi-101894"	82.33	87.57	82.33	87.57
"tcruzi-102254"	85.85	95.34	85.85	95.34
"tcruzi-1023"	32.44	42.83	32.44	42.83
"tcruzi-10242"	31.84	34.14	31.84	34.14
"tcruzi-102678"	2204.62	2592.85	2204.62	2592.85
"tcruzi-103137"	128.14	156.16	128.14	156.16
"tcruzi-103387"	349.5	281.06	349.5	281.06
"tcruzi-103639"	424.08	462.26	424.08	462.26
"tcruzi-103728"	87.92	90.71	87.92	90.71
"tcruzi-103831"	14743.29	11952.06	14743.29	11952.06
"tcruzi-103915"	3181.42	4761.58	3181.42	4761.58
"tcruzi-104192"	12571.48	9943.34	12571.48	9943.34
"tcruzi-104193"	13576.61	12710.95	13576.61	12710.95
"tcruzi-104196"	35427.54	36390.59	35427.54	36390.59
"tcruzi-104199"	41644.88	34315.1	41644.88	34315.1
"tcruzi-104201"	35951.67	36528.98	35951.67	36528.98
"tcruzi-104202"	33356.36	33165.39	33356.36	33165.39
"tcruzi-104203"	31531.22	31348.36	31531.22	31348.36
"tcruzi-104204"	29570.18	30629.34	29570.18	30629.34
