"Reporter Name"	"LE_PO_normalizedData_r1"	"LE_PO_normalizedData_r2"
"pos-controls-3191"	159.33	227.47
"pos-controls-3192"	145.22	158.62
"pos-controls-3237"	594.74	678.26
"pos-controls-3238"	817.79	844.76
"pos-controls-3239"	557.79	622.94
"pos-controls-3240"	749	875.76
"pos-controls-3253"	131.15	115.46
"pos-controls-3254"	125.61	102.26
"pos-controls-3255"	108.47	108.71
"pos-controls-3256"	114.43	101.06
"pos-controls-3257"	105.43	115.23
"pos-controls-3258"	138.48	104.13
"pos-controls-3259"	102.26	116.07
"pos-controls-3260"	98.57	112.14
"pos-controls-3289"	118.96	117.04
"pos-controls-3290"	109.64	113.41
"pos-controls-3291"	118.99	107.44
"pos-controls-3292"	111.16	108.71
"pos-controls-3293"	84.97	81.37
"pos-controls-3294"	82.12	81.52
"pos-controls-3295"	80.5	93.25
"pos-controls-3296"	78.15	81.8
"pos-controls-3301"	155.31	139.5
"pos-controls-3302"	137.6	172.96
"pos-controls-3303"	158.03	118.81
"pos-controls-3304"	188.59	142.29
"pos-controls-333"	246.21	164.84
"pos-controls-334"	177.12	155.54
"pos-controls-335"	263.78	217.42
"pos-controls-336"	162.86	193.13
"pos-controls-3433"	100	91.95
"pos-controls-3434"	104.53	82.52
"pos-controls-3435"	87.25	88.39
"pos-controls-3436"	100.55	93.57
"pos-controls-3469"	104.24	110.64
"pos-controls-3470"	130.66	115.83
"pos-controls-3471"	91.55	124.24
"pos-controls-3472"	93.3	87.34
"pos-controls-3473"	113.38	107.17
"pos-controls-3474"	132.5	92.15
"pos-controls-3475"	120.95	101.45
"pos-controls-3476"	123.64	126.26
"pos-controls-3477"	128.86	115.46
"pos-controls-3478"	157.02	154.66
"pos-controls-3479"	108.37	152.45
"pos-controls-3480"	141.34	124.65
"pos-controls-3549"	81.83	84.76
"pos-controls-3550"	90.4	86.36
"pos-controls-3551"	85.94	82.37
"pos-controls-3552"	85.75	102.61
"pos-controls-3605"	75.9	83
"pos-controls-3606"	83.08	62.21
"pos-controls-3607"	84.29	65.59
"pos-controls-3608"	90.03	75.04
"pos-controls-3609"	82.17	90.96
"pos-controls-3610"	67.1	82.15
"pos-controls-3611"	73.15	67.36
"pos-controls-3612"	76.04	78.12
"pos-controls-3761"	128.58	135.11
"pos-controls-3762"	250.23	140.17
"pos-controls-3763"	127.79	143
"pos-controls-3764"	142.84	145.35
"pos-controls-3765"	91.33	85.51
"pos-controls-3766"	78.66	68.17
"pos-controls-3767"	67.9	98.88
"pos-controls-3768"	76.14	77.66
"pos-controls-3849"	202.64	207.9
"pos-controls-3850"	177.29	213.72
"pos-controls-3851"	141.56	194.34
"pos-controls-3852"	154.43	187.8
"pos-controls-3901"	136.27	123.5
"pos-controls-3902"	113.47	108.87
"pos-controls-3903"	97.26	103.96
"pos-controls-3904"	105.69	124.16
"pos-controls-4009"	580.82	490.58
"pos-controls-4010"	794.75	584.25
"pos-controls-4011"	551.5	541.29
"pos-controls-4012"	678.26	1086.67
"pos-controls-4053"	91.82	100.09
"pos-controls-4054"	94.13	118.02
"pos-controls-4055"	121.95	126.48
"pos-controls-4056"	95.92	116.41
"pos-controls-4057"	89.88	68.28
"pos-controls-4058"	86.87	82.82
"pos-controls-4059"	80.78	81.66
"pos-controls-4060"	86.87	85.02
"pos-controls-4061"	113.72	79.37
"pos-controls-4062"	90.11	92.42
"pos-controls-4063"	108.68	91.5
"pos-controls-4064"	149.83	92.34
"pos-controls-4069"	139.98	176.3
"pos-controls-4070"	154.75	176.74
