"Reporter Name"	"US_NE_normalizedData_r1"	"US_NE_normalizedData_r2"
"pos-controls-3192"	778.95	907.35
"pos-controls-3237"	9777.65	11884.43
"pos-controls-3238"	12759.28	10344.94
"pos-controls-3239"	8808.65	9777.65
"pos-controls-3240"	10344.94	8808.65
"pos-controls-3253"	132.19	251.68
"pos-controls-3254"	139.12	214.08
"pos-controls-3255"	216.42	217.61
"pos-controls-3256"	154.66	264.39
"pos-controls-3257"	569.51	580.82
"pos-controls-3258"	441.51	442.72
"pos-controls-3259"	547.46	541.29
"pos-controls-3260"	489.66	448.75
"pos-controls-3289"	116.68	102.95
"pos-controls-3290"	100.72	125.86
"pos-controls-3291"	105.53	108.64
"pos-controls-3292"	170.03	109.38
"pos-controls-3293"	109.83	152.59
"pos-controls-3294"	120.73	136.98
"pos-controls-3295"	145.22	135.5
"pos-controls-3296"	122.11	142.84
"pos-controls-3301"	135.28	114.48
"pos-controls-3302"	150.36	143.21
"pos-controls-3303"	109.27	99.59
"pos-controls-3304"	142.84	127.21
"pos-controls-333"	351.98	328.76
"pos-controls-334"	301.34	297.08
"pos-controls-335"	330.82	314.04
"pos-controls-336"	328.76	291.76
"pos-controls-3433"	65.19	70.9
"pos-controls-3434"	95.35	66.64
"pos-controls-3435"	63.96	66.19
"pos-controls-3436"	82.82	78.54
"pos-controls-3469"	106.08	122.05
"pos-controls-3470"	88.65	116.92
"pos-controls-3471"	125.8	129.26
"pos-controls-3472"	111.24	113.68
"pos-controls-3473"	148.89	214.63
"pos-controls-3474"	144.78	212.08
"pos-controls-3475"	144.08	218.04
"pos-controls-3476"	164.39	208.49
"pos-controls-3477"	96.18	80.43
"pos-controls-3478"	87.92	82.67
"pos-controls-3479"	74.68	72.45
"pos-controls-3480"	96.46	99.95
"pos-controls-3549"	72.25	71.8
"pos-controls-3550"	108.15	101.65
"pos-controls-3551"	77.12	80.5
"pos-controls-3552"	71.95	72.33
"pos-controls-3605"	73.08	84.64
"pos-controls-3606"	72.38	88.52
"pos-controls-3607"	69.57	66.11
"pos-controls-3608"	98.72	71.83
"pos-controls-3609"	89.5	116.82
"pos-controls-3610"	92.38	84.34
"pos-controls-3611"	156.84	83.97
"pos-controls-3612"	75	94.19
"pos-controls-3761"	99.26	84.53
"pos-controls-3762"	123.9	97.92
