"Reporter Name"	"US_PO_normalizedData_r1"	"US_PO_normalizedData_r2"
"pos-controls-3042"	903.75	936.78
"pos-controls-3043"	1252.68	1132.52
"pos-controls-3044"	1103.85	1333.88
"pos-controls-3061"	2289.36	1739.41
"pos-controls-3062"	2234.29	1167.4
"pos-controls-3063"	1526.41	1432.97
"pos-controls-3064"	1984.59	1440.78
"pos-controls-3189"	43242.53	42492.45
"pos-controls-3190"	40825.51	41984.25
"pos-controls-3191"	40418.15	42374.79
"pos-controls-3192"	38697.11	44826.41
"pos-controls-3237"	16605.14	17627.42
"pos-controls-3238"	16864.32	17531.44
"pos-controls-3239"	16040.77	17389.86
"pos-controls-3240"	15468.02	16648.92
"pos-controls-3253"	8497.16	9568.31
"pos-controls-3254"	10403.06	10013.05
"pos-controls-3255"	8551.21	8079.13
"pos-controls-3256"	8138.43	9944.39
"pos-controls-3257"	217.56	198.88
"pos-controls-3258"	256.09	233.95
"pos-controls-3259"	369.83	408.6
"pos-controls-3260"	213.59	222.51
"pos-controls-3289"	3808.91	3794.62
"pos-controls-3290"	4589.64	4241.51
"pos-controls-3291"	3910.85	3845.29
"pos-controls-3292"	3993.87	3863.91
"pos-controls-3293"	109.39	98.82
"pos-controls-3294"	103.08	121.46
"pos-controls-3295"	133.1	153.07
"pos-controls-3296"	197.42	199.7
"pos-controls-3301"	7696.19	7935.13
"pos-controls-3302"	7572.01	8377.29
"pos-controls-3303"	7212.54	7886.76
"pos-controls-3304"	6555.31	7060.91
"pos-controls-333"	34643.34	33125.21
"pos-controls-334"	30798.25	34719.44
"pos-controls-335"	36133.79	35475.04
"pos-controls-336"	33984.91	33267.2
"pos-controls-3433"	24082.53	25015.65
"pos-controls-3434"	25343.95	26500.95
"pos-controls-3435"	25078.7	25249.07
"pos-controls-3436"	25940.49	25940.49
"pos-controls-3469"	254.79	218.38
"pos-controls-3470"	189.02	198.68
"pos-controls-3471"	217.27	222.09
"pos-controls-3472"	220.2	216.51
"pos-controls-3473"	276.77	189.65
"pos-controls-3474"	211.1	246.56
"pos-controls-3475"	266.87	290.84
"pos-controls-3476"	278.12	298.98
"pos-controls-3477"	122.59	101.74
"pos-controls-3478"	177.8	117.62
"pos-controls-3479"	121.36	132.74
"pos-controls-3480"	169.97	190.9
"pos-controls-3549"	24474.33	24140.05
"pos-controls-3550"	24850.07	24298.46
"pos-controls-3551"	23280.32	24082.53
"pos-controls-3552"	24562.74	24407.89
"pos-controls-3605"	102.67	81.25
"pos-controls-3606"	95.12	86.7
"pos-controls-3607"	97.89	82.9
"pos-controls-3608"	98.98	117.43
"pos-controls-3609"	109.99	71.94
"pos-controls-3610"	99.72	78.54
"pos-controls-3611"	103.83	102.33
"pos-controls-3612"	79.12	74.43
