"Reporter Name"	"BR_PO_normalizedData_r1"	"BR_PO_normalizedData_r2"
"pos-controls-2944"	12369.36	12831.07
"pos-controls-3041"	318.3	351.22
"pos-controls-3042"	342.46	389.66
"pos-controls-3043"	406.53	398.36
"pos-controls-3044"	270.53	344.2
"pos-controls-3061"	2165.1	1294.94
"pos-controls-3062"	2886.66	3151.43
"pos-controls-3063"	2697.39	2665.79
"pos-controls-3064"	2466.45	2916.3
"pos-controls-3189"	17531.44	18938.33
"pos-controls-3190"	17855.89	16998.69
"pos-controls-3191"	18459.71	19222.06
"pos-controls-3192"	19222.06	22793.06
"pos-controls-3237"	9626.16	8735.99
"pos-controls-3238"	8079.13	9770.66
"pos-controls-3239"	10475.48	9944.39
"pos-controls-3240"	8964.75	10013.05
"pos-controls-3253"	6154.62	5331.92
"pos-controls-3254"	7060.91	5486.47
"pos-controls-3255"	5908.73	5140.78
"pos-controls-3256"	7003.01	5679.07
"pos-controls-3257"	402.93	375.38
"pos-controls-3258"	610.18	330.62
"pos-controls-3259"	295.02	336.82
"pos-controls-3260"	414.11	326.5
"pos-controls-3289"	5707.91	5115.87
"pos-controls-3290"	5856.09	5174.94
"pos-controls-3291"	5589.67	5075.74
"pos-controls-3292"	5980.13	5796.58
"pos-controls-3293"	81.42	82.93
"pos-controls-3294"	85.4	90.94
"pos-controls-3295"	96.92	171.82
"pos-controls-3296"	103.2	137.07
"pos-controls-3301"	20604.89	23726.08
"pos-controls-3302"	23326.25	26741.47
"pos-controls-3303"	23192.52	28277.02
"pos-controls-3304"	22261.69	27409.66
"pos-controls-333"	10079.49	9218.54
"pos-controls-334"	8992.4	9270.05
"pos-controls-335"	9855.1	9626.16
"pos-controls-336"	9541.6	10079.49
"pos-controls-3433"	17275.21	18009.37
"pos-controls-3434"	18634.22	19714.86
"pos-controls-3435"	19543.6	18543.51
"pos-controls-3436"	19791.38	19477.55
"pos-controls-3469"	97.05	119.22
"pos-controls-3470"	131.77	144.66
"pos-controls-3471"	141.79	141.56
"pos-controls-3472"	115.6	105.2
"pos-controls-3473"	293.97	125.21
"pos-controls-3474"	143.27	129.67
"pos-controls-3475"	150.08	134.53
"pos-controls-3476"	177.92	141.22
"pos-controls-3477"	77.86	78.47
"pos-controls-3478"	98.98	105.46
"pos-controls-3479"	133.3	85.94
"pos-controls-3480"	89.38	120.53
"pos-controls-3549"	12440.93	11754.5
"pos-controls-3550"	11965.26	12884.26
"pos-controls-3551"	12018.83	10988.57
"pos-controls-3552"	13540	14036.03
"pos-controls-3605"	115.54	82.41
"pos-controls-3606"	74.9	86.66
"pos-controls-3607"	85.48	73.51
"pos-controls-3608"	79.09	81.83
"pos-controls-3609"	73.27	81.25
"pos-controls-3610"	153.26	94.49
"pos-controls-3611"	147.85	96.26
"pos-controls-3612"	65.48	79.65
"pos-controls-3761"	16040.77	13336.31
"pos-controls-3762"	8057.26	15853.29
"pos-controls-3763"	18279.45	11403.56
"pos-controls-3764"	18178.6	13698.2
"pos-controls-3765"	208	202.94
"pos-controls-3766"	158.75	196.38
"pos-controls-3767"	275.09	179.81
"pos-controls-3768"	179.03	192.3
"pos-controls-3849"	838.01	211.95
"pos-controls-3850"	170.35	240.12
"pos-controls-3851"	193.19	230.3
"pos-controls-3852"	271.43	195.72
"pos-controls-3901"	1234.48	1572.38
"pos-controls-3902"	1185.68	1560.45
"pos-controls-3903"	1280.9	1306.29
"pos-controls-3904"	1302.96	1728.95
"pos-controls-4009"	8227.29	8964.75
"pos-controls-4010"	8735.99	9690.16
"pos-controls-4011"	8788.83	9129.79
"pos-controls-4012"	9218.54	7572.01
"pos-controls-4053"	165.42	112.76
"pos-controls-4054"	102.39	151.72
"pos-controls-4055"	97.5	132.59
"pos-controls-4056"	153.86	141.06
"pos-controls-4057"	116.9	139
"pos-controls-4058"	116.02	123.37
"pos-controls-4059"	99.76	91
"pos-controls-4060"	168.34	175.41
"pos-controls-4061"	125.76	122.52
"pos-controls-4062"	117.62	133.2
"pos-controls-4063"	118.22	139.78
"pos-controls-4064"	135.83	105.25
"pos-controls-4069"	931.21	1155.64
"pos-controls-4070"	1006.68	1245.23
"pos-controls-4071"	864.64	1075.79
"pos-controls-4072"	774.09	1103.85
"pos-controls-4121"	5331.92	5908.73
"pos-controls-4122"	5140.78	5265.52
"pos-controls-4123"	5830.3	5707.91
"pos-controls-4124"	5386.22	4901.57
"pos-controls-4165"	656.64	869.13
"pos-controls-4166"	526.38	623.42
"pos-controls-4167"	540.13	712.78
"pos-controls-4168"	623.42	903.75
"pos-controls-4205"	12112.23	13004.44
"pos-controls-4206"	15468.02	14282.86
"pos-controls-4207"	14250.14	14498.23
"pos-controls-4208"	14353.89	16410.5
"pos-controls-4209"	154.79	199.7
"pos-controls-4210"	134.9	113.23
"pos-controls-4211"	142.4	97.5
"pos-controls-4212"	122.59	121.9
"pos-controls-4213"	86.48	104.16
"pos-controls-4214"	114.48	158.5
"pos-controls-4215"	102.64	112.68
"pos-controls-4216"	121.09	103.93
"pos-controls-4229"	12225.49	10609.7
"pos-controls-4230"	11261.19	11058.63
"pos-controls-4231"	13698.2	12635.31
"pos-controls-4232"	12884.26	12300.44
"pos-controls-4281"	27242.43	23326.25
"pos-controls-4282"	27997.07	22363.58
"pos-controls-4283"	27740.5	22457.36
"pos-controls-4284"	25015.65	23136.86
"pos-controls-4289"	130.99	140.88
"pos-controls-4290"	136.08	140.52
"pos-controls-4291"	134.45	130.76
"pos-controls-4292"	140.72	118.83
"pos-controls-4293"	248.15	170.89
"pos-controls-4294"	166.86	156.62
"pos-controls-4295"	226.64	138.88
"pos-controls-4296"	343.27	156.12
"pos-controls-4301"	25835.59	25343.95
"pos-controls-4302"	29488.82	22172.61
"pos-controls-4303"	27864.35	27208.39
"pos-controls-4304"	27038.42	25748.37
"pos-controls-4349"	8440.11	11362.79
"pos-controls-4350"	8497.16	8992.4
"pos-controls-4351"	7974.96	10290.45
"pos-controls-4352"	8649.07	9855.1
"pos-controls-4353"	21137.2	21060.33
"pos-controls-4354"	24407.89	24474.33
"pos-controls-4355"	20851.91	22261.69
"pos-controls-4356"	18876.69	17904.68
"pos-controls-4385"	317.75	105.92
"pos-controls-4386"	100.22	188.7
"pos-controls-4387"	115.14	102.91
"pos-controls-4388"	163.34	119.43
"pos-controls-4401"	30892.41	33342.12
"pos-controls-4402"	35475.04	32484.07
"pos-controls-4403"	35318.96	36022.18
"pos-controls-4404"	29518.27	29058.04
"pos-controls-4449"	35084.65	35563.82
"pos-controls-4450"	35717.03	34719.44
"pos-controls-4451"	34218.68	33984.91
"pos-controls-4452"	34854.39	37044.48
"pos-controls-4609"	6479.33	6124.39
"pos-controls-4610"	5465.2	5949.26
"pos-controls-4611"	5742.02	6428.15
"pos-controls-4612"	5679.07	6260.49
"pos-controls-4621"	104.2	108.52
"pos-controls-4622"	94.91	98.38
"pos-controls-4623"	86.81	90.58
"pos-controls-4624"	104.77	90.46
"pos-controls-4729"	7667.98	7696.19
"pos-controls-4730"	3863.91	8263.65
"pos-controls-4731"	9365.34	8198.34
"pos-controls-4732"	8886.05	8551.21
"pos-controls-4757"	105.52	110.91
"pos-controls-4758"	105.13	103.13
"pos-controls-4759"	79.65	109.39
"pos-controls-4760"	81.66	86.93
"pos-controls-4781"	75.2	92.93
"pos-controls-4782"	82.64	85.24
"pos-controls-4783"	75.43	71.16
"pos-controls-4784"	82.28	80.09
"pos-controls-4793"	10013.05	8079.13
"pos-controls-4794"	8018.87	7974.96
"pos-controls-4795"	11403.56	8377.29
"pos-controls-4796"	9568.31	7935.13
"pos-controls-4797"	263.43	211.1
"pos-controls-4798"	215.24	209.01
"pos-controls-4799"	241.73	229.52
"pos-controls-4800"	234.64	234.64
"pos-controls-4825"	36544.92	36965.41
"pos-controls-4826"	38195.89	36193.81
"pos-controls-4827"	36798.01	36544.92
"pos-controls-4828"	38898.06	37472.96
"pos-controls-4845"	148.73	147.51
"pos-controls-4846"	109.43	149.27
"pos-controls-4847"	119.68	131.12
"pos-controls-4848"	109.76	120.29
"pos-controls-4849"	119.13	75.59
"pos-controls-4850"	78.1	98.91
"pos-controls-4851"	99.3	84.76
"pos-controls-4852"	70.38	142.83
"pos-controls-4861"	114.42	127.21
"pos-controls-4862"	125.41	127.52
"pos-controls-4863"	134.19	135.58
"pos-controls-4864"	116.27	133.1
"pos-controls-4865"	129.28	133.27
"pos-controls-4866"	137.24	152.1
"pos-controls-4867"	148.84	131.9
"pos-controls-4868"	243.26	140.14
"pos-controls-4885"	7696.19	8057.26
"pos-controls-4886"	7388.52	8138.43
"pos-controls-4887"	7105.6	7212.54
"pos-controls-4888"	6555.31	7428.38
"pos-controls-4893"	71.39	98.5
"pos-controls-4894"	139	157.95
"pos-controls-4895"	125.03	92.2
"pos-controls-4896"	70.95	68.87
"pos-controls-4897"	76.93	97.38
"pos-controls-4898"	69.86	70.03
"pos-controls-4899"	73.98	73.14
"pos-controls-4900"	76.7	80.57
"pos-controls-4917"	114.09	91.74
"pos-controls-4918"	163.11	101.54
"pos-controls-4919"	98.82	102.86
"pos-controls-4920"	90.05	93.87
"pos-controls-4921"	158.22	138.05
"pos-controls-4922"	120.98	156.86
"pos-controls-4923"	108.85	148.17
"pos-controls-4924"	99.04	156.21
"pos-controls-4925"	135.21	134.45
"pos-controls-4926"	129.46	130.86
"pos-controls-4927"	215.45	183.72
"pos-controls-4928"	134.34	125.65
"pos-controls-4929"	172.8	171.08
"pos-controls-4930"	167.84	166.5
"pos-controls-4931"	202.21	190.44
"pos-controls-4932"	189.02	177.8
"pos-controls-4949"	1757.24	1394.31
"pos-controls-4950"	1715.17	1372.49
"pos-controls-4951"	1683.38	1252.68
"pos-controls-4952"	1497.45	1396.86
"pos-controls-4953"	122.32	142.56
"pos-controls-4954"	108.03	115.72
"pos-controls-4955"	112.24	113.8
"pos-controls-4956"	138.22	110.6
"pos-controls-5049"	145.63	148.66
"pos-controls-5050"	211.1	188.11
"pos-controls-5051"	139.55	154.35
"pos-controls-5052"	151.15	142
"pos-controls-5057"	339.35	78.79
"pos-controls-5058"	67.1	85.31
"pos-controls-5059"	94.52	74.14
"pos-controls-5060"	89.63	90.73
"pos-controls-5089"	28075.53	27614.74
"pos-controls-5090"	25691.27	28433.67
"pos-controls-5091"	29842.49	29488.82
"pos-controls-5092"	29058.04	26298.6
"pos-controls-5101"	11332.39	13405.49
"pos-controls-5102"	11183.68	12018.83
"pos-controls-5103"	10239.53	13164.31
"pos-controls-5104"	10988.57	13770.17
"pos-controls-5149"	273.76	292.77
"pos-controls-5150"	256.66	318.02
"pos-controls-5151"	257.63	324.59
"pos-controls-5152"	221.24	250.32
"pos-controls-5257"	10526.19	8886.05
"pos-controls-5258"	11362.79	11261.19
"pos-controls-5259"	12635.31	10475.48
"pos-controls-5260"	11673.01	9541.6
"pos-controls-5261"	116.98	112.24
"pos-controls-5262"	111.94	109.02
"pos-controls-5263"	178.52	133.7
"pos-controls-5264"	89.19	84.72
"pos-controls-5313"	6892.68	4989.95
