"Reporter Name"	"MX_NE_normalizedData_r1"	"MX_NE_normalizedData_r2"
"pos-controls-3191"	114.24	94.87
"pos-controls-3192"	133.89	92
"pos-controls-3237"	76.58	80.58
"pos-controls-3238"	80.14	114.81
"pos-controls-3239"	73.92	80.71
"pos-controls-3240"	90.55	84.76
"pos-controls-3253"	79.29	86.51
"pos-controls-3254"	93.04	60.85
"pos-controls-3255"	71.12	70.7
"pos-controls-3256"	80.35	86.4
"pos-controls-3257"	160.11	83.03
"pos-controls-3258"	155.19	108.73
"pos-controls-3259"	179	103.44
"pos-controls-3260"	163.6	98.29
"pos-controls-3289"	83.16	71.61
"pos-controls-3290"	85.9	84.15
"pos-controls-3291"	88.6	66.48
"pos-controls-3292"	83.64	64.16
"pos-controls-3293"	151.91	91.55
"pos-controls-3294"	162.69	76.14
"pos-controls-3295"	185.67	89.45
"pos-controls-3296"	158.03	117.71
"pos-controls-3301"	235.97	64.9
"pos-controls-3302"	214.84	66.27
"pos-controls-3303"	264.12	99.67
"pos-controls-3304"	246.78	96.05
"pos-controls-333"	218.04	428.99
"pos-controls-334"	241.73	201.75
"pos-controls-335"	225.65	335.06
"pos-controls-336"	244.24	371.65
"pos-controls-3433"	79.16	92.27
"pos-controls-3434"	87.47	84.29
"pos-controls-3435"	85.78	76.63
"pos-controls-3436"	127.1	120.01
"pos-controls-3469"	130.8	66.41
"pos-controls-3470"	118.78	84.93
"pos-controls-3471"	144.78	74.52
"pos-controls-3472"	104.91	112.14
"pos-controls-3473"	153.8	108.32
"pos-controls-3474"	196.34	117.95
"pos-controls-3475"	163.76	113.18
"pos-controls-3476"	183.06	127.65
"pos-controls-3477"	80.09	59.84
"pos-controls-3478"	74.1	70.99
"pos-controls-3479"	72.9	70.7
"pos-controls-3480"	69.98	66.03
"pos-controls-3549"	155.82	144.78
"pos-controls-3550"	142.66	160.49
"pos-controls-3551"	167	175.97
"pos-controls-3552"	152.92	138.4
"pos-controls-3605"	70.48	77.7
"pos-controls-3606"	74.82	69.39
"pos-controls-3607"	79.78	59.51
"pos-controls-3608"	75.04	89.93
"pos-controls-3609"	72.39	81.03
"pos-controls-3610"	64.59	58.01
"pos-controls-3611"	58.96	66.55
"pos-controls-3612"	174.83	87.09
"pos-controls-3761"	84.97	124.97
"pos-controls-3762"	74.23	177.76
"pos-controls-3763"	94.13	136.27
"pos-controls-3764"	93.99	136.14
"pos-controls-3765"	100.81	79.96
"pos-controls-3766"	87.56	95.85
"pos-controls-3767"	85.46	96.41
"pos-controls-3768"	77.26	75.91
"pos-controls-3849"	597.87	150.97
"pos-controls-3850"	574.66	197.12
"pos-controls-3851"	606.58	143.71
"pos-controls-3852"	656.62	171.83
"pos-controls-3901"	425.09	244.35
"pos-controls-3902"	411.78	171.68
"pos-controls-3903"	406.31	222.52
"pos-controls-3904"	473.75	165.47
"pos-controls-4009"	292.21	298.82
"pos-controls-4010"	394.08	297.7
"pos-controls-4011"	278.71	293.95
"pos-controls-4012"	319.57	308.87
"pos-controls-4053"	107.54	97.14
"pos-controls-4054"	136.74	88.37
"pos-controls-4055"	123.38	106.67
"pos-controls-4056"	155.57	106.13
"pos-controls-4057"	92.62	96.95
"pos-controls-4058"	98.02	104.74
"pos-controls-4059"	93.18	103.01
"pos-controls-4060"	99.24	95.35
"pos-controls-4061"	136.53	128.68
"pos-controls-4062"	145.1	112.81
"pos-controls-4063"	123.09	128.51
"pos-controls-4064"	106.2	145.96
"pos-controls-4069"	246.01	303.98
"pos-controls-4070"	337.77	355.03
"pos-controls-4071"	213.91	267.56
"pos-controls-4072"	244.92	270.04
"pos-controls-4121"	163.95	107.79
"pos-controls-4122"	189.21	114.53
"pos-controls-4123"	178.46	119.94
"pos-controls-4124"	157.62	129.66
"pos-controls-4165"	513.42	380.12
"pos-controls-4166"	438.12	267.3
"pos-controls-4167"	377.22	236.15
"pos-controls-4168"	594.74	418.36
"pos-controls-4205"	315.85	143.28
"pos-controls-4206"	313.45	136.76
"pos-controls-4207"	275.45	179.14
"pos-controls-4208"	365.19	183.36
"pos-controls-4209"	99.72	113.85
"pos-controls-4210"	94.79	90.89
"pos-controls-4211"	93.5	149.83
"pos-controls-4212"	111.11	87.33
"pos-controls-4213"	80.32	100.78
"pos-controls-4214"	104.82	105.32
"pos-controls-4215"	133.59	105.41
"pos-controls-4216"	113.97	97.81
"pos-controls-4229"	183.53	185.67
"pos-controls-4230"	190	266.25
"pos-controls-4231"	186.58	235.45
"pos-controls-4232"	211.19	270.46
"pos-controls-4281"	152.56	258.62
"pos-controls-4282"	168.56	309.81
"pos-controls-4283"	186.39	181.55
"pos-controls-4284"	159.01	217.42
"pos-controls-4289"	84.71	75.42
"pos-controls-4290"	122.46	77.91
"pos-controls-4291"	111	77.02
"pos-controls-4292"	110.3	76.94
"pos-controls-4293"	179.35	118.6
"pos-controls-4294"	190.4	109.74
"pos-controls-4295"	167.82	120.45
"pos-controls-4296"	173.36	120.37
"pos-controls-4301"	324.25	529.46
"pos-controls-4302"	182.13	231.85
"pos-controls-4303"	154.13	255.86
"pos-controls-4304"	198.48	372.32
"pos-controls-4349"	344.95	154.43
"pos-controls-4350"	322.38	92.85
"pos-controls-4351"	418.36	156.01
"pos-controls-4352"	314.04	114.11
"pos-controls-4353"	330.29	87.53
"pos-controls-4354"	436.22	92.9
"pos-controls-4355"	337.3	98.97
"pos-controls-4356"	339.25	83
"pos-controls-4385"	73.92	62.22
"pos-controls-4386"	67.78	66.45
"pos-controls-4387"	69.35	61.26
"pos-controls-4388"	59.45	69.72
"pos-controls-4401"	242.67	208.8
"pos-controls-4402"	301.34	259.63
"pos-controls-4403"	307.55	250.78
"pos-controls-4404"	217.61	222.09
"pos-controls-4449"	151.74	108.09
"pos-controls-4450"	126.11	103.25
"pos-controls-4451"	131.69	110.58
"pos-controls-4452"	147.33	97.2
"pos-controls-4609"	70.72	78.09
"pos-controls-4610"	61.26	92.8
"pos-controls-4611"	67.43	72.38
"pos-controls-4612"	76.85	62.32
"pos-controls-4621"	67.01	58.14
"pos-controls-4622"	91.15	62.17
"pos-controls-4623"	78.15	63.89
"pos-controls-4624"	62	59.79
"pos-controls-4729"	124.62	136.39
"pos-controls-4730"	100.55	132.5
"pos-controls-4731"	100.6	120.9
"pos-controls-4732"	126.24	135.67
"pos-controls-4757"	104.36	75.8
"pos-controls-4758"	116.92	75.69
"pos-controls-4759"	94.19	63.1
"pos-controls-4760"	118.21	61.14
"pos-controls-4781"	59.37	77.51
"pos-controls-4782"	60.37	71.75
"pos-controls-4783"	65.81	59.58
"pos-controls-4784"	69.41	50.93
"pos-controls-4793"	72.24	104.08
"pos-controls-4794"	85.17	88.86
