"Reporter Name"	"CO_NE_normalizedData_r1"	"CO_NE_normalizedData_r2"
"tcruzi-1049681"	107.37	117.89
"tcruzi-1050192"	192.4	193.77
"tcruzi-1051382"	233.05	82.87
"tcruzi-1051383"	115.16	81.19
"tcruzi-1052163"	116.88	73.48
"tcruzi-1052389"	85.09	111.5
"tcruzi-105242"	63.42	82.52
"tcruzi-105243"	114.95	140.95
"tcruzi-1052963"	248.04	443.82
"tcruzi-1053839"	106.8	75.13
"tcruzi-1054268"	47.9	51.97
"tcruzi-1054795"	833.75	632.1
"tcruzi-1055054"	298.21	228.34
"tcruzi-1056572"	99.01	121.92
"tcruzi-1057758"	216.81	394.83
"tcruzi-1058975"	504.84	354.79
"tcruzi-1061624"	114.53	73.21
"tcruzi-1062107"	146.36	90.91
"tcruzi-1063180"	233.83	281.68
"tcruzi-1064975"	168.92	97.07
"tcruzi-1065373"	321.49	68.98
"tcruzi-1066149"	176.88	148.12
"tcruzi-1067527"	63.83	65.32
"tcruzi-1068774"	145.01	552.81
"tcruzi-1070351"	91.98	148.89
"tcruzi-1070949"	279.9	200.12
"tcruzi-1071550"	86.36	122.04
"tcruzi-1071635"	131.69	131.64
"tcruzi-1071656"	78.57	60.47
"tcruzi-1072899"	159.13	223.23
"tcruzi-1073178"	7725.87	3947.64
"tcruzi-1074762"	179.67	620.99
"tcruzi-1076155"	65.99	93.76
"tcruzi-1076960"	165.66	117.53
"tcruzi-1078204"	89.73	71.38
"tcruzi-1079213"	179	143.41
"tcruzi-1079805"	90.96	86.22
"tcruzi-1080234"	78.33	129.21
"tcruzi-1080657"	120.3	103.42
"tcruzi-108500"	101.58	87.87
"tcruzi-1086010"	87.14	76.3
"tcruzi-1087087"	695.37	794.75
"tcruzi-1087996"	117.29	126.62
"tcruzi-1090931"	599.4	1172.39
"tcruzi-1092031"	110.1	77.64
"tcruzi-1092553"	109.7	151.51
"tcruzi-1093214"	193.31	258.91
"tcruzi-1093470"	49.58	69.11
"tcruzi-1094580"	1163.33	1681.72
"tcruzi-1096133"	411.78	447.19
"tcruzi-1096643"	45.89	53.93
"tcruzi-1097013"	378.7	374.09
"tcruzi-1097783"	77.23	80.19
"tcruzi-1102488"	2118.56	1425.11
"tcruzi-1107248"	1067.23	1196.39
"tcruzi-1107505"	63.66	54.78
"tcruzi-1107684"	333.24	370.28
"tcruzi-1108412"	1107.74	3010.07
"tcruzi-1109106"	105.84	82.52
"tcruzi-1109336"	64.16	78.03
"tcruzi-1109400"	65.42	72.33
"tcruzi-1109936"	42.69	37.56
"tcruzi-1110036"	610.38	875.76
"tcruzi-1112773"	101.48	134.72
"tcruzi-1114448"	67.07	124.97
"tcruzi-1114850"	6879.93	7230.82
"tcruzi-1114852"	650.32	1300.58
"tcruzi-1114868"	3182.74	4119.55
"tcruzi-1116183"	75.33	62.58
"tcruzi-1116761"	58.5	81.25
"tcruzi-1117091"	127.1	61.31
"tcruzi-1118377"	326.24	309.29
"tcruzi-1119706"	79.54	101.08
"tcruzi-1120174"	48.2	42.69
"tcruzi-1120683"	3010.07	3699.57
"tcruzi-1120684"	465.53	536.11
"tcruzi-1120884"	69.47	107.31
"tcruzi-1122368"	174.34	184.34
"tcruzi-1123831"	68.17	115.53
"tcruzi-1124337"	126.48	157.21
"tcruzi-1124347"	244.61	257.35
"tcruzi-1125238"	145.78	151.51
"tcruzi-1125763"	511.67	351.98
"tcruzi-1126563"	77.1	91.45
"tcruzi-1127742"	41.16	59.05
"tcruzi-1127972"	64.56	87.87
"tcruzi-1128134"	64.59	52.37
"tcruzi-11286"	121.62	101.62
"tcruzi-113085"	64.07	52.14
"tcruzi-1133715"	69.15	77.77
"tcruzi-1134348"	225.15	580.82
"tcruzi-1136523"	167	210.55
"tcruzi-1137500"	36.76	45.19
"tcruzi-1137590"	337.3	481.64
"tcruzi-1138516"	312.54	120.37
"tcruzi-113872"	127.93	154.33
"tcruzi-1139032"	1133.5	844.76
"tcruzi-1139259"	244.35	440.75
"tcruzi-1139683"	105.47	61.54
"tcruzi-1143483"	88.68	176.6
"tcruzi-1144556"	117.06	89.24
"tcruzi-1144643"	69.1	55.31
"tcruzi-1145281"	1714.01	1597.23
"tcruzi-1145746"	64.12	106.77
"tcruzi-1146618"	45.97	59.58
"tcruzi-1147006"	772.35	1107.74
"tcruzi-1147752"	205.14	101.2
"tcruzi-1148892"	137.65	114.57
"tcruzi-1148997"	118.81	75.67
"tcruzi-1149067"	335.71	143.74
"tcruzi-11494"	150	186.58
"tcruzi-1150857"	202.85	102.61
"tcruzi-1151645"	360.88	365.19
"tcruzi-1152294"	180.2	261.98
"tcruzi-1153790"	87.36	66.82
"tcruzi-1154199"	102.8	154.55
"tcruzi-115598"	418.36	712.4
"tcruzi-1156021"	121.43	79.02
"tcruzi-1157570"	111.04	60.21
"tcruzi-1157822"	51.83	53.11
"tcruzi-1158841"	53.35	54.72
"tcruzi-1163050"	74.6	45.89
"tcruzi-1163963"	64.71	77.89
"tcruzi-1165792"	75.67	79.58
"tcruzi-1165897"	125.8	116
"tcruzi-1166423"	151.74	233.83
"tcruzi-1168352"	52.62	70.48
"tcruzi-11689"	93.48	107.21
"tcruzi-11690"	81.34	100.78
"tcruzi-1169433"	51.97	59.2
"tcruzi-1170160"	43.35	62.75
"tcruzi-117097"	163.22	196.51
"tcruzi-1171358"	157.41	126.36
"tcruzi-1172245"	113.78	136.94
"tcruzi-1172744"	80.82	72.94
"tcruzi-1174014"	489.66	2083.01
"tcruzi-11758"	91.87	68.73
"tcruzi-1175905"	50.93	44.2
"tcruzi-1176260"	288.84	259.21
"tcruzi-1176263"	34.33	47.42
"tcruzi-1176294"	300.1	295.4
"tcruzi-1176545"	96.58	113.93
"tcruzi-1177409"	139.91	134.02
"tcruzi-1177668"	668.13	344.95
"tcruzi-1178140"	101.15	112.28
"tcruzi-1179174"	55.76	54.9
"tcruzi-1179733"	69.1	81.49
"tcruzi-1180613"	65.74	85.09
"tcruzi-118238"	190.08	305.2
"tcruzi-11840"	139.85	175.71
"tcruzi-1184334"	61.29	66.4
"tcruzi-1184353"	199.32	211.66
"tcruzi-118568"	86.4	84.57
"tcruzi-1187154"	119.19	100.63
"tcruzi-1187756"	146.94	137.84
"tcruzi-1187989"	350.01	408.54
"tcruzi-1189130"	69.31	72.9
"tcruzi-1189287"	130.62	88.85
"tcruzi-1190556"	99.89	156.94
"tcruzi-1190754"	305.66	323.88
"tcruzi-1190942"	343.35	59.95
"tcruzi-1191312"	1265.15	1714.01
"tcruzi-1191745"	77.1	190.4
"tcruzi-1192382"	2016	998.16
"tcruzi-1192513"	536.11	441.51
"tcruzi-1192644"	54.72	59.31
"tcruzi-1192731"	79.58	142.26
"tcruzi-1192920"	128.05	155.19
"tcruzi-1192981"	86.73	98.97
"tcruzi-1193421"	458.29	175.03
"tcruzi-1194306"	78.77	52.97
"tcruzi-1195256"	251.13	469.67
"tcruzi-1195808"	1054.42	1365.1
"tcruzi-1196444"	80.78	139.2
"tcruzi-1197917"	90.63	68.17
"tcruzi-1197981"	309.81	266.6
"tcruzi-1198163"	83.37	121.62
"tcruzi-1198849"	125.53	127.36
"tcruzi-1199723"	53.98	40.95
"tcruzi-1200640"	112.14	115.5
"tcruzi-1200824"	169.89	95.73
"tcruzi-1201746"	62.1	62.37
"tcruzi-1202762"	95.52	129.89
"tcruzi-120514"	10344.94	10344.94
"tcruzi-1206903"	94.03	146.28
"tcruzi-1209182"	2797.8	2918.4
"tcruzi-120983"	210.29	120.8
"tcruzi-121239"	89.36	208.98
"tcruzi-1212584"	101.2	117.82
"tcruzi-1212683"	46.95	52.06
"tcruzi-1213286"	217.87	202.93
"tcruzi-1214110"	86.83	138.3
"tcruzi-1215459"	82.5	78.11
"tcruzi-1216709"	67.56	57.1
"tcruzi-1217211"	98.72	135.67
"tcruzi-1217691"	71.24	84.7
"tcruzi-1218001"	204.7	108.85
"tcruzi-1218699"	118.6	147.59
"tcruzi-1221039"	133.45	126.75
"tcruzi-1221453"	55.05	70.65
"tcruzi-122201"	308.09	246.5
"tcruzi-1222478"	208.14	114.43
"tcruzi-1222568"	57.17	67.56
"tcruzi-1223214"	79.96	130.41
"tcruzi-1226275"	214.84	154.66
"tcruzi-1226870"	111.86	117.06
"tcruzi-1227315"	59.14	57.32
"tcruzi-1227945"	94.1	65.24
"tcruzi-1228944"	69.39	99.66
"tcruzi-1229058"	51.29	57.37
"tcruzi-1229860"	43.03	50.34
"tcruzi-1229872"	293.95	150.67
"tcruzi-1230022"	84.05	77.82
"tcruzi-1230280"	95.24	191.02
"tcruzi-1230668"	69.47	70.51
"tcruzi-1230871"	171.33	272.46
"tcruzi-123203"	712.4	648.18
"tcruzi-123204"	444.67	377.22
"tcruzi-123205"	507.46	625.13
"tcruzi-123206"	626.8	587.17
"tcruzi-1232450"	104.99	109.44
"tcruzi-1234147"	188.36	116.29
"tcruzi-1234542"	106.27	130.66
"tcruzi-1234811"	86.16	72.24
"tcruzi-1235803"	144.42	69.76
"tcruzi-1236908"	87.14	86.72
"tcruzi-1238827"	98.4	104.46
"tcruzi-1239381"	50.37	50.06
"tcruzi-1239612"	397.21	737.58
"tcruzi-1239848"	71.71	136.14
"tcruzi-124046"	66.96	109.83
"tcruzi-1241470"	86.28	78.64
"tcruzi-1241966"	45.51	50.93
"tcruzi-1242647"	155.31	122.17
"tcruzi-1243069"	137.41	239.44
"tcruzi-1243615"	93.93	94.48
"tcruzi-124383"	186.58	260.54
"tcruzi-124386"	206.26	251.13
"tcruzi-124387"	185.74	281.17
"tcruzi-124388"	193.09	255.86
"tcruzi-1243975"	85.56	83.86
"tcruzi-1244599"	85.44	115.69
"tcruzi-1247463"	57.41	57.17
"tcruzi-1249624"	124.11	117.18
"tcruzi-1250409"	1975.54	1210.59
"tcruzi-1250642"	216.63	262.15
"tcruzi-125141"	233.38	286.91
"tcruzi-125142"	145.69	186.99
"tcruzi-125143"	173.65	305.94
"tcruzi-1252129"	67.72	67.12
"tcruzi-1253172"	134.79	93.25
"tcruzi-1254480"	51.39	59.39
"tcruzi-1254712"	170.92	327.73
"tcruzi-1256061"	5662.65	4943.49
"tcruzi-1257101"	210.29	88.16
"tcruzi-1257972"	148.43	147.23
"tcruzi-1258493"	67.9	66.4
"tcruzi-1259796"	84.49	153.9
"tcruzi-1261085"	50.75	55.83
"tcruzi-1261129"	71.38	74.43
"tcruzi-1261667"	213.1	244.92
"tcruzi-1262973"	286.91	269.53
"tcruzi-1263935"	71.58	92.72
"tcruzi-1264424"	252.54	198.48
"tcruzi-1265106"	53.24	56.01
"tcruzi-1265968"	89.88	60
"tcruzi-1266173"	63.09	73.15
"tcruzi-1266948"	182.07	177.36
"tcruzi-1270797"	397.78	730.3
"tcruzi-127114"	93.21	110.78
"tcruzi-1271516"	250.78	357.79
"tcruzi-1271528"	440.75	456.79
"tcruzi-1271532"	625.13	476.66
"tcruzi-1274094"	70.19	84
"tcruzi-1276327"	53.66	158.96
"tcruzi-1276448"	99.72	147.85
"tcruzi-127678"	115.6	175.97
"tcruzi-1277039"	87.63	76.08
"tcruzi-1277130"	48.8	42.26
"tcruzi-1277600"	58.98	81.12
"tcruzi-1278580"	60.87	110.61
"tcruzi-1278741"	48.96	45.6
"tcruzi-1278979"	2577.69	546.19
"tcruzi-1279756"	491.87	380.64
"tcruzi-1280987"	65.14	70.16
"tcruzi-1281860"	67.54	76.85
"tcruzi-1281920"	66.23	64.39
"tcruzi-1282955"	56.28	60.16
"tcruzi-1284444"	203.47	244.35
"tcruzi-128643"	80.54	123.9
"tcruzi-1287344"	90.84	129.96
"tcruzi-1288694"	86.59	122.71
"tcruzi-1292427"	40.95	34.33
"tcruzi-1292865"	215.39	392.36
"tcruzi-1294248"	179.46	137.41
"tcruzi-129431"	77.87	86.54
"tcruzi-1294435"	79.16	143.08
"tcruzi-1295819"	167.39	228.57
"tcruzi-1298179"	4194.06	5252.2
"tcruzi-12984"	94.63	92.57
"tcruzi-1298685"	718.83	2186.31
"tcruzi-1299631"	402.58	279.28
"tcruzi-1300801"	108.03	97.26
"tcruzi-130353"	462.39	585.55
"tcruzi-1305035"	78.21	114.36
"tcruzi-1306960"	61.38	53.98
"tcruzi-1307469"	210.73	239.72
"tcruzi-130759"	108.5	109.27
"tcruzi-1307844"	225.46	250.05
"tcruzi-1308401"	49.9	76.25
"tcruzi-1308585"	132.37	174.25
"tcruzi-130911"	185.3	150.07
"tcruzi-1310689"	79.78	77.12
"tcruzi-1311448"	94.73	92.85
"tcruzi-1311716"	58.9	48.37
"tcruzi-1312139"	91.3	94.34
"tcruzi-1312666"	243.51	134.79
"tcruzi-1313268"	61.18	57.93
"tcruzi-1313404"	126.75	93.9
"tcruzi-1319429"	137.65	170.03
"tcruzi-131949"	215.57	242.99
"tcruzi-1319580"	122.09	110.72
"tcruzi-1319598"	188.21	364.61
"tcruzi-1319606"	95.71	96.15
"tcruzi-1320250"	122.46	98.19
"tcruzi-1322862"	1322.65	1413.68
"tcruzi-1323048"	403.22	310.21
"tcruzi-1323058"	72.03	129.3
"tcruzi-1323757"	82.33	93.45
"tcruzi-1324265"	68.6	69.35
"tcruzi-1324289"	447.19	557.79
"tcruzi-1324595"	111.55	176.88
"tcruzi-132480"	97.87	102.84
"tcruzi-132523"	281.68	119.77
"tcruzi-132526"	410.83	131.76
"tcruzi-132532"	438.12	229.46
"tcruzi-1326243"	57.29	76.63
"tcruzi-1326876"	134.5	93.04
"tcruzi-1327786"	126.43	214.84
"tcruzi-1328347"	96.58	109.54
"tcruzi-1329365"	126.67	121.26
"tcruzi-1330047"	118.15	141.34
"tcruzi-1330781"	82.24	66.45
"tcruzi-1330850"	254.22	285.17
"tcruzi-1332497"	386.44	830.3
"tcruzi-1333923"	217.42	409.52
"tcruzi-1334516"	227.64	98.64
"tcruzi-1334780"	209.35	115.83
"tcruzi-1336506"	538.82	630.17
"tcruzi-1338066"	228.11	74.79
"tcruzi-1339411"	566.41	652.82
"tcruzi-1340521"	171.06	203.3
"tcruzi-1340890"	270.04	296.56
"tcruzi-1341410"	409.52	547.46
"tcruzi-1342593"	115.42	88.24
"tcruzi-1343047"	326.99	498.79
"tcruzi-1346495"	4288.09	5497.09
"tcruzi-1350841"	481.64	342.79
"tcruzi-1351842"	110.37	109.64
"tcruzi-1353190"	155.11	196.21
"tcruzi-1353435"	65.32	71.93
"tcruzi-1354706"	107.79	83.53
"tcruzi-1355703"	42.16	41.16
"tcruzi-1356136"	222.29	121.26
"tcruzi-1357165"	201.6	210.37
"tcruzi-1357383"	61.67	72.26
"tcruzi-1357584"	1188.3	1558.03
"tcruzi-135812"	680.28	907.35
"tcruzi-1358773"	126.36	75.73
"tcruzi-1360905"	88.03	105.56
"tcruzi-1361764"	133.03	330.29
"tcruzi-1362843"	264.39	314.51
"tcruzi-1364002"	91.75	111.47
"tcruzi-1364284"	146.67	204.3
"tcruzi-1364901"	199.66	419.16
"tcruzi-1365246"	382.52	276.12
"tcruzi-1365986"	104.29	77.41
"tcruzi-1366529"	347.83	106.57
"tcruzi-1367500"	194.34	313.01
"tcruzi-1368041"	111.61	113.3
"tcruzi-1370289"	104.17	84.66
"tcruzi-1371050"	109.58	173.88
"tcruzi-1373329"	59.47	59.79
"tcruzi-1374160"	415.86	220.85
"tcruzi-1376288"	123.34	107.86
"tcruzi-1377822"	152.52	241.47
"tcruzi-1383389"	85.28	77.38
"tcruzi-138438"	178.46	244.03
"tcruzi-1386086"	113.3	111.61
"tcruzi-1386719"	111.35	123.38
"tcruzi-1387472"	492.91	445.96
"tcruzi-1389417"	93.06	88.08
"tcruzi-1389673"	180.71	145.85
"tcruzi-1390510"	291.76	377.67
"tcruzi-13922"	102.26	61.18
"tcruzi-1393604"	228.57	146.55
"tcruzi-1394556"	191.51	128.22
"tcruzi-1394674"	162.78	143.13
"tcruzi-1395641"	80.32	83.81
"tcruzi-1395762"	136.6	122.96
"tcruzi-1396021"	97.46	187.85
"tcruzi-1396171"	63.31	200.69
"tcruzi-1396233"	190.4	372.93
"tcruzi-1396750"	68.25	55.05
"tcruzi-1398460"	265.61	130.92
"tcruzi-1399442"	74.4	103.86
"tcruzi-1400729"	139.5	118.97
"tcruzi-1400992"	146.05	164.61
"tcruzi-1401389"	97.14	78.57
"tcruzi-1402662"	149.06	291.76
"tcruzi-1403720"	108.85	114.5
"tcruzi-1405130"	152.59	109.01
"tcruzi-1405252"	123.09	65.76
"tcruzi-1405779"	331.99	344.56
"tcruzi-140721"	93.87	85.62
"tcruzi-1407669"	46.5	44.93
"tcruzi-1407880"	193.92	130.01
"tcruzi-1408592"	96.41	125.36
"tcruzi-1408867"	140.92	153.39
"tcruzi-1410550"	91.18	57.9
"tcruzi-1411187"	688.1	1041.43
"tcruzi-1411767"	129.14	211.85
"tcruzi-1412478"	123.43	115.34
"tcruzi-1413309"	123.27	149.83
"tcruzi-1416932"	308.39	303.98
"tcruzi-1417053"	380.64	400.31
"tcruzi-1417373"	87.96	137.21
"tcruzi-1418150"	98.19	142.39
"tcruzi-1418570"	59.79	86.59
"tcruzi-1418630"	114.57	107.12
"tcruzi-1419073"	81.21	112.14
"tcruzi-1420027"	271.45	231.08
"tcruzi-1420365"	86.32	144.98
"tcruzi-1420474"	508.79	528.07
"tcruzi-1424785"	89.97	172.58
"tcruzi-1425690"	394.83	213.91
"tcruzi-142587"	59.45	63.42
"tcruzi-1426609"	76.01	79.32
"tcruzi-1426769"	86.91	62.83
"tcruzi-1426779"	80.21	81.19
"tcruzi-1427951"	94.29	97.83
"tcruzi-1428469"	5894.16	4396.38
"tcruzi-1428927"	108.6	162.45
"tcruzi-1429460"	500.85	589.01
"tcruzi-1429642"	234.61	118.02
"tcruzi-1430085"	469	425.79
"tcruzi-1430128"	126.57	115.86
"tcruzi-1430632"	313.01	425.09
"tcruzi-1431541"	144.42	227.28
"tcruzi-1431582"	150.97	167.22
"tcruzi-1431796"	513.42	769.84
"tcruzi-143278"	252.74	272.19
"tcruzi-1432852"	61.84	46.62
"tcruzi-1433332"	42.86	42.42
"tcruzi-1433478"	88.23	118.97
"tcruzi-143626"	194.69	98.15
"tcruzi-1436785"	86.22	83.37
"tcruzi-1437374"	255.86	322.38
"tcruzi-1438824"	1445.77	1728.22
"tcruzi-1440435"	86.83	110.5
"tcruzi-1441863"	138.24	93.3
"tcruzi-1442883"	53.81	102.74
"tcruzi-1443398"	482.94	1355.75
"tcruzi-1443565"	157.27	216.63
"tcruzi-1443785"	103.67	105.69
"tcruzi-1443818"	45.6	52.75
"tcruzi-1444121"	79.64	101.72
"tcruzi-1444780"	143.13	153.8
"tcruzi-1444781"	169.15	208.8
"tcruzi-1444870"	158.62	156.17
"tcruzi-1445056"	704.98	180.02
"tcruzi-1445395"	90.56	122.88
"tcruzi-1446936"	62.75	83.4
"tcruzi-1447715"	76.94	113.97
"tcruzi-1448352"	58.79	91.63
"tcruzi-1448430"	75.95	71.28
"tcruzi-1454707"	110.64	118.6
"tcruzi-1454955"	221.49	118.83
"tcruzi-1454967"	123.59	85.3
"tcruzi-1455053"	178.19	182.5
"tcruzi-1455078"	652.82	395.61
"tcruzi-1455079"	544.72	298.82
"tcruzi-1455080"	433.84	412.27
"tcruzi-1455081"	547.46	229.85
"tcruzi-1455082"	931.05	156.28
"tcruzi-1455086"	603.87	418.36
"tcruzi-1455087"	316.25	260.89
"tcruzi-1455088"	400.31	99.84
"tcruzi-1455182"	292.89	259.9
"tcruzi-145588"	314.51	180.27
"tcruzi-145619"	205.03	202.48
"tcruzi-1457785"	150.77	162.86
"tcruzi-1458847"	143.88	143.57
"tcruzi-1459863"	112.06	92.67
"tcruzi-146004"	63.35	80.5
"tcruzi-1460093"	71.07	74.96
"tcruzi-146192"	276.69	174.63
"tcruzi-1462206"	74.92	104.58
"tcruzi-1462308"	38.22	51.57
"tcruzi-1462441"	177.12	182.84
"tcruzi-1463929"	83.47	72.98
"tcruzi-1464023"	69.89	78.33
"tcruzi-1464059"	100.07	45.73
"tcruzi-1465230"	174.83	132.83
"tcruzi-1466443"	134.72	226.14
"tcruzi-1469686"	109.38	99.13
"tcruzi-1474284"	253	95.64
"tcruzi-1477301"	4611.87	3572.73
"tcruzi-1477302"	1528.52	688.1
"tcruzi-1477305"	2253.43	2324.96
"tcruzi-1477308"	4801.9	4611.87
"tcruzi-1477309"	1279.74	1067.23
"tcruzi-1477312"	2636.44	3097.28
"tcruzi-1477314"	1102.49	879.02
"tcruzi-1477315"	1952.13	8419.55
"tcruzi-1477316"	112.74	203.1
"tcruzi-1477317"	219.26	244.14
"tcruzi-1477321"	1271.5	1258.83
"tcruzi-1477322"	3874.66	4691.48
"tcruzi-1477323"	617.64	896.41
"tcruzi-1477447"	96.15	142.45
"tcruzi-1477817"	314.04	288.19
"tcruzi-1479441"	95.1	103.49
"tcruzi-1480"	364.06	149.14
"tcruzi-1480897"	200.5	150.44
"tcruzi-1481296"	2672.6	104.7
"tcruzi-1481517"	62.28	107.75
"tcruzi-1483701"	72.21	102.04
"tcruzi-1484"	419.87	486.42
"tcruzi-1484007"	112.06	86.11
"tcruzi-1484503"	215.79	89.62
"tcruzi-1485"	521.72	749
"tcruzi-1485655"	67.4	73.08
"tcruzi-148789"	129.3	75.16
"tcruzi-1489"	1759.18	2672.6
"tcruzi-1491"	1991.2	2963.33
"tcruzi-1491350"	372.93	472.28
"tcruzi-1491804"	384.47	924.48
"tcruzi-1492"	2131.06	2830.6
"tcruzi-1492761"	292.02	223.99
"tcruzi-1493"	353.19	368.94
"tcruzi-1493802"	81.43	78.15
"tcruzi-1494"	487.96	550.32
"tcruzi-1494207"	104.55	72.6
"tcruzi-1494259"	71.42	67.18
"tcruzi-1495"	474.8	508.79
"tcruzi-1495399"	114.43	89.97
"tcruzi-1496"	643.07	638.15
"tcruzi-1496418"	73.78	87.42
"tcruzi-149676"	88.49	76.99
"tcruzi-1497197"	111.35	87.94
"tcruzi-1497227"	766.73	669.9
"tcruzi-1497229"	715.82	619.45
"tcruzi-1497231"	769.84	626.8
"tcruzi-1497233"	425.09	375.62
"tcruzi-1497239"	308.87	283.98
"tcruzi-1497240"	142.34	253.81
"tcruzi-1497412"	68.54	71.83
"tcruzi-1497525"	1658.48	2277.28
"tcruzi-1497673"	64.83	66.76
"tcruzi-1498047"	408.54	326.24
"tcruzi-1498087"	346.56	266.25
"tcruzi-1498735"	82.01	84.39
"tcruzi-1499424"	122.83	177.58
"tcruzi-1500439"	192.67	131.32
"tcruzi-1500530"	109.74	101.02
"tcruzi-1500563"	255.12	225.88
"tcruzi-1500825"	128.78	102.08
"tcruzi-1500868"	320.92	328.29
"tcruzi-1501833"	58.05	52.62
"tcruzi-1503438"	179.46	151.86
"tcruzi-1503495"	234.12	151.34
"tcruzi-1504390"	65.45	166.43
"tcruzi-1504848"	56.35	60.05
"tcruzi-1505803"	127.7	116.6
"tcruzi-150718"	569.51	582.93
"tcruzi-1507733"	100.55	82.61
"tcruzi-1509584"	80.41	64.27
"tcruzi-1510460"	423.23	614.66
"tcruzi-1510737"	76.06	91.3
"tcruzi-1510738"	44.04	49.29
"tcruzi-1510835"	75.91	79.81
"tcruzi-1511831"	221.84	200.9
"tcruzi-1512367"	449.9	869.63
"tcruzi-1513852"	77.61	81.32
"tcruzi-1514520"	73.43	50.55
"tcruzi-1514889"	221.04	252.74
"tcruzi-1515982"	46.16	47.42
"tcruzi-1518162"	309.29	338.28
"tcruzi-1518163"	277.13	277.76
"tcruzi-1518165"	272.46	334.66
"tcruzi-1518209"	165.22	96.21
"tcruzi-1518316"	91.9	124.11
"tcruzi-1518323"	97.64	79.16
"tcruzi-1520087"	377.22	521.72
"tcruzi-1521173"	106.04	113.07
"tcruzi-1521828"	80.71	104.8
"tcruzi-1522010"	122.96	166.71
"tcruzi-1522557"	280.19	347.83
"tcruzi-1523504"	237.66	94.24
"tcruzi-1523506"	404.26	93.5
"tcruzi-152394"	348.33	336.76
"tcruzi-152402"	63.54	81.44
"tcruzi-1524770"	543.46	117.31
"tcruzi-1524827"	54.21	51.71
"tcruzi-1525735"	395.61	668.13
"tcruzi-152674"	102.47	49.04
"tcruzi-1526824"	452.26	658.81
"tcruzi-1527255"	90.47	87.94
"tcruzi-1529425"	142.97	139.72
"tcruzi-1532396"	246.78	198.96
"tcruzi-1533924"	98.81	117.23
"tcruzi-1534808"	270.46	141.44
"tcruzi-1535435"	296.23	289.65
"tcruzi-1536258"	640.4	398.97
"tcruzi-1536593"	1258.83	2206.61
"tcruzi-1536991"	58.11	67.05
"tcruzi-1537160"	146.48	142.55
"tcruzi-1537246"	51.03	54.14
"tcruzi-1538111"	147.78	199.96
"tcruzi-1538683"	86	108.68
"tcruzi-153893"	207.9	275.11
"tcruzi-1539306"	135.67	92.55
"tcruzi-1539375"	130.48	153.05
"tcruzi-1540162"	81.6	71.63
"tcruzi-1540585"	220.4	198
"tcruzi-1541811"	317.57	294.32
"tcruzi-1542278"	159.58	186.19
"tcruzi-1542279"	329.63	280.19
"tcruzi-1542280"	95.94	157.12
"tcruzi-1542282"	117.53	63.14
"tcruzi-1542723"	278.71	231.85
"tcruzi-1543028"	576.74	678.26
"tcruzi-1543367"	184.34	194.34
"tcruzi-1544739"	89.78	81.29
"tcruzi-1547640"	139.01	131.39
"tcruzi-1548333"	117.95	74.02
"tcruzi-1549056"	76.36	74.43
"tcruzi-1549238"	135.74	121.15
"tcruzi-1551114"	184.72	114.95
"tcruzi-1551284"	342.79	324.77
"tcruzi-1551285"	271.68	104.99
"tcruzi-1552337"	94.73	73.9
"tcruzi-1552453"	164.84	77.93
"tcruzi-1553173"	275.78	469
"tcruzi-1553193"	116.77	155.31
"tcruzi-1553412"	109.21	185.3
"tcruzi-1555965"	283.45	237.66
"tcruzi-1556834"	141.88	176.11
"tcruzi-155723"	56.82	45.31
"tcruzi-1557974"	861.68	279.6
"tcruzi-1558192"	54.45	83.62
"tcruzi-1558882"	190.08	144.38
"tcruzi-1560166"	268.79	280.63
"tcruzi-1560681"	67.86	65.92
"tcruzi-1562189"	52.47	71.66
"tcruzi-1562390"	153.8	166.34
"tcruzi-1563057"	710.17	861.68
"tcruzi-1563192"	523.42	198.68
"tcruzi-1563272"	283.15	344
"tcruzi-156409"	112.47	90.98
"tcruzi-1564216"	75.49	71.8
"tcruzi-1564511"	130.2	88.13
"tcruzi-1565209"	92.88	145.54
"tcruzi-1565235"	94.19	120.65
"tcruzi-1566440"	90.68	113.85
"tcruzi-1566806"	300.45	118.67
"tcruzi-1567518"	257.86	228.11
"tcruzi-1568497"	119.09	83.78
"tcruzi-1569398"	113.53	206.85
"tcruzi-1569897"	66.96	72.67
"tcruzi-1570158"	129.53	99.2
"tcruzi-1570186"	146.28	120.16
"tcruzi-1572992"	892.52	971.8
"tcruzi-1573090"	129.21	190.17
"tcruzi-1573609"	56.22	46.16
"tcruzi-1574001"	264.12	282.72
"tcruzi-1574370"	83.12	120.9
"tcruzi-1574455"	3499.26	2797.8
"tcruzi-1574464"	139.28	116.55
"tcruzi-157550"	217.08	258.29
"tcruzi-1576824"	191.86	189.47
"tcruzi-1577928"	428.05	321.49
"tcruzi-1578131"	113.93	112.35
"tcruzi-1579926"	211.39	319.16
"tcruzi-1579988"	1097.81	2416.18
"tcruzi-1580163"	43.15	60.71
"tcruzi-1582045"	101.26	103.3
"tcruzi-1582046"	196.99	243.51
"tcruzi-1583575"	101.48	140.27
"tcruzi-1585791"	265.27	356.8
"tcruzi-1586553"	194.5	1395.54
"tcruzi-1586666"	966.31	336.18
"tcruzi-1587110"	77.26	130.75
"tcruzi-1587286"	1615.92	2061.28
"tcruzi-1587970"	109.64	117.12
"tcruzi-1589324"	246.5	245.48
"tcruzi-1591348"	214.2	138.17
