"Reporter Name"	"CO_NE_normalizedData_r1"	"CO_NE_normalizedData_r2"
"pos-controls-3191"	445.96	401.14
"pos-controls-3192"	414.28	430.41
"pos-controls-3237"	4943.49	6626.94
"pos-controls-3238"	5080.17	6879.93
"pos-controls-3239"	4119.55	5354.32
"pos-controls-3240"	5354.32	6072.49
"pos-controls-3253"	96.78	195.46
"pos-controls-3254"	108.25	280.85
"pos-controls-3255"	103.86	222.09
"pos-controls-3256"	104.64	328.76
"pos-controls-3257"	102.04	114.19
"pos-controls-3258"	127.21	123.02
"pos-controls-3259"	99.38	113.7
"pos-controls-3260"	142.97	257.61
"pos-controls-3289"	68.66	71.97
"pos-controls-3290"	75.18	90.09
"pos-controls-3291"	88.16	90.84
"pos-controls-3292"	57.1	79.48
"pos-controls-3293"	76.71	61.14
"pos-controls-3294"	83.79	71.59
"pos-controls-3295"	129.72	108.9
"pos-controls-3296"	98.57	88.39
"pos-controls-3301"	140.98	75.89
"pos-controls-3302"	154.33	99.69
"pos-controls-3303"	166.24	89.2
"pos-controls-3304"	143.41	103.91
"pos-controls-333"	589.01	622.94
"pos-controls-334"	468.14	574.66
"pos-controls-335"	584.25	455.7
"pos-controls-336"	591.74	577.65
"pos-controls-3433"	75.53	83.03
"pos-controls-3434"	74.05	93.15
"pos-controls-3435"	64.97	58.01
"pos-controls-3436"	149.14	140.49
"pos-controls-3469"	105.2	90.55
"pos-controls-3470"	109.14	89.53
"pos-controls-3471"	111.22	81.53
"pos-controls-3472"	123.9	96.46
"pos-controls-3473"	118.25	134.07
"pos-controls-3474"	148.89	158.44
"pos-controls-3475"	295.4	160.21
"pos-controls-3476"	145.22	265.61
"pos-controls-3477"	90.47	90.71
"pos-controls-3478"	77.93	68.84
"pos-controls-3479"	81.25	63.45
"pos-controls-3480"	82.88	88.75
"pos-controls-3549"	133.37	74.96
"pos-controls-3550"	88.55	63.22
"pos-controls-3551"	53.59	64.76
"pos-controls-3552"	61.05	55.12
"pos-controls-3605"	82.85	83.47
"pos-controls-3606"	67.86	61.05
"pos-controls-3607"	73.28	57.84
"pos-controls-3608"	76.63	87.25
"pos-controls-3609"	94.85	57.71
"pos-controls-3610"	98.93	53.04
"pos-controls-3611"	62.32	63.35
"pos-controls-3612"	80.5	63.31
"pos-controls-3761"	81.69	130.16
"pos-controls-3762"	79.4	122.55
"pos-controls-3763"	73.89	118.38
"pos-controls-3764"	74.75	98.08
"pos-controls-3765"	232.78	318.31
"pos-controls-3766"	324.77	365.97
"pos-controls-3767"	271.27	307.55
"pos-controls-3768"	333.96	391.57
"pos-controls-3849"	160.95	75.33
"pos-controls-3850"	155.19	96.8
"pos-controls-3851"	151.24	88.47
"pos-controls-3852"	141.47	86.47
"pos-controls-3901"	235.45	152.82
"pos-controls-3902"	208.98	178.19
"pos-controls-3903"	250.23	228.94
"pos-controls-3904"	219.02	169.15
"pos-controls-4009"	260.02	223.59
"pos-controls-4010"	280.85	264.12
"pos-controls-4011"	237.05	262.66
"pos-controls-4012"	282.72	343.35
"pos-controls-4053"	132.77	139.09
"pos-controls-4054"	91.38	125.8
"pos-controls-4055"	126.26	132.29
"pos-controls-4056"	115.66	118.21
"pos-controls-4057"	87.14	108.25
"pos-controls-4058"	75.13	96.99
"pos-controls-4059"	102.39	108.15
"pos-controls-4060"	107.21	113.7
"pos-controls-4061"	125.65	191.33
"pos-controls-4062"	112.85	157.27
"pos-controls-4063"	120.65	163.08
"pos-controls-4064"	116.92	112.02
"pos-controls-4069"	107.31	308.87
"pos-controls-4070"	99.95	308.09
"pos-controls-4071"	123.99	291.18
"pos-controls-4072"	124.57	306.44
"pos-controls-4121"	138.89	98.53
"pos-controls-4122"	120.73	115.42
"pos-controls-4123"	136.27	104.38
"pos-controls-4124"	125.89	111.96
"pos-controls-4165"	162.28	146.87
"pos-controls-4166"	144.6	98.37
"pos-controls-4167"	166.1	103.01
"pos-controls-4168"	175.32	115.16
"pos-controls-4205"	170.59	158.62
"pos-controls-4206"	148.04	150.31
"pos-controls-4207"	155.77	127.1
"pos-controls-4208"	144.69	123.5
"pos-controls-4209"	112.95	119.39
"pos-controls-4210"	145.9	106.88
"pos-controls-4211"	105.94	97.12
"pos-controls-4212"	119.19	122.65
"pos-controls-4213"	102.12	116.88
"pos-controls-4214"	101.72	91.55
"pos-controls-4215"	93.15	163.4
"pos-controls-4216"	106.42	113.9
"pos-controls-4229"	173.45	210.21
"pos-controls-4230"	249.75	358.65
"pos-controls-4231"	273.71	302.23
"pos-controls-4232"	244.92	271.27
"pos-controls-4281"	120.52	179.14
"pos-controls-4282"	159.93	195.11
"pos-controls-4283"	120.8	136.03
"pos-controls-4284"	114.68	173.36
"pos-controls-4289"	109.21	106.29
"pos-controls-4290"	156.17	94.81
"pos-controls-4291"	125.89	101.77
"pos-controls-4292"	138.72	107.03
"pos-controls-4293"	161.12	146.67
"pos-controls-4294"	181.48	150.31
"pos-controls-4295"	198.48	164.08
"pos-controls-4296"	160.21	159.58
"pos-controls-4301"	156.28	169.31
"pos-controls-4302"	170.03	197.27
"pos-controls-4303"	141.96	155.39
"pos-controls-4304"	215.03	167.39
"pos-controls-4349"	257.61	99.38
"pos-controls-4350"	257.35	104.01
"pos-controls-4351"	392.36	80.01
"pos-controls-4352"	344.56	94.13
"pos-controls-4353"	247.41	339.93
"pos-controls-4354"	237.34	97.98
"pos-controls-4355"	272.79	86.74
"pos-controls-4356"	230.33	105.89
"pos-controls-4385"	88.42	70.06
"pos-controls-4386"	84.29	66.48
"pos-controls-4387"	63.89	69.85
"pos-controls-4388"	78.37	63.83
"pos-controls-4401"	186.39	180.71
"pos-controls-4402"	152.45	179
"pos-controls-4403"	205.32	218.3
"pos-controls-4404"	195.25	175.55
"pos-controls-4449"	125.97	120.3
"pos-controls-4450"	129.66	112.67
"pos-controls-4451"	131.76	130.85
"pos-controls-4452"	137.86	147.78
"pos-controls-4609"	112.67	113.35
"pos-controls-4610"	89.15	79.2
"pos-controls-4611"	72.78	79.76
"pos-controls-4612"	96.46	90.79
"pos-controls-4621"	60.34	92.9
"pos-controls-4622"	77.3	74.07
"pos-controls-4623"	64.97	74.68
"pos-controls-4624"	127.55	99.43
"pos-controls-4729"	149.44	225.65
"pos-controls-4730"	165.82	220.04
"pos-controls-4731"	185.44	335.06
"pos-controls-4732"	157.83	197.76
"pos-controls-4757"	78.47	64.83
"pos-controls-4758"	100.6	75.49
"pos-controls-4759"	85.02	62.9
"pos-controls-4760"	74.05	60.52
"pos-controls-4781"	77.73	60.09
"pos-controls-4782"	56.95	82.15
"pos-controls-4783"	84.73	83.7
"pos-controls-4784"	75.71	100.72
"pos-controls-4793"	71.97	87.87
"pos-controls-4794"	73.33	88.55
"pos-controls-4795"	62.43	78.37
"pos-controls-4796"	61.14	74.71
"pos-controls-4797"	85.17	77.08
"pos-controls-4798"	79.1	100.63
"pos-controls-4799"	90.36	96.02
"pos-controls-4800"	98.68	83.16
"pos-controls-4825"	502.61	661.16
"pos-controls-4826"	775.51	426.94
"pos-controls-4827"	830.3	760.5
"pos-controls-4828"	778.95	541.29
"pos-controls-4845"	86.47	79.64
"pos-controls-4846"	74.52	137.32
"pos-controls-4847"	134.94	68.68
"pos-controls-4848"	136.9	75.29
"pos-controls-4849"	67.35	63.66
"pos-controls-4850"	71.28	55.92
"pos-controls-4851"	61.54	99.95
"pos-controls-4852"	77.41	66.3
"pos-controls-4861"	187.58	71.88
"pos-controls-4862"	114.21	92.62
"pos-controls-4863"	114.21	90.23
"pos-controls-4864"	140.42	179.3
"pos-controls-4865"	153.65	192.56
"pos-controls-4866"	182.58	193.04
"pos-controls-4867"	113.44	157.83
"pos-controls-4868"	145.38	146.18
"pos-controls-4885"	108.4	143.88
"pos-controls-4886"	128.78	140.55
"pos-controls-4887"	140.59	138.78
"pos-controls-4888"	109.27	146.94
"pos-controls-4893"	97.1	76.51
"pos-controls-4894"	78.41	73.28
"pos-controls-4895"	70.81	96.95
"pos-controls-4896"	75.04	63.71
"pos-controls-4897"	77.2	96.25
"pos-controls-4898"	91.04	82.76
"pos-controls-4899"	70.42	72.08
"pos-controls-4900"	82.1	72
"pos-controls-4917"	64.9	75.46
"pos-controls-4918"	70.75	79.71
"pos-controls-4919"	117.45	66.07
"pos-controls-4920"	65.92	71.1
"pos-controls-4921"	66.84	70.02
"pos-controls-4922"	65.55	87.61
"pos-controls-4923"	81.78	60.56
"pos-controls-4924"	92.24	63.89
"pos-controls-4925"	149.55	113.24
"pos-controls-4926"	147.72	104.84
"pos-controls-4927"	150.55	156.01
"pos-controls-4928"	168.29	119.33
"pos-controls-4929"	8808.65	265.03
"pos-controls-4930"	203.1	254.34
"pos-controls-4931"	241.88	135.58
"pos-controls-4932"	197.64	209.58
"pos-controls-4949"	84.63	112.1
"pos-controls-4950"	132.7	116.68
"pos-controls-4951"	122.55	96.36
"pos-controls-4952"	139.01	161.02
"pos-controls-4953"	82.96	68.43
"pos-controls-4954"	87.84	80.99
"pos-controls-4955"	78.9	88.29
"pos-controls-4956"	92.76	73.78
"pos-controls-5049"	154.75	148.77
"pos-controls-5050"	175.41	179.4
"pos-controls-5051"	164.76	136.6
"pos-controls-5052"	181.91	98.72
"pos-controls-5057"	68.02	79.54
"pos-controls-5058"	82.59	56.55
"pos-controls-5059"	87.7	63.75
"pos-controls-5060"	73.83	63.07
"pos-controls-5089"	130.8	153.28
"pos-controls-5090"	148.99	154.75
"pos-controls-5091"	122.71	180.27
"pos-controls-5092"	121.23	165.57
"pos-controls-5101"	95.4	80.32
"pos-controls-5102"	66.48	70.68
"pos-controls-5103"	94.24	85.75
"pos-controls-5104"	76.23	85.48
"pos-controls-5149"	229.71	242.08
"pos-controls-5150"	251.68	197.64
"pos-controls-5151"	238.76	179.51
"pos-controls-5152"	184.54	205.75
"pos-controls-5257"	93.81	142.14
"pos-controls-5258"	101.1	169.01
"pos-controls-5259"	90.77	140.17
"pos-controls-5260"	100.42	172.45
