"Reporter Name"	"LE_NE_normalizedData_r1"	"LE_NE_normalizedData_r2"
"pos-controls-3191"	448.75	346.56
"pos-controls-3192"	474.8	405.16
"pos-controls-3237"	134.41	143.57
"pos-controls-3238"	120.08	137.49
"pos-controls-3239"	124.53	156.17
"pos-controls-3240"	133.81	164.2
"pos-controls-3253"	105.08	92.91
"pos-controls-3254"	95.71	102.33
"pos-controls-3255"	96.54	86.59
"pos-controls-3256"	90.45	93.21
"pos-controls-3257"	632.1	899.68
"pos-controls-3258"	464.12	799.62
"pos-controls-3259"	361.57	554.76
"pos-controls-3260"	492.91	665.73
"pos-controls-3289"	91.18	124.53
"pos-controls-3290"	103.4	122.4
"pos-controls-3291"	108.09	111.72
"pos-controls-3292"	106.22	116.41
"pos-controls-3293"	168.8	213.28
"pos-controls-3294"	203.47	246.21
"pos-controls-3295"	160.21	271.68
"pos-controls-3296"	172.69	308.87
"pos-controls-3301"	131.39	146.36
"pos-controls-3302"	142.94	135.5
"pos-controls-3303"	138.72	130.7
"pos-controls-3304"	154.28	170.32
"pos-controls-333"	166.71	201.75
"pos-controls-334"	143.21	109.33
"pos-controls-335"	159.93	167.96
"pos-controls-336"	142.03	130.92
"pos-controls-3433"	94.34	81.81
"pos-controls-3434"	108.47	104.46
"pos-controls-3435"	107.23	97.52
"pos-controls-3436"	103.53	93.39
"pos-controls-3469"	84.29	80.95
"pos-controls-3470"	86.36	86.2
"pos-controls-3471"	100.6	89.5
"pos-controls-3472"	101.28	77.2
"pos-controls-3473"	100	103.25
"pos-controls-3474"	92.88	97.07
"pos-controls-3475"	111.27	109.88
"pos-controls-3476"	152.24	110.37
"pos-controls-3477"	71.71	65.45
"pos-controls-3478"	69.54	66.84
"pos-controls-3479"	79.87	93.07
"pos-controls-3480"	75.53	73.98
"pos-controls-3549"	80.5	87.75
"pos-controls-3550"	85.17	75.16
"pos-controls-3551"	70.86	91.04
"pos-controls-3552"	80.54	89.2
"pos-controls-3605"	63.18	60.47
"pos-controls-3606"	60.45	59.06
"pos-controls-3607"	63.5	70.35
"pos-controls-3608"	72.74	83.74
"pos-controls-3609"	76.06	75.63
"pos-controls-3610"	69.45	59.79
"pos-controls-3611"	66.07	66.03
"pos-controls-3612"	69.91	72.38
"pos-controls-3761"	157.53	149.24
"pos-controls-3762"	171.52	160.49
"pos-controls-3763"	157.94	163.95
"pos-controls-3764"	156.33	144.38
"pos-controls-3765"	86.89	85.26
"pos-controls-3766"	87.16	82.69
"pos-controls-3767"	82.59	81.66
"pos-controls-3768"	76.23	80.21
"pos-controls-3849"	129.84	111.11
"pos-controls-3850"	104.17	124.11
"pos-controls-3851"	110.72	126.62
"pos-controls-3852"	125.7	114.48
"pos-controls-3901"	110.78	126.48
"pos-controls-3902"	106.4	116.41
"pos-controls-3903"	97.64	105.03
"pos-controls-3904"	140.92	130.01
"pos-controls-4009"	349.34	363.35
"pos-controls-4010"	358.65	328.29
"pos-controls-4011"	287.2	248.27
"pos-controls-4012"	285.87	312.24
"pos-controls-4053"	124.38	137.15
"pos-controls-4054"	113.11	105.43
"pos-controls-4055"	138.48	144
"pos-controls-4056"	141.96	140.73
"pos-controls-4057"	79.4	85.48
"pos-controls-4058"	85.09	79.76
"pos-controls-4059"	88.57	93.99
"pos-controls-4060"	74.52	85.62
"pos-controls-4061"	120.24	108.25
"pos-controls-4062"	139.61	129.35
"pos-controls-4063"	145.85	141.5
"pos-controls-4064"	117.29	135.39
"pos-controls-4069"	222.74	214.2
"pos-controls-4070"	193.77	204.47
"pos-controls-4071"	187.28	194.2
"pos-controls-4072"	111.91	186.58
"pos-controls-4121"	105.84	111.96
"pos-controls-4122"	117.62	109.09
"pos-controls-4123"	114.43	122.05
"pos-controls-4124"	109.14	95.15
"pos-controls-4165"	117.48	160.95
"pos-controls-4166"	105.59	112.99
"pos-controls-4167"	119.09	125
"pos-controls-4168"	100.92	126.43
"pos-controls-4205"	255.86	261.98
"pos-controls-4206"	277.58	276.69
"pos-controls-4207"	265.27	253
