"Reporter Name"	"MX_PO_normalizedData_r1"	"MX_PO_normalizedData_r2"
"pos-controls-3042"	723.03	1616.67
"pos-controls-3043"	1001.06	1396.86
"pos-controls-3044"	862.68	1394.31
"pos-controls-3061"	6201.5	3739.8
"pos-controls-3062"	6938.21	4589.64
"pos-controls-3063"	7572.01	5361.22
"pos-controls-3064"	5856.09	3593.14
"pos-controls-3189"	42552.72	41984.25
"pos-controls-3190"	39843.92	42948.19
"pos-controls-3191"	39544.5	43445.59
"pos-controls-3192"	44340.32	46179.08
"pos-controls-3237"	4449.42	7630.29
"pos-controls-3238"	3863.91	6428.15
"pos-controls-3239"	4298.09	7003.01
"pos-controls-3240"	4104.82	7105.6
"pos-controls-3253"	16327.77	15719.06
"pos-controls-3254"	12112.23	15164.88
"pos-controls-3255"	10609.7	14353.89
"pos-controls-3256"	12884.26	15090.79
"pos-controls-3257"	135.21	97.89
"pos-controls-3258"	155.29	150.4
"pos-controls-3259"	134.64	92.57
"pos-controls-3260"	126.82	130.07
"pos-controls-3289"	4606.26	6661.89
"pos-controls-3290"	5115.87	6201.5
"pos-controls-3291"	4667.25	6000.86
"pos-controls-3292"	4989.95	6892.68
"pos-controls-3293"	104.98	95.35
"pos-controls-3294"	129.62	128.25
"pos-controls-3295"	134.3	99.62
"pos-controls-3296"	154.35	106.72
"pos-controls-3301"	20395.4	17627.42
"pos-controls-3302"	21604.7	21717.3
"pos-controls-3303"	14282.86	19122.31
"pos-controls-3304"	18459.71	20694.42
"pos-controls-333"	27335.25	13164.31
"pos-controls-334"	22041.03	14183.84
"pos-controls-335"	27526.84	14120.75
"pos-controls-336"	24615.68	13090.43
"pos-controls-3433"	22894.16	10526.19
"pos-controls-3434"	27997.07	11183.68
"pos-controls-3435"	27116.83	10939.99
"pos-controls-3436"	27208.39	10609.7
"pos-controls-3469"	122.42	148.08
"pos-controls-3470"	123.64	153.57
"pos-controls-3471"	164.59	211.1
"pos-controls-3472"	123.92	134.09
"pos-controls-3473"	198.94	198.17
"pos-controls-3474"	185.93	174.61
"pos-controls-3475"	203.38	224.26
"pos-controls-3476"	159.48	227.33
"pos-controls-3477"	327.05	278.01
"pos-controls-3478"	388.78	361.8
"pos-controls-3479"	351.73	285.91
"pos-controls-3480"	357.23	299.34
"pos-controls-3549"	24686.41	28721.57
"pos-controls-3550"	25691.27	30680.64
"pos-controls-3551"	24957.87	29407.38
"pos-controls-3552"	27038.42	31734.54
"pos-controls-3605"	108.62	74.5
"pos-controls-3606"	92.68	78.59
"pos-controls-3607"	100.59	87.66
"pos-controls-3608"	97.45	105.75
"pos-controls-3609"	79.93	114.24
"pos-controls-3610"	78.28	103.75
"pos-controls-3611"	148.56	199.16
"pos-controls-3612"	105.83	125.36
"pos-controls-3761"	15164.88	19897.16
"pos-controls-3762"	14720.09	20783.63
"pos-controls-3763"	17195.16	22534.95
"pos-controls-3764"	18009.37	24850.07
"pos-controls-3765"	132.87	101.36
"pos-controls-3766"	105.46	164
"pos-controls-3767"	84.6	102.3
"pos-controls-3768"	89.14	97.81
"pos-controls-3849"	209.01	166.98
"pos-controls-3850"	167.72	177.8
"pos-controls-3851"	173.88	182.67
"pos-controls-3852"	149.16	167.72
"pos-controls-3901"	501.47	575.95
"pos-controls-3902"	533.84	461.7
"pos-controls-3903"	610.18	440.03
"pos-controls-3904"	522.9	475.59
"pos-controls-4009"	13698.2	19222.06
"pos-controls-4010"	19791.38	23555.17
"pos-controls-4011"	13964.7	16257.22
"pos-controls-4012"	16648.92	21477.72
"pos-controls-4053"	139.55	163.11
"pos-controls-4054"	157.07	174.97
"pos-controls-4055"	138.88	172.84
"pos-controls-4056"	155.39	173.41
"pos-controls-4057"	121.39	126.75
"pos-controls-4058"	113.31	143.27
"pos-controls-4059"	117.52	137.38
"pos-controls-4060"	224.46	225.28
"pos-controls-4061"	161.49	150.02
"pos-controls-4062"	137.18	166.58
"pos-controls-4063"	153.94	123.5
"pos-controls-4064"	139.94	164.27
"pos-controls-4069"	418.05	670.89
"pos-controls-4070"	869.13	1895.68
"pos-controls-4071"	451.2	499.97
"pos-controls-4072"	400.55	832.42
"pos-controls-4121"	8964.75	11965.26
"pos-controls-4122"	15853.29	18279.45
"pos-controls-4123"	16410.5	18938.33
"pos-controls-4124"	10735	13248.06
"pos-controls-4165"	656.64	459.2
"pos-controls-4166"	524.31	331.98
"pos-controls-4167"	473.25	305.91
"pos-controls-4168"	458.07	300.58
"pos-controls-4205"	22793.06	7572.01
"pos-controls-4206"	23770.87	6390.43
"pos-controls-4207"	22534.95	8018.87
"pos-controls-4208"	26450.76	7388.52
"pos-controls-4209"	148.3	170.77
"pos-controls-4210"	295.3	274.25
"pos-controls-4211"	144.48	140.37
"pos-controls-4212"	152.85	156.62
"pos-controls-4213"	75.52	134.81
"pos-controls-4214"	133.8	107.15
"pos-controls-4215"	132.09	136.96
"pos-controls-4216"	126.2	142.3
"pos-controls-4229"	26600.34	28433.67
"pos-controls-4230"	26298.6	26378.44
"pos-controls-4231"	28856.22	30264.27
"pos-controls-4232"	22621.78	23726.08
"pos-controls-4281"	19477.55	27740.5
