"Reporter.Name"	"allData.replica1"	"allData.replica2"
"10013"	"tcruzi-143"	433.03	245.57
"10130"	"tcruzi-260"	78.68	222.78
"10141"	"tcruzi-271"	142.8	62.27
"10236"	"tcruzi-366"	1584.49	947.67
"10723"	"tcruzi-853"	149.63	1764.48
"10725"	"tcruzi-855"	87.83	167.12
"10741"	"tcruzi-871"	79.03	60.52
"10756"	"tcruzi-886"	54.56	50.94
"10759"	"tcruzi-889"	155.42	132.19
"10760"	"tcruzi-890"	249.78	531.49
"10778"	"tcruzi-908"	175.35	3555.25
"10779"	"tcruzi-909"	46.63	48.58
"10785"	"tcruzi-915"	329.4	92.38
"11029"	"tcruzi-1159"	175.11	71.76
"11109"	"tcruzi-1239"	10159.36	7803.78
"11194"	"tcruzi-1324"	110.17	57.38
"11472"	"tcruzi-1602"	1125.38	1352.67
"11473"	"tcruzi-1603"	102.66	102.77
"11474"	"tcruzi-1604"	9341.81	6619.65
"11475"	"tcruzi-1605"	83.53	62.36
"11524"	"tcruzi-1654"	61.71	43.71
"11535"	"tcruzi-1665"	32.72	41.16
"11724"	"tcruzi-1854"	3093.32	2801.75
"12045"	"tcruzi-2175"	122.63	60.78
"12122"	"tcruzi-2252"	10802.36	7282.87
"12123"	"tcruzi-2253"	10994.41	7787.17
"12125"	"tcruzi-2255"	8878.93	6235.07
"12656"	"tcruzi-2786"	38.03	58.52
"12657"	"tcruzi-2787"	49.81	39.69
"12667"	"tcruzi-2797"	1536.02	1326.02
"12668"	"tcruzi-2798"	1052.88	1002.96
"12677"	"tcruzi-2807"	592.78	273.92
"12678"	"tcruzi-2808"	1204.52	1146.01
"12679"	"tcruzi-2809"	3706.62	2965.36
"12680"	"tcruzi-2810"	1402.46	1520.93
"12681"	"tcruzi-2811"	1453.14	1365.07
"12682"	"tcruzi-2812"	272.75	80.45
"12683"	"tcruzi-2813"	1249.18	871.93
"12716"	"tcruzi-2846"	1336.8	1132.75
"12717"	"tcruzi-2847"	1205.32	1405.22
"12718"	"tcruzi-2848"	1168.15	768.58
"12731"	"tcruzi-2861"	1292.15	1429.85
"12769"	"tcruzi-2899"	144.54	80.43
"12968"	"tcruzi-3098"	273.49	109.01
"12977"	"tcruzi-3107"	1842.6	1165.91
"13282"	"tcruzi-3412"	3215.43	2544.82
"13283"	"tcruzi-3413"	2964.83	2774.04
"13284"	"tcruzi-3414"	4136.85	3711.91
"13285"	"tcruzi-3415"	4504.26	3453.12
"13314"	"tcruzi-3444"	221.88	46.04
"13321"	"tcruzi-3451"	169.38	61.24
"13322"	"tcruzi-3452"	253.92	37.54
"13354"	"tcruzi-3484"	1104.93	747.64
"13355"	"tcruzi-3485"	426.14	495.54
"13357"	"tcruzi-3487"	82.8	86.25
"13381"	"tcruzi-3511"	66.96	40.28
"13438"	"tcruzi-3568"	142.47	56
"13444"	"tcruzi-3574"	134.06	55.54
"13448"	"tcruzi-3578"	66.76	44.32
"13504"	"tcruzi-3634"	228.21	116.09
"13508"	"tcruzi-3638"	2032.3	518.62
"13509"	"tcruzi-3639"	59.76	411.33
"13552"	"tcruzi-3682"	175.36	768.64
"13553"	"tcruzi-3683"	42.16	107.36
"13582"	"tcruzi-3712"	225.79	44.36
"13595"	"tcruzi-3725"	57.22	96.02
"13627"	"tcruzi-3757"	218.59	38.15
"13697"	"tcruzi-3827"	714.77	496.79
"13723"	"tcruzi-3853"	5137.77	5064.63
"14102"	"tcruzi-4232"	149.94	69.6
"14237"	"tcruzi-4367"	1000.14	825.62
"14303"	"tcruzi-4433"	210.99	96.76
"14626"	"tcruzi-4756"	83.18	43.53
"14771"	"tcruzi-4901"	431.06	312.83
"14788"	"tcruzi-4918"	251.72	68.82
"14968"	"tcruzi-5098"	10915.94	9717.87
"14994"	"tcruzi-5124"	210.73	118.36
"15508"	"tcruzi-5638"	13564.1	10921.5
"15606"	"tcruzi-5736"	991.42	810.07
"15607"	"tcruzi-5737"	1633.66	1206.82
"15688"	"tcruzi-5818"	12572.47	10718.42
"15833"	"tcruzi-5963"	166.81	113.7
"16011"	"tcruzi-6141"	51.45	31.41
"16041"	"tcruzi-6171"	56.29	51.83
"16288"	"tcruzi-6418"	22.38	29.55
"16292"	"tcruzi-6422"	106.09	66.58
"16338"	"tcruzi-6468"	2632.72	1930.1
"16586"	"tcruzi-6716"	178.57	92.04
"17005"	"tcruzi-7135"	79.4	74.29
"17006"	"tcruzi-7136"	138.72	120.13
"17007"	"tcruzi-7137"	77.56	27.77
"17008"	"tcruzi-7138"	1211.67	1865.28
"17009"	"tcruzi-7139"	184.38	168.88
"17010"	"tcruzi-7140"	658.35	598.88
"17012"	"tcruzi-7142"	64.01	48.79
"17015"	"tcruzi-7145"	111.79	98.52
"17016"	"tcruzi-7146"	74.91	52.19
"17211"	"tcruzi-7341"	30.83	24.08
"17235"	"tcruzi-7365"	82.36	66.13
"17246"	"tcruzi-7376"	50.25	50.71
"17247"	"tcruzi-7377"	70.51	30.11
"17360"	"tcruzi-7490"	36.99	30.39
"17361"	"tcruzi-7491"	13.38	9.78
"17364"	"tcruzi-7494"	22.04	43.78
"17430"	"tcruzi-7560"	16352.53	12906.6
