"Reporter.Name"	"allData.replica1"	"allData.replica2"
"10013"	"tcruzi-143"	20194.81	15706.51
"10130"	"tcruzi-260"	7332.61	10360.94
"10141"	"tcruzi-271"	15948.84	6285.87
"10236"	"tcruzi-366"	19891.15	16380.21
"10723"	"tcruzi-853"	3272.35	17583.98
"10725"	"tcruzi-855"	3502.51	13701.2
"10741"	"tcruzi-871"	8008.2	4766.31
"10756"	"tcruzi-886"	8327.3	1977.67
"10759"	"tcruzi-889"	13794.96	16181.57
"10760"	"tcruzi-890"	2625.66	18391.32
"10778"	"tcruzi-908"	7536.95	2085.34
"10779"	"tcruzi-909"	7672.35	7439.25
"10785"	"tcruzi-915"	12470.69	5105.29
"11029"	"tcruzi-1159"	8403.24	3969.86
"11109"	"tcruzi-1239"	34221.28	24992.71
"11194"	"tcruzi-1324"	3501.78	1662.44
"11472"	"tcruzi-1602"	27185.15	24424.34
"11473"	"tcruzi-1603"	20869.67	26751.79
"11474"	"tcruzi-1604"	24992.75	26658.54
"11475"	"tcruzi-1605"	18395.04	15209.82
"11524"	"tcruzi-1654"	6172.83	7046.71
"11535"	"tcruzi-1665"	678.9	439.45
"11724"	"tcruzi-1854"	26244.59	25318.59
"12045"	"tcruzi-2175"	4528.75	1906.19
"12122"	"tcruzi-2252"	25732.49	27127.78
"12123"	"tcruzi-2253"	28051.74	29175.16
"12125"	"tcruzi-2255"	27212.81	29540.86
"12656"	"tcruzi-2786"	6435.32	2999.9
"12657"	"tcruzi-2787"	3663.9	1707.07
"12667"	"tcruzi-2797"	15253.79	21370.6
"12668"	"tcruzi-2798"	8661.88	17561.16
"12677"	"tcruzi-2807"	22031.75	18464.19
"12678"	"tcruzi-2808"	27009.72	24653.29
"12679"	"tcruzi-2809"	30682.41	29604.13
"12680"	"tcruzi-2810"	17774.65	25242.22
"12681"	"tcruzi-2811"	18754.51	26330.93
"12682"	"tcruzi-2812"	2532.66	2692.93
"12683"	"tcruzi-2813"	5028.62	14383.17
"12716"	"tcruzi-2846"	21956.02	20292.13
"12717"	"tcruzi-2847"	16330.54	21681.7
"12718"	"tcruzi-2848"	4972.23	12752.5
"12731"	"tcruzi-2861"	23116.09	22931.14
"12769"	"tcruzi-2899"	6384.51	3794.24
"12968"	"tcruzi-3098"	3026.61	1281.41
"12977"	"tcruzi-3107"	1797.9	894.94
"13282"	"tcruzi-3412"	17846.86	14473.05
"13283"	"tcruzi-3413"	19701.14	17282.74
"13284"	"tcruzi-3414"	21199.34	18961.75
"13285"	"tcruzi-3415"	18402.88	16505.92
"13314"	"tcruzi-3444"	4794.1	2799.59
"13321"	"tcruzi-3451"	8287.5	2657.92
"13322"	"tcruzi-3452"	6682.85	2303.05
"13354"	"tcruzi-3484"	8966.44	5096.66
"13355"	"tcruzi-3485"	7451.36	5298
"13357"	"tcruzi-3487"	5728.22	1818.85
"13381"	"tcruzi-3511"	11591.56	5320.88
"13438"	"tcruzi-3568"	36818.09	31171
"13444"	"tcruzi-3574"	4560.39	1650.72
"13448"	"tcruzi-3578"	5555.03	1791.12
"13504"	"tcruzi-3634"	11131.02	3837.14
"13508"	"tcruzi-3638"	11426.7	5551.65
"13509"	"tcruzi-3639"	5505.2	7424.17
"13552"	"tcruzi-3682"	5682.45	5523.63
"13553"	"tcruzi-3683"	9595.5	6392.6
"13582"	"tcruzi-3712"	5703.32	3110.02
"13595"	"tcruzi-3725"	5309.39	10454.16
"13627"	"tcruzi-3757"	9830.05	2628.83
"13697"	"tcruzi-3827"	3396.24	692.94
"13723"	"tcruzi-3853"	28730.18	25916.23
"14102"	"tcruzi-4232"	4767.75	1824.42
"14237"	"tcruzi-4367"	8776.65	3904.96
"14303"	"tcruzi-4433"	2907.05	3448.15
"14626"	"tcruzi-4756"	1998.58	1430.28
"14771"	"tcruzi-4901"	795.25	450.43
"14788"	"tcruzi-4918"	8863.19	7727.94
"14968"	"tcruzi-5098"	30233.25	26313.78
"14994"	"tcruzi-5124"	8364.48	6551.04
"15508"	"tcruzi-5638"	14347.37	11139.06
"15606"	"tcruzi-5736"	630.9	262.43
"15607"	"tcruzi-5737"	2392.37	1191.63
"15688"	"tcruzi-5818"	39830.38	41635.6
"15833"	"tcruzi-5963"	13254.94	13756.56
"16011"	"tcruzi-6141"	333.26	226.54
"16041"	"tcruzi-6171"	25520.55	24612.38
"16288"	"tcruzi-6418"	5808.3	4913.63
"16292"	"tcruzi-6422"	8843.6	8551.53
"16338"	"tcruzi-6468"	16893	18548.7
"16586"	"tcruzi-6716"	10200.17	9542.18
"17005"	"tcruzi-7135"	25979.53	22430.29
"17006"	"tcruzi-7136"	24344.92	23756.74
"17007"	"tcruzi-7137"	27360.67	25464.28
"17008"	"tcruzi-7138"	26436.33	21268.71
"17009"	"tcruzi-7139"	26071.04	24067.87
"17010"	"tcruzi-7140"	26026.49	24304.75
"17012"	"tcruzi-7142"	25490.08	23569.46
"17015"	"tcruzi-7145"	29312.62	23176.56
"17016"	"tcruzi-7146"	30448.61	27635.44
"17211"	"tcruzi-7341"	210.51	137.53
"17235"	"tcruzi-7365"	8237.23	7077.25
"17246"	"tcruzi-7376"	8251.41	4164.92
"17247"	"tcruzi-7377"	1914.4	903.43
