"Reporter.Name"	"allData.replica1"	"allData.replica2"
"18649"	"tcruzi-8779"	2645.43	1608.43
"18651"	"tcruzi-8781"	2158.51	981.74
"18652"	"tcruzi-8782"	3268.17	1851.76
"18674"	"tcruzi-8804"	327.68	161.47
"18699"	"tcruzi-8829"	25094.46	18874.43
"18702"	"tcruzi-8832"	20450.22	18114.66
"18716"	"tcruzi-8846"	29873.66	23031.75
"18719"	"tcruzi-8849"	6861.56	5572
"18731"	"tcruzi-8861"	33028.42	22883.78
"18732"	"tcruzi-8862"	29280.79	24037.58
"18734"	"tcruzi-8864"	29983.16	21711.42
"18736"	"tcruzi-8866"	6275.22	3275.83
"18737"	"tcruzi-8867"	17397.07	9266.86
"18751"	"tcruzi-8881"	2262.24	1095.55
"18757"	"tcruzi-8887"	5021.54	4102.14
"18762"	"tcruzi-8892"	37080.72	23384.18
"18763"	"tcruzi-8893"	31126.03	21773.02
"18764"	"tcruzi-8894"	32269.5	23248.19
"18767"	"tcruzi-8897"	31564.05	22965.07
"18768"	"tcruzi-8898"	29192.82	19426.53
"18771"	"tcruzi-8901"	31301.85	22253.02
"18772"	"tcruzi-8902"	32191.86	24791.39
"18779"	"tcruzi-8909"	6208.13	8850.05
"18794"	"tcruzi-8924"	4346.83	3565.47
"18837"	"tcruzi-8967"	3281.88	1826.73
"18838"	"tcruzi-8968"	2677.11	1279.13
"18839"	"tcruzi-8969"	3271	1787.53
"18848"	"tcruzi-8978"	1854.79	1378.74
"19188"	"tcruzi-9318"	4392.81	3011.74
"19189"	"tcruzi-9319"	30197.47	19254.56
"19228"	"tcruzi-9358"	1180.7	622.06
"19229"	"tcruzi-9359"	888.65	560.39
"19429"	"tcruzi-9559"	2009.57	1393.11
"19430"	"tcruzi-9560"	2172.69	1393.41
"19432"	"tcruzi-9562"	2038.99	1180.89
"19435"	"tcruzi-9565"	1435.98	1005.05
"19436"	"tcruzi-9566"	1405.66	1073.77
"19441"	"tcruzi-9571"	1782.63	1431.89
"19761"	"tcruzi-9891"	1328.51	723.02
"19940"	"tcruzi-10070"	3419.4	3114.43
"20175"	"tcruzi-10305"	1531.37	503.7
"20296"	"tcruzi-10426"	19639.21	14062.99
"20425"	"tcruzi-10555"	1491.79	1092.97
"20624"	"tcruzi-10754"	37395.15	30957.85
"20627"	"tcruzi-10757"	43722.86	30778.47
"20741"	"tcruzi-10871"	252.93	135.43
"21014"	"tcruzi-11144"	8961.23	4129.3
"21015"	"tcruzi-11145"	11461.43	4932.21
"21017"	"tcruzi-11147"	10586.05	5424.75
"21020"	"tcruzi-11150"	28109.82	17343.72
"21021"	"tcruzi-11151"	33411.86	21207.92
"21170"	"tcruzi-11300"	1314.91	5245.4
"21177"	"tcruzi-11307"	3060.75	1099.91
"21598"	"tcruzi-11728"	1476.96	463.61
"21626"	"tcruzi-11756"	1435.82	725.45
"21746"	"tcruzi-11876"	21538.52	17570.32
"21834"	"tcruzi-11964"	1654.63	1299.19
"22662"	"tcruzi-12792"	14882.5	10981.87
"22664"	"tcruzi-12794"	16636.94	11495.26
"22698"	"tcruzi-12828"	294.6	188.13
"22699"	"tcruzi-12829"	338.3	209.83
"22908"	"tcruzi-13038"	3387.13	1258.09
"22930"	"tcruzi-13060"	5441.35	2617.96
"22933"	"tcruzi-13063"	2475.45	886.95
"22935"	"tcruzi-13065"	5672.03	2792.17
"22943"	"tcruzi-13073"	2495.48	1015.67
"23316"	"tcruzi-13446"	7195.89	3882.22
"23472"	"tcruzi-13602"	2730.27	1039.19
"23473"	"tcruzi-13603"	674.39	582.03
"23540"	"tcruzi-13670"	3657.21	1250.18
"23607"	"tcruzi-13737"	358.25	306.93
"23682"	"tcruzi-13812"	4660.46	1443.88
"23824"	"tcruzi-13954"	582.61	9182.61
"23826"	"tcruzi-13956"	18554.5	4817.23
"23896"	"tcruzi-14026"	1167.2	5897.69
"23897"	"tcruzi-14027"	255.95	1769.39
"24311"	"tcruzi-14441"	316.69	169.79
"24605"	"tcruzi-14735"	1186.66	872.64
"24611"	"tcruzi-14741"	5653.38	3726.44
"24612"	"tcruzi-14742"	8791.44	6967.49
"24755"	"tcruzi-14885"	2945.84	5122.55
"24756"	"tcruzi-14886"	189.85	3544.14
"24784"	"tcruzi-14914"	1539.89	645.08
"24785"	"tcruzi-14915"	1707.38	463.7
"24807"	"tcruzi-14937"	2362.35	2693.92
"24808"	"tcruzi-14938"	10740.83	3312.21
"24809"	"tcruzi-14939"	7730.29	4765.43
"24810"	"tcruzi-14940"	7506.39	4817.83
"24811"	"tcruzi-14941"	9945.4	4448.14
"24812"	"tcruzi-14942"	10339.37	4371.56
"24813"	"tcruzi-14943"	6158.66	2811.33
"24824"	"tcruzi-14954"	3233.11	1934.87
"24934"	"tcruzi-15064"	287.65	478.23
"24935"	"tcruzi-15065"	220.19	543.34
"24964"	"tcruzi-15094"	345.75	814.82
"25000"	"tcruzi-15130"	5356.82	2178.8
"25001"	"tcruzi-15131"	10318.78	7337.35
"25002"	"tcruzi-15132"	6479.3	5206.88
"25048"	"tcruzi-15178"	369.72	569.32
"25090"	"tcruzi-15220"	2932.78	1374.5
"25405"	"tcruzi-15535"	1242.51	770.73
"25546"	"tcruzi-15676"	348.94	170.43
"25666"	"tcruzi-15796"	269.09	123.52
"25827"	"tcruzi-15957"	6218.37	2715.06
"25989"	"tcruzi-16119"	151.04	113.28
"25990"	"tcruzi-16120"	217.2	213.52
"26169"	"tcruzi-16299"	506.77	233.83
"26536"	"tcruzi-16666"	32790.86	24468.65
"26866"	"tcruzi-16996"	366.57	158.04
"26959"	"tcruzi-17089"	11468.19	8875.66
"26978"	"tcruzi-17108"	13926.67	6897.87
"27043"	"tcruzi-17173"	3885.18	1709.46
"27191"	"tcruzi-17321"	619.28	509.78
"27461"	"tcruzi-17591"	3393.24	2622.39
"27556"	"tcruzi-17686"	311.16	227.65
"28002"	"tcruzi-18132"	1104.76	770.23
"28003"	"tcruzi-18133"	848.29	484.57
"28144"	"tcruzi-18274"	1042.64	364.99
"28284"	"tcruzi-18414"	30249.37	24951.48
"28363"	"tcruzi-18493"	7582.14	4952.04
"28485"	"tcruzi-18615"	1412.56	4486.54
"28876"	"tcruzi-19006"	34900.44	21705.1
"28877"	"tcruzi-19007"	30688.86	21857.25
"28878"	"tcruzi-19008"	37738.29	26265.42
"28879"	"tcruzi-19009"	34662.02	23154.28
"28883"	"tcruzi-19013"	18654.45	11708.07
"29113"	"tcruzi-19243"	477.8	317.06
"29117"	"tcruzi-19247"	650.03	316.15
"29177"	"tcruzi-19307"	770.77	477.5
"29189"	"tcruzi-19319"	263.66	145.64
"29190"	"tcruzi-19320"	284.6	131.47
"29243"	"tcruzi-19373"	1827.88	6287.82
"29244"	"tcruzi-19374"	2177.09	5371.39
"29246"	"tcruzi-19376"	1450.92	1999.33
"29247"	"tcruzi-19377"	673	4393.3
"29251"	"tcruzi-19381"	773.13	762.9
"29271"	"tcruzi-19401"	2586.77	1228.07
"29295"	"tcruzi-19425"	231.11	231.29
"29326"	"tcruzi-19456"	237.92	213.84
"29364"	"tcruzi-19494"	402.02	248.44
"29365"	"tcruzi-19495"	1722.21	2118.42
"29368"	"tcruzi-19498"	183.32	113.21
"29420"	"tcruzi-19550"	375.13	158.11
"29486"	"tcruzi-19616"	370.09	231.73
"29643"	"tcruzi-19773"	10571.22	9305.74
"29701"	"tcruzi-19831"	3782.81	4420.91
"29705"	"tcruzi-19835"	546.51	304.04
"29706"	"tcruzi-19836"	4350.05	5604.72
"29731"	"tcruzi-19861"	271.11	183.13
"29783"	"tcruzi-19913"	48593.16	32767.45
"29784"	"tcruzi-19914"	44536.22	31921.48
"29847"	"tcruzi-19977"	26866.38	18569.96
"29851"	"tcruzi-19981"	23075.6	23649.82
"29852"	"tcruzi-19982"	34461.15	28065.88
"29916"	"tcruzi-20046"	1693.54	777.8
"30015"	"tcruzi-20145"	16110.7	9775.29
"30021"	"tcruzi-20151"	482.11	289.29
"30071"	"tcruzi-20201"	349.26	381.72
"30087"	"tcruzi-20217"	2949.62	8498.31
"30174"	"tcruzi-20304"	612.8	225.11
"30175"	"tcruzi-20305"	481.58	188.73
"30449"	"tcruzi-20579"	809.85	5565.67
"30575"	"tcruzi-20705"	352.13	137.07
"30608"	"tcruzi-20738"	127.66	169.34
"30637"	"tcruzi-20767"	603.23	6042.15
"30821"	"tcruzi-20951"	1004.92	439.65
"30875"	"tcruzi-21005"	329.71	230.87
"30922"	"tcruzi-21052"	278.31	204.02
"31017"	"tcruzi-21147"	1005.8	676.19
"31019"	"tcruzi-21149"	325.88	257.89
"31021"	"tcruzi-21151"	1792.67	665.65
"31023"	"tcruzi-21153"	573.05	372.89
"31024"	"tcruzi-21154"	1002.31	423.94
"31025"	"tcruzi-21155"	1054.07	361.74
"31028"	"tcruzi-21158"	988.39	297.94
"31029"	"tcruzi-21159"	487.17	352.74
"31030"	"tcruzi-21160"	1028.2	593.82
"31031"	"tcruzi-21161"	850.61	487.65
"31052"	"tcruzi-21182"	837.87	783.09
"31204"	"tcruzi-21334"	888.55	404.22
"31205"	"tcruzi-21335"	369.99	257.76
"31207"	"tcruzi-21337"	613.2	308.24
"31281"	"tcruzi-21411"	383.44	288.82
"31325"	"tcruzi-21455"	1511.17	544.83
"31376"	"tcruzi-21506"	2627.07	3019.96
"31425"	"tcruzi-21555"	556.35	242.35
"31533"	"tcruzi-21663"	8287.73	8254.81
