"Reporter.Name"	"allData.replica1"	"allData.replica2"
"18648"	"tcruzi-8778"	1007.27	697.07
"18649"	"tcruzi-8779"	394.73	124.56
"18651"	"tcruzi-8781"	187.85	56.11
"18652"	"tcruzi-8782"	256.57	89.04
"18674"	"tcruzi-8804"	495.01	231.51
"18699"	"tcruzi-8829"	19444.5	8315.27
"18702"	"tcruzi-8832"	6996.19	2210.89
"18716"	"tcruzi-8846"	21668.83	22181.74
"18719"	"tcruzi-8849"	26022.8	28846.8
"18731"	"tcruzi-8861"	17474.37	18547.65
"18732"	"tcruzi-8862"	26343.74	23598.28
"18734"	"tcruzi-8864"	17853.71	19527.57
"18736"	"tcruzi-8866"	9720.84	8178.72
"18737"	"tcruzi-8867"	16785.68	20221.21
"18751"	"tcruzi-8881"	8963.73	3499.61
"18757"	"tcruzi-8887"	20711.71	5951.53
"18762"	"tcruzi-8892"	19455.9	15968.29
"18763"	"tcruzi-8893"	19776.39	19785.5
"18764"	"tcruzi-8894"	23974.64	13387.45
"18767"	"tcruzi-8897"	13880.54	4498.96
"18768"	"tcruzi-8898"	10918.93	5456.63
"18771"	"tcruzi-8901"	11363.16	4482.9
"18772"	"tcruzi-8902"	13836.62	5220.68
"18779"	"tcruzi-8909"	18967.18	21184.98
"18794"	"tcruzi-8924"	20485.24	18226.73
"18837"	"tcruzi-8967"	6211.57	845.61
"18838"	"tcruzi-8968"	3088.06	577.71
"18839"	"tcruzi-8969"	3148.54	859.53
"18848"	"tcruzi-8978"	2389.7	335.84
"19188"	"tcruzi-9318"	24411.24	30192.68
"19189"	"tcruzi-9319"	10832.08	12456.11
"19228"	"tcruzi-9358"	5092.95	2994.03
"19229"	"tcruzi-9359"	4759.92	2204.5
"19429"	"tcruzi-9559"	125.9	76.77
"19430"	"tcruzi-9560"	233.95	141
"19432"	"tcruzi-9562"	252.15	67.4
"19435"	"tcruzi-9565"	89.77	56.34
"19436"	"tcruzi-9566"	216.71	42.38
"19441"	"tcruzi-9571"	237.22	74.65
"19761"	"tcruzi-9891"	1251.1	238.29
"19940"	"tcruzi-10070"	32192.01	23544.06
"20175"	"tcruzi-10305"	1591.27	649.3
"20296"	"tcruzi-10426"	2210.63	1006.01
"20425"	"tcruzi-10555"	2653.38	507.56
"20624"	"tcruzi-10754"	50460.48	34248.11
"20627"	"tcruzi-10757"	44902.43	33397.33
"20741"	"tcruzi-10871"	784.91	144.5
"21014"	"tcruzi-11144"	11515.72	4649.05
"21015"	"tcruzi-11145"	12486.22	5145.54
"21017"	"tcruzi-11147"	12258.24	4546.71
"21020"	"tcruzi-11150"	16747.4	8415.45
"21021"	"tcruzi-11151"	22275.85	15888.65
"21170"	"tcruzi-11300"	8581.95	2689.52
"21177"	"tcruzi-11307"	6193.92	1363.92
"21598"	"tcruzi-11728"	2955.13	548.36
"21626"	"tcruzi-11756"	23295.04	21395.6
"21746"	"tcruzi-11876"	7296.71	3359.66
"21834"	"tcruzi-11964"	1619.96	337.82
"22662"	"tcruzi-12792"	14163.77	8311.09
"22664"	"tcruzi-12794"	16074.19	9823.61
"22698"	"tcruzi-12828"	1155.46	135.85
"22699"	"tcruzi-12829"	1716.89	245.99
"22908"	"tcruzi-13038"	2487.63	616.4
"22930"	"tcruzi-13060"	7437.24	1941.37
"22933"	"tcruzi-13063"	11801.49	4520.45
"22935"	"tcruzi-13065"	12465.04	7816.44
"22943"	"tcruzi-13073"	14241.79	10021.37
"23316"	"tcruzi-13446"	14394.91	7884.94
"23472"	"tcruzi-13602"	612.17	132.44
"23473"	"tcruzi-13603"	254.08	53.67
"23540"	"tcruzi-13670"	5226.15	1507.34
"23607"	"tcruzi-13737"	1436.21	251.05
"23682"	"tcruzi-13812"	5401.74	1588.18
"23824"	"tcruzi-13954"	135.35	205.76
"23826"	"tcruzi-13956"	201.62	10255.21
"23896"	"tcruzi-14026"	6374.18	5374.44
"23897"	"tcruzi-14027"	1452.21	1587.56
"24311"	"tcruzi-14441"	675.23	108.21
"24605"	"tcruzi-14735"	3482.11	881.35
"24611"	"tcruzi-14741"	14810.66	10405.16
"24612"	"tcruzi-14742"	20402.32	13686.53
"24755"	"tcruzi-14885"	3331.03	1310.98
"24756"	"tcruzi-14886"	229.24	414.32
"24784"	"tcruzi-14914"	15459.43	6872.03
"24785"	"tcruzi-14915"	7050.08	2122.39
"24807"	"tcruzi-14937"	20585.53	21546.86
"24808"	"tcruzi-14938"	24957.34	23955.74
"24809"	"tcruzi-14939"	27061.49	25242.02
"24810"	"tcruzi-14940"	22982.84	24584.72
"24811"	"tcruzi-14941"	30109.73	28106.38
"24812"	"tcruzi-14942"	25841.08	24705.54
"24813"	"tcruzi-14943"	24649.04	23201.06
"24824"	"tcruzi-14954"	5188.27	1592.57
"24934"	"tcruzi-15064"	1644.7	137.88
"24935"	"tcruzi-15065"	1274.17	637.85
"24964"	"tcruzi-15094"	1869.45	733.88
"25000"	"tcruzi-15130"	3642.67	1477.52
"25001"	"tcruzi-15131"	7710.95	2456.87
"25002"	"tcruzi-15132"	7689.86	2984.86
"25048"	"tcruzi-15178"	14835.03	17721.99
"25090"	"tcruzi-15220"	6378.35	2072.06
"25405"	"tcruzi-15535"	5076.96	1876.19
"25546"	"tcruzi-15676"	300.74	110.9
"25666"	"tcruzi-15796"	449.1	110.42
"25827"	"tcruzi-15957"	3351.26	874.4
"25989"	"tcruzi-16119"	2364.38	2367.9
"25990"	"tcruzi-16120"	5344.6	2888.42
"26169"	"tcruzi-16299"	13701.93	8704.74
"26536"	"tcruzi-16666"	4422.28	1551.72
"26866"	"tcruzi-16996"	978.18	304.14
"26959"	"tcruzi-17089"	22289.25	17864.33
"26978"	"tcruzi-17108"	8325.22	2317.14
"27043"	"tcruzi-17173"	3993.59	1045.16
"27191"	"tcruzi-17321"	943.83	402.07
"27461"	"tcruzi-17591"	28132.96	21042.66
