"Reporter.Name"	"allData.replica1"	"allData.replica2"
"10013"	"tcruzi-143"	21211.32	13828.95
"10130"	"tcruzi-260"	5163.46	5834.52
"10141"	"tcruzi-271"	13645.12	12565.18
"10236"	"tcruzi-366"	10085.08	5704.35
"10723"	"tcruzi-853"	3011.38	5146.05
"10725"	"tcruzi-855"	884.96	3673.53
"10741"	"tcruzi-871"	4913.61	3355.5
"10756"	"tcruzi-886"	7153.28	16095.86
"10759"	"tcruzi-889"	11524.39	22854.87
"10760"	"tcruzi-890"	9164.89	19912.24
"10778"	"tcruzi-908"	788.93	2101.82
"10779"	"tcruzi-909"	4257.04	3815.3
"10785"	"tcruzi-915"	9956.57	3754.93
"11029"	"tcruzi-1159"	7702.64	5279.68
"11109"	"tcruzi-1239"	15595.07	7682.94
"11194"	"tcruzi-1324"	1902.82	1242.68
"11472"	"tcruzi-1602"	911.68	715.72
"11473"	"tcruzi-1603"	888.03	614.87
"11474"	"tcruzi-1604"	2851.97	1161.68
"11475"	"tcruzi-1605"	909.73	576.63
"11524"	"tcruzi-1654"	1214.73	557.59
"11535"	"tcruzi-1665"	1166.15	867.79
"11724"	"tcruzi-1854"	31505.31	26688.61
"12045"	"tcruzi-2175"	5873.85	2244.38
"12122"	"tcruzi-2252"	13623.09	13453.52
"12123"	"tcruzi-2253"	16649.77	13691.62
"12125"	"tcruzi-2255"	12768.26	15650.83
"12656"	"tcruzi-2786"	10745.29	13413.45
"12657"	"tcruzi-2787"	396.29	14495
"12667"	"tcruzi-2797"	1226.66	1435.95
"12668"	"tcruzi-2798"	1994.9	3397.43
"12677"	"tcruzi-2807"	3157.94	774.21
"12678"	"tcruzi-2808"	3507.01	1179.63
"12679"	"tcruzi-2809"	3384.06	1391.12
"12680"	"tcruzi-2810"	1114.92	1300.73
"12681"	"tcruzi-2811"	798.51	1149.96
"12682"	"tcruzi-2812"	1128.76	861.3
"12683"	"tcruzi-2813"	373.29	766.62
"12716"	"tcruzi-2846"	1304.53	626.14
"12717"	"tcruzi-2847"	1751.29	1715.36
"12718"	"tcruzi-2848"	655.87	792.06
"12731"	"tcruzi-2861"	590.96	733.16
"12769"	"tcruzi-2899"	3813.42	1237.19
"12968"	"tcruzi-3098"	13085.36	10575.55
"12977"	"tcruzi-3107"	15585.41	11664.82
"13282"	"tcruzi-3412"	8858.3	8209.03
"13283"	"tcruzi-3413"	11577.6	12743.4
"13284"	"tcruzi-3414"	25100.53	21300.63
"13285"	"tcruzi-3415"	8781.73	8467.69
"13314"	"tcruzi-3444"	12741.62	7192.81
"13321"	"tcruzi-3451"	21053.09	7415.52
"13322"	"tcruzi-3452"	19066.23	5356.59
"13354"	"tcruzi-3484"	1676.42	1928.11
"13355"	"tcruzi-3485"	1106.56	3505.96
"13357"	"tcruzi-3487"	736.94	1757.89
"13381"	"tcruzi-3511"	3674.63	4349.67
"13438"	"tcruzi-3568"	26387.04	21257.89
"13444"	"tcruzi-3574"	14198.41	4772.8
"13448"	"tcruzi-3578"	22565.13	9477.31
"13504"	"tcruzi-3634"	10037.78	4603.77
"13508"	"tcruzi-3638"	4203.85	14528.08
"13509"	"tcruzi-3639"	9178.4	13084.54
"13552"	"tcruzi-3682"	5116.06	4757.32
"13553"	"tcruzi-3683"	3994.12	4823.35
"13582"	"tcruzi-3712"	7417.08	4431.61
"13595"	"tcruzi-3725"	7416.48	15732.07
"13627"	"tcruzi-3757"	21932.18	8409.22
"13697"	"tcruzi-3827"	3851	1366.1
"13723"	"tcruzi-3853"	17254.34	10051.62
"14102"	"tcruzi-4232"	8172.33	3175.58
"14237"	"tcruzi-4367"	7687.25	3997.7
"14303"	"tcruzi-4433"	2595.5	2101.49
"14626"	"tcruzi-4756"	667.63	495.04
"14771"	"tcruzi-4901"	1057.1	657.08
"14788"	"tcruzi-4918"	2694.37	2289.91
"14968"	"tcruzi-5098"	10973.69	6939.56
"14994"	"tcruzi-5124"	23403.91	19694.13
"15508"	"tcruzi-5638"	24789.96	23016.22
"15606"	"tcruzi-5736"	248.01	131.62
"15607"	"tcruzi-5737"	1486.39	580.47
"15688"	"tcruzi-5818"	32754.86	27614.85
"15833"	"tcruzi-5963"	1487.08	1891.61
"16011"	"tcruzi-6141"	283.99	128.88
"16041"	"tcruzi-6171"	24950.98	21235.48
"16288"	"tcruzi-6418"	392.66	108.5
"16292"	"tcruzi-6422"	1979.38	2102.27
"16338"	"tcruzi-6468"	11392.6	11763.88
"16586"	"tcruzi-6716"	6240.99	5047.43
"17005"	"tcruzi-7135"	792.59	484.37
