"Reporter.Name"	"allData.replica1"	"allData.replica2"
"18651"	"tcruzi-8781"	93.63	31.65
"18652"	"tcruzi-8782"	60.29	53.12
"18674"	"tcruzi-8804"	859.43	849.97
"18699"	"tcruzi-8829"	6452.28	3703.89
"18702"	"tcruzi-8832"	4297.83	2590.42
"18716"	"tcruzi-8846"	6586.92	3690.92
"18719"	"tcruzi-8849"	14086.22	7249.14
"18731"	"tcruzi-8861"	12416.53	5783.57
"18732"	"tcruzi-8862"	14439.65	7079.25
"18734"	"tcruzi-8864"	9958.42	4418.73
"18736"	"tcruzi-8866"	7823.99	3077.86
"18737"	"tcruzi-8867"	7089.85	4516.87
"18751"	"tcruzi-8881"	3526.21	1634.41
"18757"	"tcruzi-8887"	2500.04	1215.69
"18762"	"tcruzi-8892"	11862.6	6250.42
"18763"	"tcruzi-8893"	9313.71	5633.99
"18764"	"tcruzi-8894"	10604.22	5354.1
"18767"	"tcruzi-8897"	9572.89	5248.54
"18768"	"tcruzi-8898"	7329.95	3531.17
"18771"	"tcruzi-8901"	4663.15	2487
"18772"	"tcruzi-8902"	8319.83	4457.72
"18779"	"tcruzi-8909"	10429.17	6326.11
"18794"	"tcruzi-8924"	4954.49	3240.85
"18837"	"tcruzi-8967"	262.65	174.08
"18838"	"tcruzi-8968"	203.45	93.78
"18839"	"tcruzi-8969"	278.36	88.15
"18848"	"tcruzi-8978"	236.56	132.64
"19188"	"tcruzi-9318"	8503.53	6619.01
"19189"	"tcruzi-9319"	5074.07	2991.22
"19228"	"tcruzi-9358"	9616.74	7627.66
"19229"	"tcruzi-9359"	17092.3	12295.2
"19429"	"tcruzi-9559"	105.6	51.15
"19430"	"tcruzi-9560"	111.96	87.52
"19432"	"tcruzi-9562"	73.48	89.14
"19435"	"tcruzi-9565"	79.69	122.19
"19436"	"tcruzi-9566"	117.6	193.61
"19441"	"tcruzi-9571"	64.02	77.61
"19761"	"tcruzi-9891"	277.38	186.7
"19940"	"tcruzi-10070"	24917.62	17828.93
"20175"	"tcruzi-10305"	535.31	480.23
"20296"	"tcruzi-10426"	121.67	91.2
"20425"	"tcruzi-10555"	766.69	287.1
"20624"	"tcruzi-10754"	27263.91	21648.15
"20627"	"tcruzi-10757"	27822.38	20146.29
"20741"	"tcruzi-10871"	341.25	327.82
"21014"	"tcruzi-11144"	1328.29	548.93
"21015"	"tcruzi-11145"	1280.98	564.91
"21017"	"tcruzi-11147"	1743.78	930.69
"21020"	"tcruzi-11150"	2533.83	1174.14
"21021"	"tcruzi-11151"	1654.95	821.2
"21170"	"tcruzi-11300"	1070.15	808.27
"21177"	"tcruzi-11307"	1063.52	427.76
"21598"	"tcruzi-11728"	232.44	206.04
"21626"	"tcruzi-11756"	4058.5	3281.74
"21746"	"tcruzi-11876"	9829.84	4733.47
"21834"	"tcruzi-11964"	1240.74	793.94
"22662"	"tcruzi-12792"	2285.69	1601.56
"22664"	"tcruzi-12794"	2382.49	1542.09
"22698"	"tcruzi-12828"	285.91	246.8
"22699"	"tcruzi-12829"	272.22	473.97
"22908"	"tcruzi-13038"	137.05	122.77
"22930"	"tcruzi-13060"	6510.4	4824.69
"22933"	"tcruzi-13063"	7946.53	5278.9
"22935"	"tcruzi-13065"	7678.65	5424.69
"22943"	"tcruzi-13073"	9115.56	5510.45
"23316"	"tcruzi-13446"	2597.07	988.1
"23472"	"tcruzi-13602"	244.68	97.98
"23473"	"tcruzi-13603"	131.92	68.12
"23540"	"tcruzi-13670"	1229.66	766.85
"23607"	"tcruzi-13737"	510.33	419.97
"23682"	"tcruzi-13812"	536.68	350.11
"23824"	"tcruzi-13954"	5759.39	474.81
"23826"	"tcruzi-13956"	5265.93	6526.03
"23896"	"tcruzi-14026"	952.28	210.68
"23897"	"tcruzi-14027"	751.19	133.23
"24311"	"tcruzi-14441"	212.36	192.2
"24605"	"tcruzi-14735"	3255.91	1646.35
"24611"	"tcruzi-14741"	16572.78	9073.65
"24612"	"tcruzi-14742"	19050.67	13372.9
"24755"	"tcruzi-14885"	451.77	127.47
"24756"	"tcruzi-14886"	421.82	204.22
"24784"	"tcruzi-14914"	1081.43	807.89
"24785"	"tcruzi-14915"	3068.47	3621.51
"24807"	"tcruzi-14937"	5551.18	3455.25
"24808"	"tcruzi-14938"	4893.25	2801.72
"24809"	"tcruzi-14939"	9372.94	5436.17
"24810"	"tcruzi-14940"	10281.45	6611.43
"24811"	"tcruzi-14941"	4416.69	4014.14
"24812"	"tcruzi-14942"	2468.16	856.72
"24813"	"tcruzi-14943"	6271.55	4925.33
"24824"	"tcruzi-14954"	1300.03	208.67
"24934"	"tcruzi-15064"	12748.13	14374.63
"24935"	"tcruzi-15065"	3529.7	3926.16
"24964"	"tcruzi-15094"	178.12	108.29
"25000"	"tcruzi-15130"	9089.85	5002.55
"25001"	"tcruzi-15131"	13165.31	9047.61
"25002"	"tcruzi-15132"	9475.48	7447.38
"25048"	"tcruzi-15178"	876.61	1222.81
"25090"	"tcruzi-15220"	9521.8	6669.18
"25405"	"tcruzi-15535"	127.6	144.13
"25546"	"tcruzi-15676"	564.08	643.97
"25666"	"tcruzi-15796"	957.85	631.57
"25827"	"tcruzi-15957"	1728.45	1145.43
"25989"	"tcruzi-16119"	133.73	121.54
"25990"	"tcruzi-16120"	184.55	142.74
"26169"	"tcruzi-16299"	3653.57	3352.09
"26536"	"tcruzi-16666"	14951.48	12340.07
"26866"	"tcruzi-16996"	209.8	91.75
"26959"	"tcruzi-17089"	126.15	140.56
"26978"	"tcruzi-17108"	4902.62	3352.11
"27043"	"tcruzi-17173"	971.11	425.82
"27191"	"tcruzi-17321"	901.94	558.77
"27461"	"tcruzi-17591"	22558.83	17899.97
"27556"	"tcruzi-17686"	1510.04	432.19
"28002"	"tcruzi-18132"	174.41	163.35
"28003"	"tcruzi-18133"	229.63	108.94
"28144"	"tcruzi-18274"	286.15	147.91
"28284"	"tcruzi-18414"	446.47	254.5
"28363"	"tcruzi-18493"	17992.14	12003.75
"28485"	"tcruzi-18615"	237.02	86.86
"28876"	"tcruzi-19006"	464.85	246.83
"28877"	"tcruzi-19007"	598.05	221.84
"28878"	"tcruzi-19008"	529.48	243.68
"28879"	"tcruzi-19009"	330.4	203.01
"28883"	"tcruzi-19013"	619.71	367.18
"29113"	"tcruzi-19243"	1249.56	262.73
"29117"	"tcruzi-19247"	921.61	328.18
"29177"	"tcruzi-19307"	286.08	176.84
"29189"	"tcruzi-19319"	476.24	255.57
"29190"	"tcruzi-19320"	398.22	244.45
"29243"	"tcruzi-19373"	2494.47	993.26
"29244"	"tcruzi-19374"	3977.69	557.17
"29246"	"tcruzi-19376"	250.4	128.09
"29247"	"tcruzi-19377"	133.1	75.92
"29251"	"tcruzi-19381"	14330.42	12411.59
"29271"	"tcruzi-19401"	693.72	292.1
"29295"	"tcruzi-19425"	861.64	643.9
"29326"	"tcruzi-19456"	121.53	92.85
"29364"	"tcruzi-19494"	123.31	92.47
"29365"	"tcruzi-19495"	259.21	181.42
"29368"	"tcruzi-19498"	298.56	238.21
"29420"	"tcruzi-19550"	316.21	197.44
"29486"	"tcruzi-19616"	442.63	253.94
"29643"	"tcruzi-19773"	628.07	633.47
"29701"	"tcruzi-19831"	1132.08	239.85
"29705"	"tcruzi-19835"	860.19	312.51
"29706"	"tcruzi-19836"	813.69	291.62
"29731"	"tcruzi-19861"	20087.37	10854.22
"29783"	"tcruzi-19913"	30355.19	23990.47
"29784"	"tcruzi-19914"	35543.28	23783.14
"29847"	"tcruzi-19977"	156.88	101.92
"29851"	"tcruzi-19981"	17823.5	13016.02
"29852"	"tcruzi-19982"	239.87	141.36
"29916"	"tcruzi-20046"	1403.56	821.22
"30015"	"tcruzi-20145"	1210.25	654.99
"30021"	"tcruzi-20151"	369.84	175.63
"30071"	"tcruzi-20201"	402.25	293.11
"30087"	"tcruzi-20217"	7036.2	2049.59
"30174"	"tcruzi-20304"	265.67	218.32
"30175"	"tcruzi-20305"	294.09	226.69
"30449"	"tcruzi-20579"	900.13	219.4
"30575"	"tcruzi-20705"	1091.72	206.03
"30608"	"tcruzi-20738"	165.02	133.86
"30637"	"tcruzi-20767"	555.61	159.34
"30821"	"tcruzi-20951"	526.8	190.54
"30875"	"tcruzi-21005"	216.21	74.86
"30922"	"tcruzi-21052"	194.69	58.29
"31017"	"tcruzi-21147"	1755.54	1100.8
"31019"	"tcruzi-21149"	222.88	95.26
"31021"	"tcruzi-21151"	370.61	202.39
"31023"	"tcruzi-21153"	168.09	169.95
"31024"	"tcruzi-21154"	357.03	241.42
"31025"	"tcruzi-21155"	247.54	110.69
"31028"	"tcruzi-21158"	252.31	141.05
"31029"	"tcruzi-21159"	153.6	164.7
"31030"	"tcruzi-21160"	594.21	339.19
"31031"	"tcruzi-21161"	220.52	99.78
"31052"	"tcruzi-21182"	259.66	438.19
"31204"	"tcruzi-21334"	185.43	129.01
"31205"	"tcruzi-21335"	160.12	130.62
"31207"	"tcruzi-21337"	99.16	84
"31281"	"tcruzi-21411"	136.96	92.5
"31325"	"tcruzi-21455"	584.95	365.68
"31376"	"tcruzi-21506"	152.71	95.02
"31425"	"tcruzi-21555"	161.54	118.09
"31533"	"tcruzi-21663"	915.51	549.83
"31538"	"tcruzi-21668"	572.72	345.97
"31539"	"tcruzi-21669"	138.39	199.32
"31540"	"tcruzi-21670"	186.62	164.15
"31541"	"tcruzi-21671"	285.6	256.82
"31542"	"tcruzi-21672"	244.53	244.12
"31543"	"tcruzi-21673"	353.12	321.33
"31544"	"tcruzi-21674"	366.52	251.96
"31561"	"tcruzi-21691"	211.21	249.73
"31610"	"tcruzi-21740"	1616.57	1156.19
"31726"	"tcruzi-21856"	5115.42	4705.59
"31740"	"tcruzi-21870"	241.08	237.85
"31741"	"tcruzi-21871"	306.69	206.01
"31775"	"tcruzi-21905"	15089.06	14077.89
"31829"	"tcruzi-21959"	144.6	63.72
