"Reporter.Name"	"allData.replica1"	"allData.replica2"
"10013"	"tcruzi-143"	9383.52	6489.82
"10130"	"tcruzi-260"	7940.7	803.69
"10141"	"tcruzi-271"	1936.16	2096.83
"10236"	"tcruzi-366"	3425.55	2544.94
"10723"	"tcruzi-853"	6621.47	1512.51
"10725"	"tcruzi-855"	520.11	685.13
"10741"	"tcruzi-871"	1032.8	323.47
"10756"	"tcruzi-886"	769.23	247.48
"10759"	"tcruzi-889"	13584.1	1866.64
"10760"	"tcruzi-890"	6703.9	1573.44
"10778"	"tcruzi-908"	7613.75	2540.86
"10779"	"tcruzi-909"	1252.91	366.35
"10785"	"tcruzi-915"	2250.43	1376.44
"11029"	"tcruzi-1159"	1329.12	849.79
"11109"	"tcruzi-1239"	9698.45	10224.58
"11194"	"tcruzi-1324"	3060.32	2142.71
"11472"	"tcruzi-1602"	2132.29	1708.13
"11473"	"tcruzi-1603"	2471.04	1829.8
"11474"	"tcruzi-1604"	3258.76	2178.32
"11475"	"tcruzi-1605"	1911.64	998.17
"11524"	"tcruzi-1654"	549.36	322.64
"11535"	"tcruzi-1665"	374.12	236.51
"11724"	"tcruzi-1854"	21552.44	15756.31
"12045"	"tcruzi-2175"	3380.84	2317.67
"12122"	"tcruzi-2252"	1518.27	2151.13
"12123"	"tcruzi-2253"	1367.73	1701.01
"12125"	"tcruzi-2255"	2118.74	2118.16
"12656"	"tcruzi-2786"	6306.72	286.62
"12657"	"tcruzi-2787"	6744.11	5228.62
"12667"	"tcruzi-2797"	375.81	637.05
"12668"	"tcruzi-2798"	740.51	1032.41
"12677"	"tcruzi-2807"	1758.23	812.92
"12678"	"tcruzi-2808"	1417.69	599.52
"12679"	"tcruzi-2809"	983.45	719.74
"12680"	"tcruzi-2810"	916.38	1161.11
"12681"	"tcruzi-2811"	893.99	591.68
"12682"	"tcruzi-2812"	651.82	1107.47
"12683"	"tcruzi-2813"	381.58	859.91
"12716"	"tcruzi-2846"	685.73	768.83
"12717"	"tcruzi-2847"	1901.76	1737.09
"12718"	"tcruzi-2848"	623.02	1346.2
"12731"	"tcruzi-2861"	770.04	790.36
"12769"	"tcruzi-2899"	1822.39	1710.79
"12968"	"tcruzi-3098"	1135.56	1068.52
"12977"	"tcruzi-3107"	900.85	1192.69
"13282"	"tcruzi-3412"	715.58	476.29
"13283"	"tcruzi-3413"	711.21	548.16
"13284"	"tcruzi-3414"	664	533.61
"13285"	"tcruzi-3415"	631.63	357.51
"13314"	"tcruzi-3444"	1853.82	1294.59
"13321"	"tcruzi-3451"	17304.24	11319.62
"13322"	"tcruzi-3452"	13988.27	9098.48
