"Reporter.Name"	"allData.replica1"	"allData.replica2"
"20624"	"tcruzi-10754"	34565.43	23337.41
"20627"	"tcruzi-10757"	32817.61	24428.72
"29784"	"tcruzi-19914"	39995.3	26927.81
"54630"	"tcruzi-44760"	44425.69	25730.96
"54667"	"tcruzi-44797"	37804.43	24796.28
"54669"	"tcruzi-44799"	47268.14	27518.77
"58799"	"tcruzi-48929"	36492.07	24598.5
"93031"	"tcruzi-83161"	40075.14	25234.77
"93035"	"tcruzi-83165"	40448.37	29228.3
"93036"	"tcruzi-83166"	46116.59	30213.15
"93037"	"tcruzi-83167"	38213.52	26263.03
"101633"	"tcruzi-91763"	39086.82	23810
"101642"	"tcruzi-91772"	28454.86	25787.42
"114065"	"tcruzi-104195"	31434.87	25064.61
"114069"	"tcruzi-104199"	43909.34	25876.6
"114071"	"tcruzi-104201"	35540.15	26604.46
"147879"	"tcruzi-138009"	32446	21681.01
"148392"	"tcruzi-138522"	34899.69	22710.98
"148395"	"tcruzi-138525"	31401.36	23263.04
"198629"	"tcruzi-188759"	42427.69	26681.35
"201635"	"tcruzi-191765"	45634.11	26988.61
"201639"	"tcruzi-191769"	44345.14	28446.56
"201640"	"tcruzi-191770"	44816.68	26186.13
"207533"	"tcruzi-197663"	43185.63	28092.14
"207536"	"tcruzi-197666"	43434.91	28111.96
"207537"	"tcruzi-197667"	42478.86	26592.24
"208007"	"tcruzi-198137"	38884.38	27411.3
"208010"	"tcruzi-198140"	39097.29	27719.77
"208011"	"tcruzi-198141"	41038.54	26191.14
"211983"	"tcruzi-202113"	42405.92	27363.25
"224171"	"tcruzi-214301"	41760.51	28852.54
"241302"	"tcruzi-231432"	30863.57	23760.98
"263876"	"tcruzi-254006"	47648.96	28996.98
"328349"	"tcruzi-mutagenesis-scan-314"	34275.71	23763.73
"329582"	"tcruzi-mutagenesis-scan-1547"	40503.3	24155.74
"330700"	"tcruzi-mutagenesis-scan-2665"	44073.74	27186.92
"330701"	"tcruzi-mutagenesis-scan-2666"	50950.63	29387.52
"330792"	"tcruzi-mutagenesis-scan-2757"	25353.49	17791
"330827"	"tcruzi-mutagenesis-scan-2792"	31179.67	20317.97
"330829"	"tcruzi-mutagenesis-scan-2794"	29422.71	22024.08
"330830"	"tcruzi-mutagenesis-scan-2795"	30602.67	22591.54
"330831"	"tcruzi-mutagenesis-scan-2796"	20938.85	16627.31
"330832"	"tcruzi-mutagenesis-scan-2797"	28608.83	19617.64
"330833"	"tcruzi-mutagenesis-scan-2798"	30451.66	22025.34
"330834"	"tcruzi-mutagenesis-scan-2799"	30336.35	18044.5
"330835"	"tcruzi-mutagenesis-scan-2800"	1474.87	948.67
"330836"	"tcruzi-mutagenesis-scan-2801"	1330.46	938.38
"330837"	"tcruzi-mutagenesis-scan-2802"	3558.01	4649.38
"330838"	"tcruzi-mutagenesis-scan-2803"	30751.61	20367.87
"330839"	"tcruzi-mutagenesis-scan-2804"	27333.24	19353.69
"331106"	"tcruzi-mutagenesis-scan-3071"	37476.05	25619.74
"331107"	"tcruzi-mutagenesis-scan-3072"	39623.27	25951.85
"331705"	"tcruzi-mutagenesis-scan-3670"	34416.85	21763.82
"332770"	"tcruzi-mutagenesis-scan-4735"	38803.31	26879.44
"332982"	"tcruzi-mutagenesis-scan-4947"	46438.66	28322.42
"332983"	"tcruzi-mutagenesis-scan-4948"	39069.62	26224.95
"332987"	"tcruzi-mutagenesis-scan-4952"	41854.52	28498.72
"332988"	"tcruzi-mutagenesis-scan-4953"	39102.72	26132.65
"333436"	"tcruzi-mutagenesis-scan-5401"	39108.77	26236.61
"333437"	"tcruzi-mutagenesis-scan-5402"	40646.1	22612.75
"333834"	"tcruzi-mutagenesis-scan-5799"	32876.8	19183.02
"334221"	"tcruzi-mutagenesis-scan-6186"	44765.35	27925.28
"336209"	"tcruzi-mutagenesis-scan-8174"	35067.09	29113.69
"336210"	"tcruzi-mutagenesis-scan-8175"	37067.13	22636.83
"336700"	"tcruzi-mutagenesis-scan-8665"	39898.6	26560.59
"336714"	"tcruzi-mutagenesis-scan-8679"	38958.62	27616.36
"336715"	"tcruzi-mutagenesis-scan-8680"	31358.83	25075.75
"336716"	"tcruzi-mutagenesis-scan-8681"	37709.04	23945.7
"336717"	"tcruzi-mutagenesis-scan-8682"	42987.1	25472.99
"336718"	"tcruzi-mutagenesis-scan-8683"	38573.89	25148.64
"336719"	"tcruzi-mutagenesis-scan-8684"	6604.45	2714.65
"336720"	"tcruzi-mutagenesis-scan-8685"	1010.36	548
"336721"	"tcruzi-mutagenesis-scan-8686"	32722.96	20927.51
"336722"	"tcruzi-mutagenesis-scan-8687"	18334.16	14553.64
"336723"	"tcruzi-mutagenesis-scan-8688"	40633.48	26331.35
"336724"	"tcruzi-mutagenesis-scan-8689"	33495.1	25454.45
"336914"	"tcruzi-mutagenesis-scan-8879"	41048.37	23396.96
"336928"	"tcruzi-mutagenesis-scan-8893"	36741.19	22553.28
"336929"	"tcruzi-mutagenesis-scan-8894"	37041.6	25103.95
"336930"	"tcruzi-mutagenesis-scan-8895"	27610.77	17720.49
"336931"	"tcruzi-mutagenesis-scan-8896"	35370.9	24748.59
"336932"	"tcruzi-mutagenesis-scan-8897"	32884.03	22458.57
"336933"	"tcruzi-mutagenesis-scan-8898"	35070.65	22464.65
"336934"	"tcruzi-mutagenesis-scan-8899"	1522.09	827.31
"336935"	"tcruzi-mutagenesis-scan-8900"	422.35	141.32
"336936"	"tcruzi-mutagenesis-scan-8901"	34606.31	24346.33
"336937"	"tcruzi-mutagenesis-scan-8902"	38807.83	26059.45
"336938"	"tcruzi-mutagenesis-scan-8903"	4149.52	3444.96
"336939"	"tcruzi-mutagenesis-scan-8904"	31062.94	20213.29
"336940"	"tcruzi-mutagenesis-scan-8905"	30550.05	18836.59
"341015"	"tcruzi-mutagenesis-scan-12980"	44658.66	30829.83
"341016"	"tcruzi-mutagenesis-scan-12981"	39081.8	26899.69
"341084"	"tcruzi-mutagenesis-scan-13049"	45881.94	28088.82
"341085"	"tcruzi-mutagenesis-scan-13050"	41406.79	29415.49
"341138"	"tcruzi-mutagenesis-scan-13103"	47396.3	29129.21
"341139"	"tcruzi-mutagenesis-scan-13104"	43686.55	27547.48
"341140"	"tcruzi-mutagenesis-scan-13105"	5131.28	2910.81
"341141"	"tcruzi-mutagenesis-scan-13106"	5030.6	2346.82
"341142"	"tcruzi-mutagenesis-scan-13107"	710.29	324.45
"341143"	"tcruzi-mutagenesis-scan-13108"	588.75	220.4
"341144"	"tcruzi-mutagenesis-scan-13109"	37534.36	23774.7
"341145"	"tcruzi-mutagenesis-scan-13110"	37661.39	24436.45
"341146"	"tcruzi-mutagenesis-scan-13111"	44852.45	25978.45
"341147"	"tcruzi-mutagenesis-scan-13112"	43072.6	28974.2
"341148"	"tcruzi-mutagenesis-scan-13113"	41904.95	27885.71
"341149"	"tcruzi-mutagenesis-scan-13114"	40073.35	27287.13
"341150"	"tcruzi-mutagenesis-scan-13115"	53221.44	27613.78
"341151"	"tcruzi-mutagenesis-scan-13116"	52590.29	24484.82
"341152"	"tcruzi-mutagenesis-scan-13117"	42033.24	27511.57
"341153"	"tcruzi-mutagenesis-scan-13118"	44666.81	28427.33
"341154"	"tcruzi-mutagenesis-scan-13119"	38681.58	27257.11
"341155"	"tcruzi-mutagenesis-scan-13120"	14313.07	10471.78
"341156"	"tcruzi-mutagenesis-scan-13121"	15108.52	9625.28
"341157"	"tcruzi-mutagenesis-scan-13122"	37908.77	26077.55
"341158"	"tcruzi-mutagenesis-scan-13123"	36514.54	22901.28
"341159"	"tcruzi-mutagenesis-scan-13124"	40942.85	27241.49
"341160"	"tcruzi-mutagenesis-scan-13125"	40469.54	26308.74
"341666"	"tcruzi-mutagenesis-scan-13631"	38806.68	26688.99
"341667"	"tcruzi-mutagenesis-scan-13632"	37207.95	24008.91
"341842"	"tcruzi-mutagenesis-scan-13807"	34184.15	21316.82
"342106"	"tcruzi-mutagenesis-scan-14071"	37164.09	26780.06
"342113"	"tcruzi-mutagenesis-scan-14078"	37942.65	24920.06
"342114"	"tcruzi-mutagenesis-scan-14079"	34564.53	24142.84
"342115"	"tcruzi-mutagenesis-scan-14080"	31462.85	23872.93
"342116"	"tcruzi-mutagenesis-scan-14081"	34676.09	24602.25
"342117"	"tcruzi-mutagenesis-scan-14082"	38820.45	25319.26
"342118"	"tcruzi-mutagenesis-scan-14083"	34463.3	22627.97
"342119"	"tcruzi-mutagenesis-scan-14084"	4733.43	2777.75
"342120"	"tcruzi-mutagenesis-scan-14085"	833.52	421.95
"342121"	"tcruzi-mutagenesis-scan-14086"	34116.71	23118.64
"342122"	"tcruzi-mutagenesis-scan-14087"	21630.79	14165.1
"342123"	"tcruzi-mutagenesis-scan-14088"	36508.41	23697.92
"342124"	"tcruzi-mutagenesis-scan-14089"	38706.08	21256.13
"342757"	"tcruzi-mutagenesis-scan-14722"	32040.18	23780.31
"343575"	"tcruzi-mutagenesis-scan-15540"	37608.82	22902.76
"343576"	"tcruzi-mutagenesis-scan-15541"	36315.93	25635.32
"343577"	"tcruzi-mutagenesis-scan-15542"	3266.88	2355.19
"343578"	"tcruzi-mutagenesis-scan-15543"	2998.37	1788.52
"343579"	"tcruzi-mutagenesis-scan-15544"	1174.45	854.68
"343580"	"tcruzi-mutagenesis-scan-15545"	523.54	377.48
"343581"	"tcruzi-mutagenesis-scan-15546"	31531.71	19556.2
"343582"	"tcruzi-mutagenesis-scan-15547"	31656.89	19196.14
"343583"	"tcruzi-mutagenesis-scan-15548"	40002.5	23911.08
"343584"	"tcruzi-mutagenesis-scan-15549"	36709.66	23924.22
"343585"	"tcruzi-mutagenesis-scan-15550"	37361.61	22852.88
"343586"	"tcruzi-mutagenesis-scan-15551"	36495.58	24998.2
"343587"	"tcruzi-mutagenesis-scan-15552"	34065.47	24310.64
"343588"	"tcruzi-mutagenesis-scan-15553"	37927.87	23135.13
"343589"	"tcruzi-mutagenesis-scan-15554"	40391.51	24821.12
"343590"	"tcruzi-mutagenesis-scan-15555"	35701.35	24432.65
"343591"	"tcruzi-mutagenesis-scan-15556"	35603.63	25458.7
"343592"	"tcruzi-mutagenesis-scan-15557"	37197.6	25693.01
"343593"	"tcruzi-mutagenesis-scan-15558"	38310.68	25547.62
"343594"	"tcruzi-mutagenesis-scan-15559"	40790.98	25642.66
"343595"	"tcruzi-mutagenesis-scan-15560"	4184.25	3019.61
"343596"	"tcruzi-mutagenesis-scan-15561"	2685.9	1708.95
"343598"	"tcruzi-mutagenesis-scan-15563"	31274.25	20019.61
"343599"	"tcruzi-mutagenesis-scan-15564"	29450.68	18847.62
"343619"	"tcruzi-mutagenesis-scan-15584"	35854.25	23864.16
"343620"	"tcruzi-mutagenesis-scan-15585"	36527.72	21635.59
"346104"	"tcruzi-mutagenesis-scan-18069"	25203.97	17605.36
"347000"	"tcruzi-mutagenesis-scan-18965"	34457.19	22584.66
"347008"	"tcruzi-mutagenesis-scan-18973"	30197.45	21856.2
"347009"	"tcruzi-mutagenesis-scan-18974"	33825.4	23229.4
"347010"	"tcruzi-mutagenesis-scan-18975"	38443.58	24774.7
"347011"	"tcruzi-mutagenesis-scan-18976"	36086.72	25442.36
"347012"	"tcruzi-mutagenesis-scan-18977"	1897.99	980.21
"347013"	"tcruzi-mutagenesis-scan-18978"	1084.36	433.5
"347014"	"tcruzi-mutagenesis-scan-18979"	26180.99	12978.35
"347015"	"tcruzi-mutagenesis-scan-18980"	37594.93	24015.81
"347016"	"tcruzi-mutagenesis-scan-18981"	18021.47	12513.03
"347017"	"tcruzi-mutagenesis-scan-18982"	33167.62	23725.33
"347018"	"tcruzi-mutagenesis-scan-18983"	31488.42	21641.11
"352561"	"tcruzi-mutagenesis-scan-24526"	43434.34	27987.18
"352562"	"tcruzi-mutagenesis-scan-24527"	37551.49	24007.42
"352572"	"tcruzi-mutagenesis-scan-24537"	41374.79	24324.98
"352573"	"tcruzi-mutagenesis-scan-24538"	35030.93	20611.21
"352679"	"tcruzi-mutagenesis-scan-24644"	39193.71	24131.38
"353213"	"tcruzi-mutagenesis-scan-25178"	41056.38	26589.06
"353214"	"tcruzi-mutagenesis-scan-25179"	37948.68	24166.26
"353216"	"tcruzi-mutagenesis-scan-25181"	47186.89	30484.12
"353217"	"tcruzi-mutagenesis-scan-25182"	40347.29	26321.56
"353218"	"tcruzi-mutagenesis-scan-25183"	40624.64	27232.87
"353219"	"tcruzi-mutagenesis-scan-25184"	36931.27	23692.28
"353220"	"tcruzi-mutagenesis-scan-25185"	5550.92	4926.67
"353221"	"tcruzi-mutagenesis-scan-25186"	2999.98	1733.75
"353222"	"tcruzi-mutagenesis-scan-25187"	902.5	570.41
"353223"	"tcruzi-mutagenesis-scan-25188"	627.64	296.4
"353224"	"tcruzi-mutagenesis-scan-25189"	38299.16	26801.76
"353225"	"tcruzi-mutagenesis-scan-25190"	39387.48	22781.63
"353226"	"tcruzi-mutagenesis-scan-25191"	39840.94	29860.72
"353227"	"tcruzi-mutagenesis-scan-25192"	41971.3	26567.89
"353228"	"tcruzi-mutagenesis-scan-25193"	50622.16	28938.47
"353229"	"tcruzi-mutagenesis-scan-25194"	41777.12	27795.25
"353230"	"tcruzi-mutagenesis-scan-25195"	38952.9	25680.66
"353231"	"tcruzi-mutagenesis-scan-25196"	41264.58	26460.88
"353232"	"tcruzi-mutagenesis-scan-25197"	39301.62	26401.79
"353233"	"tcruzi-mutagenesis-scan-25198"	42668.15	26296.61
"353234"	"tcruzi-mutagenesis-scan-25199"	46304.24	25431.99
"353235"	"tcruzi-mutagenesis-scan-25200"	18006.93	10306.85
"353236"	"tcruzi-mutagenesis-scan-25201"	4495.32	3072.79
"353237"	"tcruzi-mutagenesis-scan-25202"	39222.99	25541
"353238"	"tcruzi-mutagenesis-scan-25203"	34408.88	21714.75
"353239"	"tcruzi-mutagenesis-scan-25204"	39087.25	26136.73
"353240"	"tcruzi-mutagenesis-scan-25205"	34513.37	23590.9
"354344"	"tcruzi-mutagenesis-scan-26309"	48359.24	27937.8
"354345"	"tcruzi-mutagenesis-scan-26310"	37142.86	26363.71
"354348"	"tcruzi-mutagenesis-scan-26313"	38800.76	24955.14
"354349"	"tcruzi-mutagenesis-scan-26314"	28000.73	19865.4
"354379"	"tcruzi-mutagenesis-scan-26344"	42280.49	26386.3
"354380"	"tcruzi-mutagenesis-scan-26345"	35264.95	24663.29
"354381"	"tcruzi-mutagenesis-scan-26346"	44432.15	27392.15
"354382"	"tcruzi-mutagenesis-scan-26347"	39593.98	25944.01
"354383"	"tcruzi-mutagenesis-scan-26348"	38382.34	27243
"354384"	"tcruzi-mutagenesis-scan-26349"	38218.67	24663.37
"354385"	"tcruzi-mutagenesis-scan-26350"	6040.82	2942.36
"354386"	"tcruzi-mutagenesis-scan-26351"	2895.65	2041.64
"354387"	"tcruzi-mutagenesis-scan-26352"	846.26	413.59
"354388"	"tcruzi-mutagenesis-scan-26353"	723.24	330.38
"354389"	"tcruzi-mutagenesis-scan-26354"	41138.62	25718.38
"354390"	"tcruzi-mutagenesis-scan-26355"	37783.78	25316.5
"354391"	"tcruzi-mutagenesis-scan-26356"	43502.8	29209.88
"354392"	"tcruzi-mutagenesis-scan-26357"	41310.41	29093.45
"354393"	"tcruzi-mutagenesis-scan-26358"	44985.52	28444.83
"354394"	"tcruzi-mutagenesis-scan-26359"	41792.78	24800.39
"354395"	"tcruzi-mutagenesis-scan-26360"	40866.5	26984.06
"354396"	"tcruzi-mutagenesis-scan-26361"	41648.16	26322.57
"354397"	"tcruzi-mutagenesis-scan-26362"	41045.05	27626.41
