"Reporter.Name"	"allData.replica1"	"allData.replica2"
"18648"	"tcruzi-8778"	747.15	229.95
"18649"	"tcruzi-8779"	284.67	153.65
"18651"	"tcruzi-8781"	315.61	189.69
"18652"	"tcruzi-8782"	387.17	282.04
"18674"	"tcruzi-8804"	1721.84	1118.45
"18699"	"tcruzi-8829"	10267.35	7825.96
"18702"	"tcruzi-8832"	5697.7	5438.14
"18716"	"tcruzi-8846"	25540.54	18626.43
"18719"	"tcruzi-8849"	40930.99	26674.91
"18731"	"tcruzi-8861"	41510.44	26931.93
"18732"	"tcruzi-8862"	45680.84	28298.86
"18734"	"tcruzi-8864"	38768.69	27982.69
"18736"	"tcruzi-8866"	19830.83	12674.1
"18737"	"tcruzi-8867"	40712.47	25396.92
"18751"	"tcruzi-8881"	16877.91	9070.68
"18757"	"tcruzi-8887"	7133.49	4417.55
"18762"	"tcruzi-8892"	35883.52	24045.3
"18763"	"tcruzi-8893"	30795.47	22884.5
"18764"	"tcruzi-8894"	32516.03	23558.38
"18767"	"tcruzi-8897"	23380.53	17223.13
"18768"	"tcruzi-8898"	20544.34	15833.89
"18771"	"tcruzi-8901"	12087.08	7050.14
"18772"	"tcruzi-8902"	21752.68	20142.34
"18779"	"tcruzi-8909"	29619.6	17416.02
"18794"	"tcruzi-8924"	22276.4	15935.57
"18837"	"tcruzi-8967"	2107.11	484.84
"18838"	"tcruzi-8968"	1766.92	390.26
"18839"	"tcruzi-8969"	1816.87	639.72
"18848"	"tcruzi-8978"	1684.33	423.82
"19188"	"tcruzi-9318"	47395.37	25602.73
"19189"	"tcruzi-9319"	37774.59	23816.13
"19228"	"tcruzi-9358"	29513.31	21497.44
"19229"	"tcruzi-9359"	29312.72	18742.71
"19429"	"tcruzi-9559"	434.37	251.02
"19430"	"tcruzi-9560"	409.74	284.27
"19432"	"tcruzi-9562"	491.57	286.68
"19435"	"tcruzi-9565"	209.35	160.22
"19436"	"tcruzi-9566"	331.17	251.83
"19441"	"tcruzi-9571"	292.48	231.44
"19761"	"tcruzi-9891"	12022.06	6754.27
"19940"	"tcruzi-10070"	8223.66	6281.35
"20175"	"tcruzi-10305"	4034.87	2334.48
"20296"	"tcruzi-10426"	6766.2	5423.29
"20425"	"tcruzi-10555"	3606.97	1914.45
"20624"	"tcruzi-10754"	57543.5	32725.33
"20627"	"tcruzi-10757"	52790.96	31325.8
"20741"	"tcruzi-10871"	6111.54	3669.36
"21014"	"tcruzi-11144"	5256.62	1614.6
"21015"	"tcruzi-11145"	6391.39	2094.84
"21017"	"tcruzi-11147"	6123.8	1755.67
