"Reporter.Name"	"allData.replica1"	"allData.replica2"
"10013"	"tcruzi-143"	998.74	415.43
"10130"	"tcruzi-260"	175.69	546.59
"10141"	"tcruzi-271"	1611.92	441.01
"10236"	"tcruzi-366"	22524.01	18463.4
"10723"	"tcruzi-853"	3718.9	188.63
"10725"	"tcruzi-855"	1128.34	137.74
"10741"	"tcruzi-871"	1364.13	173.21
"10756"	"tcruzi-886"	250.37	339.64
"10759"	"tcruzi-889"	275.79	1479.31
"10760"	"tcruzi-890"	6590.29	514.23
"10778"	"tcruzi-908"	971.26	660.53
"10779"	"tcruzi-909"	135.59	496.53
"10785"	"tcruzi-915"	1535.63	826.98
"11029"	"tcruzi-1159"	182.67	131.54
"11109"	"tcruzi-1239"	3783.41	2959.14
"11194"	"tcruzi-1324"	1298.52	615.61
"11472"	"tcruzi-1602"	44.65	56.97
"11473"	"tcruzi-1603"	69.23	43.68
"11474"	"tcruzi-1604"	54.95	73.77
"11475"	"tcruzi-1605"	62.99	49.71
"11524"	"tcruzi-1654"	54.91	57.06
"11535"	"tcruzi-1665"	537.03	424.1
"11724"	"tcruzi-1854"	5007.95	3946.65
"12045"	"tcruzi-2175"	313.85	95.53
"12122"	"tcruzi-2252"	1893.99	552.69
"12123"	"tcruzi-2253"	1398.41	469.55
"12125"	"tcruzi-2255"	2190.92	812.38
"12656"	"tcruzi-2786"	2209.82	1218.66
"12657"	"tcruzi-2787"	4970.35	530.62
"12667"	"tcruzi-2797"	303.43	207.71
"12668"	"tcruzi-2798"	143	124.65
"12677"	"tcruzi-2807"	7211.75	7867.39
"12678"	"tcruzi-2808"	11095.98	10184.33
"12679"	"tcruzi-2809"	21178.08	19126.34
"12680"	"tcruzi-2810"	12120.87	12615.49
"12681"	"tcruzi-2811"	13472.15	11749.96
"12682"	"tcruzi-2812"	455.6	254.6
"12683"	"tcruzi-2813"	310.45	178.64
"12716"	"tcruzi-2846"	5374.23	6883.79
"12717"	"tcruzi-2847"	8789.04	8989.61
"12718"	"tcruzi-2848"	216.04	213.28
"12731"	"tcruzi-2861"	7758.96	8183.71
"12769"	"tcruzi-2899"	137.19	102.64
"12968"	"tcruzi-3098"	609.58	381.4
"12977"	"tcruzi-3107"	322.94	311.99
"13282"	"tcruzi-3412"	1162.76	563.54
"13283"	"tcruzi-3413"	951.68	509.64
"13284"	"tcruzi-3414"	1006.3	675.14
"13285"	"tcruzi-3415"	1280.05	692.35
"13314"	"tcruzi-3444"	1094.93	634.93
"13321"	"tcruzi-3451"	1363.59	183.34
"13322"	"tcruzi-3452"	1655.21	271.01
"13354"	"tcruzi-3484"	108.24	1738.09
"13355"	"tcruzi-3485"	108.32	1765.98
"13357"	"tcruzi-3487"	80.26	455.93
"13381"	"tcruzi-3511"	294.51	143.56
"13438"	"tcruzi-3568"	20139.17	19761.53
"13444"	"tcruzi-3574"	943.67	230.12
"13448"	"tcruzi-3578"	1106.14	175.77
"13504"	"tcruzi-3634"	920.51	840.03
"13508"	"tcruzi-3638"	339.12	3044.63
"13509"	"tcruzi-3639"	333.59	1243.81
"13552"	"tcruzi-3682"	789.4	1505.42
"13553"	"tcruzi-3683"	173.33	285.37
"13582"	"tcruzi-3712"	2334.04	734.97
"13595"	"tcruzi-3725"	289.88	924.86
"13627"	"tcruzi-3757"	2046.31	265.39
"13697"	"tcruzi-3827"	1016.79	79.02
"13723"	"tcruzi-3853"	2531.78	1779.6
"14102"	"tcruzi-4232"	157.72	67.83
"14237"	"tcruzi-4367"	399.86	123.29
"14303"	"tcruzi-4433"	142.47	150.54
"14626"	"tcruzi-4756"	60.28	37.17
"14771"	"tcruzi-4901"	20.51	65.61
"14788"	"tcruzi-4918"	140.56	82.64
"14968"	"tcruzi-5098"	3449.29	2445.76
"14994"	"tcruzi-5124"	153.92	119.64
"15508"	"tcruzi-5638"	8902.38	7107.98
"15606"	"tcruzi-5736"	19.86	69.22
"15607"	"tcruzi-5737"	708.71	584.04
"15688"	"tcruzi-5818"	829.55	695.83
"15833"	"tcruzi-5963"	77.64	136.15
"16011"	"tcruzi-6141"	78.74	39.44
"16041"	"tcruzi-6171"	878.12	627.77
"16288"	"tcruzi-6418"	28.74	33.75
"16292"	"tcruzi-6422"	2418.93	2445.74
"16338"	"tcruzi-6468"	3779.49	3281.15
"16586"	"tcruzi-6716"	2662.97	2623.39
"17005"	"tcruzi-7135"	45.98	50.98
"17006"	"tcruzi-7136"	34.08	40.11
"17007"	"tcruzi-7137"	67.74	48.7
"17008"	"tcruzi-7138"	147.45	75.83
"17009"	"tcruzi-7139"	73.45	38.78
"17010"	"tcruzi-7140"	47.97	56.86
"17012"	"tcruzi-7142"	68.39	62.7
"17015"	"tcruzi-7145"	115.29	79.29
"17016"	"tcruzi-7146"	93.46	83.55
"17211"	"tcruzi-7341"	17.46	18.82
"17235"	"tcruzi-7365"	58.44	66.39
"17246"	"tcruzi-7376"	449.36	283.76
"17247"	"tcruzi-7377"	303.16	238.02
"17360"	"tcruzi-7490"	435.83	347.85
"17361"	"tcruzi-7491"	555.95	424.11
"17364"	"tcruzi-7494"	47.04	62.97
"17430"	"tcruzi-7560"	2083.87	1518.57
"17433"	"tcruzi-7563"	1849.19	1068.43
"17468"	"tcruzi-7598"	623.15	519.88
"17472"	"tcruzi-7602"	33.66	29.29
"17713"	"tcruzi-7843"	630.22	685.68
"17718"	"tcruzi-7848"	863.53	802.64
"17934"	"tcruzi-8064"	5525.49	4320.74
"18034"	"tcruzi-8164"	169.38	94.46
"18267"	"tcruzi-8397"	25.97	34.41
"18268"	"tcruzi-8398"	39.49	40.12
"18269"	"tcruzi-8399"	36	32.33
"18270"	"tcruzi-8400"	42.78	30.9
"18277"	"tcruzi-8407"	60.76	53.42
"18278"	"tcruzi-8408"	40	33.45
"18279"	"tcruzi-8409"	52.27	34.78
"18281"	"tcruzi-8411"	37.91	32.9
"18295"	"tcruzi-8425"	869.81	680.32
"18310"	"tcruzi-8440"	51.53	50.12
"18311"	"tcruzi-8441"	39.81	46.17
"18346"	"tcruzi-8476"	1699.96	1310.12
"18641"	"tcruzi-8771"	1346.27	1103.4
"18648"	"tcruzi-8778"	1498.47	1183.01
"18649"	"tcruzi-8779"	1702.29	1348.78
"18651"	"tcruzi-8781"	1733.02	1382.29
"18652"	"tcruzi-8782"	1840.31	1716.77
"18674"	"tcruzi-8804"	887.83	812.7
"18699"	"tcruzi-8829"	2704.44	2675.17
"18702"	"tcruzi-8832"	2734.25	2877.09
"18716"	"tcruzi-8846"	4378.33	3564.33
"18719"	"tcruzi-8849"	1049.81	724.26
"18731"	"tcruzi-8861"	4647.98	3660.88
"18732"	"tcruzi-8862"	4077.35	3512.61
"18734"	"tcruzi-8864"	4077.28	3475.92
"18736"	"tcruzi-8866"	742.37	304.05
"18737"	"tcruzi-8867"	3556.45	3063.22
"18751"	"tcruzi-8881"	449.16	205.6
"18757"	"tcruzi-8887"	661.22	640.72
"18762"	"tcruzi-8892"	4699.48	3968.71
"18763"	"tcruzi-8893"	4079.56	3634.46
"18764"	"tcruzi-8894"	5127.78	3693.01
"18767"	"tcruzi-8897"	5116.38	4215.78
"18768"	"tcruzi-8898"	4591.68	3307.85
"18771"	"tcruzi-8901"	4617.67	3853.73
"18772"	"tcruzi-8902"	5625.39	4151.25
"18779"	"tcruzi-8909"	4164.58	3392.08
"18794"	"tcruzi-8924"	409.35	386.31
"18837"	"tcruzi-8967"	1922.93	1526.66
"18838"	"tcruzi-8968"	1931.89	1630.61
"18839"	"tcruzi-8969"	1723.6	1581.53
