"Reporter.Name"	"allData.replica1"	"allData.replica2"
"18652"	"tcruzi-8782"	1296.74	853.57
"18674"	"tcruzi-8804"	179.98	151.57
"18699"	"tcruzi-8829"	7761.62	4232.8
"18702"	"tcruzi-8832"	7941.03	3610.92
"18716"	"tcruzi-8846"	5188.58	3553.5
"18719"	"tcruzi-8849"	2469.08	1463.53
"18731"	"tcruzi-8861"	11178.91	7165.78
"18732"	"tcruzi-8862"	12810.59	7414.17
"18734"	"tcruzi-8864"	8128.44	5610.8
"18736"	"tcruzi-8866"	1915.58	2146.71
"18737"	"tcruzi-8867"	6539.46	5005.86
"18751"	"tcruzi-8881"	1243.56	1007.76
"18757"	"tcruzi-8887"	1583.19	1544.5
"18762"	"tcruzi-8892"	14885.39	8289.2
"18763"	"tcruzi-8893"	9535.16	6178.01
"18764"	"tcruzi-8894"	10037.03	6712.82
"18767"	"tcruzi-8897"	9440.67	7567.68
"18768"	"tcruzi-8898"	11171.97	6405.53
"18771"	"tcruzi-8901"	8937.88	5518.69
"18772"	"tcruzi-8902"	12028.88	6824.68
"18779"	"tcruzi-8909"	9806.98	6797.42
"18794"	"tcruzi-8924"	896.04	698.19
"18837"	"tcruzi-8967"	1663.87	1285.37
"18838"	"tcruzi-8968"	1577.67	1281.66
"18839"	"tcruzi-8969"	1565.68	1051.24
"18848"	"tcruzi-8978"	1229.26	978.99
"19188"	"tcruzi-9318"	984.5	532.25
"19189"	"tcruzi-9319"	10074.36	5713.9
"19228"	"tcruzi-9358"	4257.62	3610.1
"19229"	"tcruzi-9359"	5075.8	3723.24
"19429"	"tcruzi-9559"	600.27	415.05
"19430"	"tcruzi-9560"	291.36	221.84
"19432"	"tcruzi-9562"	990.18	632.9
"19435"	"tcruzi-9565"	660.14	447.85
"19436"	"tcruzi-9566"	706.39	383.46
"19441"	"tcruzi-9571"	387.13	403.97
"19761"	"tcruzi-9891"	80.5	31.46
"19940"	"tcruzi-10070"	2258.3	1337.67
"20175"	"tcruzi-10305"	135.05	55.76
"20296"	"tcruzi-10426"	35.1	36.58
"20425"	"tcruzi-10555"	253.54	152.14
"20624"	"tcruzi-10754"	21512.83	14770.48
"20627"	"tcruzi-10757"	21254.23	14046.75
"20741"	"tcruzi-10871"	46.67	32.25
"21014"	"tcruzi-11144"	4423.52	2719.43
"21015"	"tcruzi-11145"	4436.94	2717.65
"21017"	"tcruzi-11147"	4089.87	2842.59
"21020"	"tcruzi-11150"	5497.96	4008.37
"21021"	"tcruzi-11151"	11046.78	6403.86
"21170"	"tcruzi-11300"	2234.93	1195.66
"21177"	"tcruzi-11307"	137.49	81.91
"21598"	"tcruzi-11728"	161.33	35.18
"21626"	"tcruzi-11756"	655.09	225.21
"21746"	"tcruzi-11876"	10839.37	5665.74
"21834"	"tcruzi-11964"	82.76	38.18
"22662"	"tcruzi-12792"	1836.08	1179.69
"22664"	"tcruzi-12794"	2165.04	1479.58
"22698"	"tcruzi-12828"	97.55	79.28
"22699"	"tcruzi-12829"	111.6	73.75
"22908"	"tcruzi-13038"	656.61	486.63
"22930"	"tcruzi-13060"	625.19	489.78
"22933"	"tcruzi-13063"	85.67	79.8
"22935"	"tcruzi-13065"	859.53	660.59
"22943"	"tcruzi-13073"	154.56	124.4
"23316"	"tcruzi-13446"	5538.31	3671.41
"23472"	"tcruzi-13602"	45.13	35.07
"23473"	"tcruzi-13603"	43.58	25.81
"23540"	"tcruzi-13670"	539.13	847.28
"23607"	"tcruzi-13737"	161.34	120.56
"23682"	"tcruzi-13812"	865.5	422.54
"23824"	"tcruzi-13954"	8075	3479.4
"23826"	"tcruzi-13956"	4322.97	544.51
"23896"	"tcruzi-14026"	1960.4	293.64
"23897"	"tcruzi-14027"	2359.45	1716.47
"24311"	"tcruzi-14441"	6815.57	4875.58
"24605"	"tcruzi-14735"	103.43	41.02
"24611"	"tcruzi-14741"	7069.93	6700.66
"24612"	"tcruzi-14742"	11441.2	7794.08
"24755"	"tcruzi-14885"	2003.52	240.06
"24756"	"tcruzi-14886"	4192.31	1090.36
"24784"	"tcruzi-14914"	432.64	494.07
"24785"	"tcruzi-14915"	469.14	551.42
"24807"	"tcruzi-14937"	2264.05	1335.28
"24808"	"tcruzi-14938"	1985.68	931.15
"24809"	"tcruzi-14939"	3729.46	2535.21
"24810"	"tcruzi-14940"	2455.48	1877.77
"24811"	"tcruzi-14941"	2898.36	2493.63
"24812"	"tcruzi-14942"	515.05	548.04
"24813"	"tcruzi-14943"	622.1	455.58
"24824"	"tcruzi-14954"	138.14	196.23
"24934"	"tcruzi-15064"	3470	2260.28
"24935"	"tcruzi-15065"	231.42	87.27
"24964"	"tcruzi-15094"	110.31	88.24
"25000"	"tcruzi-15130"	1537.38	527.55
"25001"	"tcruzi-15131"	1533.23	1136.68
"25002"	"tcruzi-15132"	215.69	246.93
"25048"	"tcruzi-15178"	52.69	26.33
"25090"	"tcruzi-15220"	1286.83	562.96
"25405"	"tcruzi-15535"	115.91	112.06
"25546"	"tcruzi-15676"	82.06	37.81
"25666"	"tcruzi-15796"	57.57	32.26
"25827"	"tcruzi-15957"	419.13	301.94
"25989"	"tcruzi-16119"	88.96	56.81
"25990"	"tcruzi-16120"	43.44	43.96
"26169"	"tcruzi-16299"	54.37	26.14
"26536"	"tcruzi-16666"	6837.71	4066.11
"26866"	"tcruzi-16996"	434.39	284.58
"26959"	"tcruzi-17089"	756.48	595.33
"26978"	"tcruzi-17108"	7141.07	4898.83
"27043"	"tcruzi-17173"	142.47	101.79
"27191"	"tcruzi-17321"	72.78	58.77
"27461"	"tcruzi-17591"	1930.86	1333.25
"27556"	"tcruzi-17686"	57.33	26.05
"28002"	"tcruzi-18132"	13117.4	8354.97
"28003"	"tcruzi-18133"	14854.5	10372.03
"28144"	"tcruzi-18274"	65.11	46.89
"28284"	"tcruzi-18414"	1384.61	1013.69
"28363"	"tcruzi-18493"	381.08	280.31
"28485"	"tcruzi-18615"	532.93	109.64
"28876"	"tcruzi-19006"	13862.09	8645.16
"28877"	"tcruzi-19007"	12953.83	8394.81
"28878"	"tcruzi-19008"	15976.76	11685.03
"28879"	"tcruzi-19009"	13306.05	8447.32
"28883"	"tcruzi-19013"	5733.53	4211.85
"29113"	"tcruzi-19243"	6127.48	3995.83
"29117"	"tcruzi-19247"	6322.37	4333.35
"29177"	"tcruzi-19307"	396.2	260.06
"29189"	"tcruzi-19319"	473.01	310.31
"29190"	"tcruzi-19320"	212.24	152.74
