"Reporter.Name"	"allData.replica1"	"allData.replica2"
"18652"	"tcruzi-8782"	665.58	959.02
"18674"	"tcruzi-8804"	36.36	37.7
"18699"	"tcruzi-8829"	179.04	209.48
"18702"	"tcruzi-8832"	159.46	187.83
"18716"	"tcruzi-8846"	177.69	145.83
"18719"	"tcruzi-8849"	302.08	485.25
"18731"	"tcruzi-8861"	194.97	240.71
"18732"	"tcruzi-8862"	239.81	286.85
"18734"	"tcruzi-8864"	291.39	312.39
"18736"	"tcruzi-8866"	268.94	124.32
"18737"	"tcruzi-8867"	211.88	132.72
"18751"	"tcruzi-8881"	306.62	169.63
"18757"	"tcruzi-8887"	208.62	234.83
"18762"	"tcruzi-8892"	205.84	274.3
"18763"	"tcruzi-8893"	241.77	212.3
"18764"	"tcruzi-8894"	195.83	250.61
"18767"	"tcruzi-8897"	174.34	233.02
"18768"	"tcruzi-8898"	169.16	133.46
"18771"	"tcruzi-8901"	289.67	315.35
"18772"	"tcruzi-8902"	323.7	287.31
"18779"	"tcruzi-8909"	143.42	109.69
"18794"	"tcruzi-8924"	191.68	217.23
"18837"	"tcruzi-8967"	1054.03	1473.19
"18838"	"tcruzi-8968"	1034.46	1382.23
"18839"	"tcruzi-8969"	1140.06	1517.84
"18848"	"tcruzi-8978"	623.74	855.23
"19188"	"tcruzi-9318"	234.54	405.51
"19189"	"tcruzi-9319"	151.01	134.18
"19228"	"tcruzi-9358"	220.13	137.13
"19229"	"tcruzi-9359"	133.36	117.98
"19429"	"tcruzi-9559"	698.01	1206
"19430"	"tcruzi-9560"	684.52	1183.5
"19432"	"tcruzi-9562"	780.34	1458.82
"19435"	"tcruzi-9565"	449.25	732.33
"19436"	"tcruzi-9566"	534.93	695.22
"19441"	"tcruzi-9571"	637.21	1087.99
"19761"	"tcruzi-9891"	37.95	59.4
"19940"	"tcruzi-10070"	2306.02	2907.67
"20175"	"tcruzi-10305"	74.97	117.26
"20296"	"tcruzi-10426"	2149.94	3792.05
"20425"	"tcruzi-10555"	117.01	198.41
"20624"	"tcruzi-10754"	28414.08	20477.24
"20627"	"tcruzi-10757"	27504.86	24124.7
"20741"	"tcruzi-10871"	17.92	58.17
"21014"	"tcruzi-11144"	1146.6	1956.47
"21015"	"tcruzi-11145"	1179.89	1789.93
"21017"	"tcruzi-11147"	1335.1	1839.95
"21020"	"tcruzi-11150"	5730.82	6575.05
"21021"	"tcruzi-11151"	8977.22	12075.56
"21170"	"tcruzi-11300"	2121.7	3800.94
"21177"	"tcruzi-11307"	426.33	671.56
"21598"	"tcruzi-11728"	374.45	129.92
"21626"	"tcruzi-11756"	1493.43	1172.11
"21746"	"tcruzi-11876"	1140.51	1258.53
"21834"	"tcruzi-11964"	85.43	132.14
"22662"	"tcruzi-12792"	764.75	955.16
"22664"	"tcruzi-12794"	901.87	1100.73
"22698"	"tcruzi-12828"	4949.87	5560.62
"22699"	"tcruzi-12829"	5288.28	6188.04
"22908"	"tcruzi-13038"	1409.32	1575.22
"22930"	"tcruzi-13060"	140.18	149.3
"22933"	"tcruzi-13063"	142.28	125.67
"22935"	"tcruzi-13065"	320.22	418.54
"22943"	"tcruzi-13073"	244.53	218.23
"23316"	"tcruzi-13446"	819.6	1108.85
"23472"	"tcruzi-13602"	1468.29	3996.41
"23473"	"tcruzi-13603"	297.33	982.99
"23540"	"tcruzi-13670"	306.94	348.72
"23607"	"tcruzi-13737"	291.28	953.8
"23682"	"tcruzi-13812"	6405.3	4989.87
"23824"	"tcruzi-13954"	8225.43	72.49
"23826"	"tcruzi-13956"	5249.86	47.73
"23896"	"tcruzi-14026"	3725.38	122.37
"23897"	"tcruzi-14027"	3823.14	37.46
"24311"	"tcruzi-14441"	553.06	432.76
"24605"	"tcruzi-14735"	53.84	48.75
"24611"	"tcruzi-14741"	21171.6	3538.47
"24612"	"tcruzi-14742"	21622.69	16514.53
"24755"	"tcruzi-14885"	1477.61	59.73
"24756"	"tcruzi-14886"	1044.33	36.65
"24784"	"tcruzi-14914"	193.24	89.77
"24785"	"tcruzi-14915"	156.81	174.16
"24807"	"tcruzi-14937"	720.41	358.89
"24808"	"tcruzi-14938"	719.61	348.44
"24809"	"tcruzi-14939"	1068.23	658.16
"24810"	"tcruzi-14940"	738.73	653.65
"24811"	"tcruzi-14941"	741.61	1074.75
"24812"	"tcruzi-14942"	964.99	838.04
"24813"	"tcruzi-14943"	580.84	653.35
"24824"	"tcruzi-14954"	230.35	210.48
"24934"	"tcruzi-15064"	2158.82	1289.91
"24935"	"tcruzi-15065"	1570.12	728.06
"24964"	"tcruzi-15094"	647.58	36.8
"25000"	"tcruzi-15130"	679.86	238.28
"25001"	"tcruzi-15131"	693.4	639.16
"25002"	"tcruzi-15132"	680.21	684.19
"25048"	"tcruzi-15178"	10954.92	3022.09
"25090"	"tcruzi-15220"	465.41	183.47
"25405"	"tcruzi-15535"	53.66	43.94
"25546"	"tcruzi-15676"	42.15	33.67
"25666"	"tcruzi-15796"	53.5	31.38
"25827"	"tcruzi-15957"	527.44	804.44
"25989"	"tcruzi-16119"	314.15	741.97
"25990"	"tcruzi-16120"	283.06	625.77
"26169"	"tcruzi-16299"	101.8	238.18
"26536"	"tcruzi-16666"	1135.38	1969.16
"26866"	"tcruzi-16996"	905.26	1079.88
"26959"	"tcruzi-17089"	790.92	1474.84
