"Reporter.Name"	"allData.replica1"	"allData.replica2"
"341142"	"tcruzi-mutagenesis-scan-13107"	157.29	115.04
"341143"	"tcruzi-mutagenesis-scan-13108"	459.43	230.92
"341144"	"tcruzi-mutagenesis-scan-13109"	25239.58	20655.84
"341145"	"tcruzi-mutagenesis-scan-13110"	30586.49	22746.18
"341146"	"tcruzi-mutagenesis-scan-13111"	30575.49	24742.28
"341147"	"tcruzi-mutagenesis-scan-13112"	33478.35	23711.58
"341148"	"tcruzi-mutagenesis-scan-13113"	30158.28	24868.17
"341149"	"tcruzi-mutagenesis-scan-13114"	33438.26	26099.5
"341150"	"tcruzi-mutagenesis-scan-13115"	35017.42	26875.23
"341151"	"tcruzi-mutagenesis-scan-13116"	33989.41	25508.74
"341152"	"tcruzi-mutagenesis-scan-13117"	33176.48	24684.36
"341153"	"tcruzi-mutagenesis-scan-13118"	40506.09	29797.91
"341154"	"tcruzi-mutagenesis-scan-13119"	34292.43	28362.27
"341155"	"tcruzi-mutagenesis-scan-13120"	5852.87	3962.22
"341156"	"tcruzi-mutagenesis-scan-13121"	9091.66	6848.17
"341157"	"tcruzi-mutagenesis-scan-13122"	18732.25	12586.14
"341158"	"tcruzi-mutagenesis-scan-13123"	20937.79	17331.49
"341159"	"tcruzi-mutagenesis-scan-13124"	22942.74	18463.48
"341160"	"tcruzi-mutagenesis-scan-13125"	24986.31	20419.52
"341666"	"tcruzi-mutagenesis-scan-13631"	24924.8	19405.52
"341667"	"tcruzi-mutagenesis-scan-13632"	24670.07	19246.01
"341842"	"tcruzi-mutagenesis-scan-13807"	29172.55	26382.43
"342106"	"tcruzi-mutagenesis-scan-14071"	33705.32	31629.31
"342113"	"tcruzi-mutagenesis-scan-14078"	38027.79	30393.32
"342114"	"tcruzi-mutagenesis-scan-14079"	35349.55	29454.2
"342115"	"tcruzi-mutagenesis-scan-14080"	24303.91	18599.58
"342116"	"tcruzi-mutagenesis-scan-14081"	34696.38	29822.15
"342117"	"tcruzi-mutagenesis-scan-14082"	32873.68	27126.79
"342118"	"tcruzi-mutagenesis-scan-14083"	31733.22	27298.83
"342119"	"tcruzi-mutagenesis-scan-14084"	1132.15	703.05
"342120"	"tcruzi-mutagenesis-scan-14085"	384.48	189.72
"342121"	"tcruzi-mutagenesis-scan-14086"	26000.56	22219.24
"342122"	"tcruzi-mutagenesis-scan-14087"	8418.86	6547.05
"342123"	"tcruzi-mutagenesis-scan-14088"	22733.78	18746.65
